Site088,Dasiphora_fruticosa,sample,cushion.open,Achillea_millefolium,Agoseris_aurantiaca,Agoseris_glauca,Agrostis_sp3,Anenome_drummondii,Antennaria_lanata,Arabis_lyallii,Arabis_nuttalii,Artemisia_michauxiana,Astragalus_kentrophyta,Besseya_alpina,Bromus_carinatus,Bupleurum_americanum,Carex_geyeri,Cerastrium_arvense,Cryptantha_celosioides,Danthonia_intermedia,Draba_aurea,Draba_oligosperma,Erigeron_lanatus,Eriophyllum_lanatum,Galium_boreale,Gailardia_aristata,Geum_rossii,Heuchera_parviflora,Linum_lewisii,Lomatium_sandbergii,Mertensia_longiflora,Minuartia_obtusiloba,Myosotis_sylvatica,Oxyria_digyna,Oxytropis_campestris,Phacelia_sericea,Phlox_diffusa,Poa_alpina,Polygonum_bistortioides,Potentilla_diversifolia,Saussurea_weberi,Saxifraga_lyallii,Sedum_lanceolatum,Sedum_roseum,Senecio_canus,Senecio_sp3,Smelowskia_calycina,Taraxacum_vulgare,Tofieldia_glutinosa,Trifolium_parryi,PoaUnk4_sp
,,1,cushion,13,,,5,1,,,,,3,,,1,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,4,,,,,
,,2,cushion,6,,,6,3,,,,3,,,,,,,6,,,,,,,,,2,,,2,,,,6,,,4,,,,,,3,,4,,,,,
,,3,cushion,,,,2,,,,,,,1,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,
,,4,cushion,,,,,4,,,,,,2,,4,,,,,,,,,,,,,,,1,,,,3,,,4,,,,,,,,4,,,2,,
,,5,cushion,,,,3,,,,,2,,,,5,7,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,3,,,,,
,,6,cushion,2,,,,5,,,,,,,,,7,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,
,,7,cushion,,,,18,,,,,5,,,,4,7,,,,,,,,,,,,,,2,,,,2,7,,,,1,,,,,,8,,1,,,
,,8,cushion,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,
,,9,cushion,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,
,,10,cushion,12,,,12,8,,,,5,3,2,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,4,,,,,,,
,,11,cushion,,,,,5,,,,,,,,4,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,
,,12,cushion,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,13,cushion,,,,,,1,,,,,,,,,,1,,,,,,,,,,,, ,,,1,,,,,,,,,,6,,3,,,,,
,,14,cushion,,,,,5,,,,,,,,2,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
,,15,cushion,6,,,,,,,,2,4,,,,1,,,,,,,,4,,,,,,3,,4,,,2,,,,5,,,,,,5,2,,,,
,,16,cushion,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,2,,,,,
,,17,cushion,,,,21,,,,,,,,,1,,,,,,1,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,
,,18,cushion,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,6,,,,
,,19,cushion,3,,,,,,,,3,,4,,13,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,3,3,,2,,
,,20,cushion,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,
,,21,cushion,6,,,12,,,,,,,5,,15,,,,,,,,,13,,,,,,,,,,6,1,,2,,3,,,,,,3,,,,,
,,22,cushion,1,,,8,,,,,,,3,,1,,1,,,,,,,,,3,,,,,,,,1,,,1,,1,,,,,,,,,,,
,,23,cushion,7,,,3,2,,,,,,3,,2,4,,,,,,,,,,10,1,,,1,,,7,5,,,,,2,,,,,,1,,,1,,
,,24,cushion,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,1,,2,,,,1,,,,,,1,2,,,,
