Site091,Silene_acaulis,sample,cushion.open,Achillea_sp1,Ajuga_sp,Androsace_sp1,Anthyllis_sp1,Arabis_alpina,Arabis_hirsuta,Arenaria_sp2,AstUnk3_sp,Bartsia_alpina,Bellis_sp,BrasUnk3_sp,Campanula_sp,Carex_curvula,Carex_firma,CaryUnk5_sp,Draba_sp3,Dryas_octopetala,Elyna_sp,Festuca_sp7,Festuca_sp8,Gentiana_sp5,Helianthemum_sp1,Leontopodium_sp,Papaver_sp,Pedicularis_sp1,Poa_sp4,Polygonum_viviparum,Salix_sp2,Salix_retusa,Saxifraga_caesia,Saxifraga_oppositifolia,Saxifraga_sp7,Sesleria_sp,Thlaspi_sp1,Viola_sp1
,,1,cushion,,,,,,,,,,,,,,,,,2,,,27,,,,,,,5,2,,,,,,,
,,2,cushion,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,2,,,,,,,
,,3,cushion,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,
,,4,cushion,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,
,,5,cushion,,,,,,,,,,,,,,,,,,,,14,,,,,,2,,,5,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,
,,7,cushion,,,,,,,,,,,,,,,,,,,1,47,,,,,,,3,,2,,,,,,
,,8,cushion,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,2,,
,,9,cushion,,,,,1,,,5,,,,,,,,,,,,3,,,,,,,1,,,,,,5,,
,,10,cushion,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,1,,,,1,,
,,11,cushion,,,,,,,,4,,,,8,,,,,,,,16,1,,,,,,,,,,,,,,
,,12,cushion,,,,,,1,,1,,,,5,,1,,,,,,10,,,,1,,,,,,,,,,,
,,13,cushion,,,,,,1,,,,,,,,,,,,,,10,2,,,,,2,,,,,,,1,,4
,,14,cushion,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,
,,15,cushion,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
,,16,cushion,,,,,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,
,,17,cushion,,,,,2,,1,,,,,,,,,,,,,20,,,,,,8,,,,,,,,,
,,18,cushion,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
,,19,cushion,,,,,2,,,,,,,,,,,,,,,15,,,2,,,,,,,,,,,,
,,20,cushion,,,,,1,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
,,21,cushion,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,
,,22,cushion,,,,,,,,,,,,,,,,,,,,23,,,,,,1,,,,,,,,,
,,23,cushion,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
,,24,cushion,,,,,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
,,25,cushion,,,,,3,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
,,26,cushion,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,
,,27,cushion,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,28,cushion,,,,,1,,,,,,,,,,3,,,,14,,,,,,,4,,,,,,,,,
,,29,cushion,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,
,,30,cushion,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,4,,
,,31,cushion,,,,,1,,,,,,,1,,,,,,,2,18,,,,,,,,,,,,,,,
,,32,cushion,,,,,,,,,,,,35,,,,,,,,17,1,,,,,2,,,,,,,,,
,,33,cushion,,,,,1,,,,,,,,,,,,,,,18,,,,,,,,,,,,,12,,
,,34,cushion,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,7,,
,,35,cushion,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
,,36,cushion,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,,37,cushion,,,,,2,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,3,,
,,38,cushion,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,
,,39,cushion,,,,,,,,,,,,,,1,,,1,,,7,,,,,,,,,,1,,,3,,
,,40,cushion,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,2,,,6,,
,,41,cushion,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,7,,
,,42,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
,,43,cushion,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,10,,
,,44,cushion,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,4,,
,,45,cushion,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,
,,46,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,47,cushion,,,,,,1,1,,,,,,,,,,,,,24,,,,,,3,12,1,,,,,3,,
,,48,cushion,,,,,,,,,,,,,,,,,5,,,25,,,,,,,6,1,,,,,6,,
,,49,cushion,,,,,4,,1,,,,,,,,,,,,,19,1,,,,,,,,,,,,6,,
,,50,cushion,,,1,,,,,,,,,,,6,,,3,,,,,,,,,,5,,,,,,,,
,,51,cushion,,,,,,,,,,,,,,2,,,3,,,,,,,,,,4,,,,,,2,,
,,52,cushion,,,,,,,,,,,,,,,6,,,,,,,,,,,,10,2,,,,,8,,
,,53,cushion,,,,,,,,,,,,,,7,,,2,,,,,,,,,,3,4,,,,,4,,
,,54,cushion,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,
,,55,cushion,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,8,,
,,56,cushion,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,9,,
,,57,cushion,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,3,,
,,58,cushion,,3,,2,1,,,,,,,,,15,,,,,,,,5,,,,,,,,,,,4,,
,,59,cushion,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,,,,,,2,,
,,60,cushion,,,1,4,3,,,,,,,,,11,,,,,,,,7,,,,,3,,,,,,7,,
,,61,cushion,,,3,,,,,,,,,,,5,,,2,,,,,2,,,,,,,,,,,1,,
,,62,cushion,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,2,,
,,63,cushion,,,2,,,,,,,,,,,15,,,,,,,,1,,,3,,1,1,,,,,12,,
,,64,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,1,
,,65,cushion,,,3,,,,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,6,,
,,66,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,
,,67,cushion,,,,,2,,1,,,,,,,15,,,,,,,,,,,,,1,,,,,,10,,
,,68,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,69,cushion,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,
,,70,cushion,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,11,,
,,71,cushion,,,,,,,,,,,,,6,1,,,1,,,,,,,,,,,1,,,,,4,,
,,72,cushion,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,3,,
,,73,cushion,,,1,2,,,,,,,,,,4,,,1,,,,,2,,,,,,,,,,,5,,
,,74,cushion,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,
,,75,cushion,,,,3,,,,,1,1,,,4,15,,,2,,,,,6,,,,,3,,,,,,11,,
,,76,cushion,,,,,,,,,,,,,,5,,,9,,,,,,,,,,9,1,,,,,2,,
,,77,cushion,,,,,,,,,,,,,,10,,,3,,,,,,,,,,2,,,,,,6,,
,,78,cushion,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,
,,79,cushion,,,,,,,,,,,,,20,3,,,8,,,,,,,,,,,,,,,,1,,
,,80,cushion,,,,,,,,,,,,,,5,,,,3,,,,4,,,,,,,2,,,,3,,
,,81,cushion,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,2,,,,10,,
,,82,cushion,,,,,,,,,,,,,,7,,,,,,,,6,,,,,,,2,,,1,3,,
,,83,cushion,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,3,,
,,84,cushion,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,8,,
,,85,cushion,,,2,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,1,3,,
,,86,cushion,,,1,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,3,,
,,87,cushion,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,4,,
,,88,cushion,,,,,,,,,,,,1,,8,,,,2,,,,5,,,,,,,,,,,5,,
,,89,cushion,,,,,,,,,,,,,,7,,,,1,,,,5,,,,,,,,,,,9,,
,,90,cushion,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,1,,,,3,,
,,91,cushion,,,1,,,,,,,,,,,6,,,,,,,,2,,,,,,,,,,,6,,
,,92,cushion,,,,,,,,,,,,,,14,,,1,,,,1,4,,,,,,,4,,,,13,,
,,93,cushion,,,,,,,,,,,,,,10,,,,,,,,4,,,,,,,,,,3,12,,
,,94,cushion,,,,,,,,,,,,,,3,,,,,,,,2,,,,,3,,,,,5,17,,
,,95,cushion,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,3,,
,,96,cushion,,,,,,1,1,,,,,,,6,,,,2,,,,,,,,,,,,,,,9,,
,,97,cushion,,,,,,,,,,,,,,9,,,,3,,,,2,,,,,,,,,,,4,,
,,98,cushion,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,1,,
,,99,cushion,,2,,1,,,,,,,,,,12,,,,,,,,6,,,,,,,2,,,,2,,
,,100,cushion,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,2,,
,,1,open,,,,,,,1,,,,,,,1,,,2,,3,,,,,,,,3,,,,,,2,,
,,2,open,,,,,,,,,,,,2,,,,,1,,,7,,,,,,,,,,1,,,,,
,,3,open,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,
,,4,open,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,
