Site094,Silene_acaulis,sample,cushion.open,Alchemilla_sp1,Arabis_hirsuta,Arenaria_sp2,Campanula_sp,Carex_firma,Cerastium_sp3,Draba_sp3,Festuca_sp8,Galium_sp1,Helianthemum_sp1,Leontodon_sp3,Ligusticum_sp,Linaria_sp2,Oxytropis_sp2,Poa_sp4,Polygonum_viviparum,Pritzelago_sp,Ranunculus_sp2,Salix_restrata,Salix_serpyllifolia,Sesleria_sp,Silene_sp,Thlaspi_sp1,Thlaspi_sp2,Viola_sp1
,,1,cushion,,,,,,,,8,,,1,,,7,15,,,,,,,,,,
,,2,cushion,,,,,,,,1,,,1,,,3,,,,,,,,,,,
,,3,cushion,,,,3,,,,3,,,6,,,2,,,,,,,,,,,
,,4,cushion,,,,1,,,,32,,,,,,7,11,,,,,,,,,,
,,5,cushion,,,,6,,,1,,4,,2,,,1,6,,,,,,,,,4,
,,6,cushion,,,,8,,,,,4,,,,,,8,1,,,1,,,,,,
,,7,cushion,,,,1,,,2,15,,,6,,,3,,,,1,,,,,,,
,,8,cushion,,,,2,,,,34,,,3,,,6,17,12,,,19,,,,,,
,,9,cushion,,,,,,,,16,8,,,,,,,,,,,,,,,,
,,10,cushion,9,,,1,,,,6,1,,4,,,,2,5,,,,,,,,,
,,11,cushion,,,,,,,,,,,,,,2,,,,,,,,,,,
,,12,cushion,3,,,,,,,3,1,,,,,,1,6,,,1,,,,,,
,,13,cushion,,,2,3,,,,1,5,,8,,,,10,3,,,,,,,,7,
,,14,cushion,,,1,17,,,,2,1,,6,,2,,13,,,,6,,,,,,
,,15,cushion,1,,1,1,,,1,,,,,,,,4,,,,1,,,,,2,
,,16,cushion,,,,1,,,,,1,,,,,,4,1,,,1,,,,2,,
,,17,cushion,,,,,,,,,,,,,,,3,,,,2,,,,,,
,,18,cushion,,,,11,,,,,,,,,,,1,,,,,,1,,,,
,,19,cushion,,,,6,,,,,,,,,,,6,,,,,,3,,,,
,,20,cushion,,,,4,,,,,,,,,,,,,,,,,,,,,
,,21,cushion,1,,,6,,,,2,,,3,,,,9,,,,,,,,,,
,,22,cushion,1,,,5,,,,,3,,9,,,,11,1,,,,,4,,,,
