Site099,Saxifraga_oppositifolia,sample,cushion.open,Antennaria_alpina,Bistorta_vivipara,Carex_sp7,Draba_oligosperma,Dryas_octopetala,PoaUnk3_sp,Phyllodoce_sp,Polemonium_sp,Potentilla_sp,Gentiana_sp,Gentiana_sp1,Ranunculus_sp1,Salix_cascadensis,Salix_sp,Saxifraga_nelsoniana,Saxifraga_nivalis,Silene_acaulis
,,1,cushion,,,,,,5,,,,,,,,,,,
,,2,cushion,,,,,,,,,,,,,,,,,
,,3,cushion,,,15,,,10,,2,,10,,,,,,,
,,4,cushion,,,1,,,4,,,,20,,,,,,,
,,5,cushion,1,,,,,5,2,,,,,,,10,,,
,,6,cushion,,3,,,,5,4,,,,,,,10,,,
,,7,cushion,,6,4,,,10,10,,,,,,,15,,,
,,8,cushion,,,,,,15,,,,,,,,,,,
,,9,cushion,,,,,,20,10,,,,,,,,,,
,,10,cushion,,,,,,5,,,,,,,,,,,
,,11,cushion,,,5,,,6,,,,,,,,10,,,1
,,12,cushion,,,3,,,10,,,,,,,,,,,
,,13,cushion,,,,,,,,,,,,,,,,,
,,14,cushion,,,3,,,3,5,,,,,,,,,,
,,15,cushion,,,8,,,2,,,,,,,,,,,
,,16,cushion,,,,,,2,,,,,,,,20,,,
,,17,cushion,,,,,,5,,,,,,,,8,,,
,,18,cushion,,2,,,,10,,,,,,,,5,,,
,,19,cushion,,,,,,,,,,,,,,5,,,
,,20,cushion,,,,,,7,,,,,,,,,,,
,,21,cushion,10,,,,,10,,,,,,,,,,,
,,22,cushion,1,,7,,,8,,,,10,,,,,,,1
,,23,cushion,1,,5,,,20,,,,,,,,,,,1
,,24,cushion,,,,,,5,,,,,,,,,,,
,,25,cushion,,,3,,,4,,,,,,,,9,,,
,,26,cushion,,,7,,,,,,,,,,,6,,,
,,27,cushion,,2,3,,,13,,,,,2,4,,14,,,
,,28,cushion,,,11,,,13,,,,,8,,3,26,,,
,,29,cushion,,,6,,,8,,,1,,3,,,80,,,
,,30,cushion,,,3,,,7,4,,1,,4,,,40,,,
,,31,cushion,,2,,,,9,,,,,1,,,30,,,
,,32,cushion,,,,,,8,,,,,,,,35,,,2
,,33,cushion,2,,,,,8,3,,,,,,,18,,,
,,34,cushion,,,3,,,9,2,,,,,,,,,,
,,35,cushion,,,,,,3,10,,,,,,,27,,,
,,36,cushion,,2,,1,,17,,,,,,,,4,,2,
,,37,cushion,,1,,,,4,3,,,,,,,,,,
,,38,cushion,1,,,,,10,1,,,,,,,22,,,
,,39,cushion,,4,,,,14,,,1,1,,,,23,,,
,,1,open,,,,,,,,,,,,,,,,,
,,2,open,,,5,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,
,,11,open,,,3,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,20,,,
,,18,open,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,
,,21,open,,,,,,10,,,,,,,,,,,
,,22,open,,,4,,,2,,,,,,,,,,,
,,23,open,,,,,,2,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,
,,27,open,,,,,,3,1,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,3,,,
,,31,open,,,,,,2,,,,,,,,8,,,
,,32,open,,,,,,,,,,,,,,,,,
,,33,open,,,,,,1,,,,,,,,,,,
,,34,open,,,,,,6,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,
,,36,open,,,,,,,,,,,,,,,,,
,,37,open,,,,,,5,,,,,,,,,,,
,,38,open,1,,,,,8,,,,,,,,11,,,
,,39,open,,8,,,,21,,6,2,,2,,,14,,,
