"site","cushion","code","sample","cushion.open","diam1","diam2","area","Poaceae sp","Agrostis foliata","Bromus lanatus","Pentacalia microdon"
"Ecuador1","Pentacalia_microdon",1,1,"cushion",26,26,,1,,,
"Ecuador1","Pentacalia_microdon",1,2,"cushion",24,24,,2,,,
"Ecuador1","Pentacalia_microdon",1,30,"cushion",42,42,,,,,
"Ecuador1","Pentacalia_microdon",1,31,"cushion",29,29,,1,,,
"Ecuador1","Pentacalia_microdon",1,59,"cushion",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,60,"cushion",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,61,"cushion",34,34,,,6,,
"Ecuador1","Pentacalia_microdon",1,62,"cushion",29,29,,,,,
"Ecuador1","Pentacalia_microdon",1,3,"open",20,20,,,,,
"Ecuador1","Pentacalia_microdon",1,4,"open",27,27,,,,,
"Ecuador1","Pentacalia_microdon",1,5,"open",36,36,,,,,
"Ecuador1","Pentacalia_microdon",1,6,"open",24,24,,,,,
"Ecuador1","Pentacalia_microdon",1,7,"open",36,36,,,,,
"Ecuador1","Pentacalia_microdon",1,8,"open",27,27,,,,,
"Ecuador1","Pentacalia_microdon",1,9,"open",23,23,,,,,
"Ecuador1","Pentacalia_microdon",1,33,"open",40,40,,,,,
"Ecuador1","Pentacalia_microdon",1,34,"open",37,37,,,,,
"Ecuador1","Pentacalia_microdon",1,35,"open",24,24,,,,,
"Ecuador1","Pentacalia_microdon",1,36,"open",26,26,,,,,
"Ecuador1","Pentacalia_microdon",1,37,"open",31,31,,,,,
"Ecuador1","Pentacalia_microdon",1,38,"open",50,50,,,,,
"Ecuador1","Pentacalia_microdon",1,39,"open",37,37,,,,,
"Ecuador1","Pentacalia_microdon",1,63,"open",27,27,,,,,
"Ecuador1","Pentacalia_microdon",1,64,"open",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,65,"open",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,66,"open",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,67,"open",26,26,,,,,
"Ecuador1","Pentacalia_microdon",1,68,"open",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,69,"open",41,41,,,,,
"Ecuador1","Pentacalia_microdon",1,70,"open",28,28,,,,,
"Ecuador1","Pentacalia_microdon",1,71,"open",20,20,,,,,
"Ecuador1","Pentacalia_microdon",1,72,"open",25,25,,,1,,
"Ecuador1","Pentacalia_microdon",1,73,"open",36,36,,,,,
"Ecuador1","Pentacalia_microdon",1,74,"open",28,28,,,,,
"Ecuador1","Pentacalia_microdon",1,75,"open",42,42,,,,,
"Ecuador1","Pentacalia_microdon",1,76,"open",29,29,,,,,
"Ecuador1","Pentacalia_microdon",1,77,"open",27,27,,,,,
"Ecuador1","Pentacalia_microdon",1,78,"open",35,35,,,,,
"Ecuador1","Pentacalia_microdon",1,79,"open",32,32,,,,,1
"Ecuador1","Pentacalia_microdon",1,80,"open",35,35,,,,,
"Ecuador1","Pentacalia_microdon",1,81,"open",35,35,,,,,
"Ecuador1","Pentacalia_microdon",1,82,"open",33,33,,,,,1
"Ecuador1","Pentacalia_microdon",1,83,"open",35,35,,,,,
"Ecuador1","Pentacalia_microdon",1,84,"open",43,43,,,,,
"Ecuador1","Pentacalia_microdon",1,85,"open",38,38,,,,,
"Ecuador1","Pentacalia_microdon",1,3,"cushion",20,20,,,,,
"Ecuador1","Pentacalia_microdon",1,4,"cushion",27,27,,,,,
"Ecuador1","Pentacalia_microdon",1,5,"cushion",36,36,,,,,
"Ecuador1","Pentacalia_microdon",1,6,"cushion",24,24,,,,,
"Ecuador1","Pentacalia_microdon",1,7,"cushion",36,36,,1,,,
"Ecuador1","Pentacalia_microdon",1,8,"cushion",27,27,,,,,
"Ecuador1","Pentacalia_microdon",1,9,"cushion",23,23,,2,,,
"Ecuador1","Pentacalia_microdon",1,10,"cushion",40,40,,1,,1,
"Ecuador1","Pentacalia_microdon",1,11,"cushion",36,36,,3,,1,
"Ecuador1","Pentacalia_microdon",1,12,"cushion",32,32,,,,4,
