"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agrostis foliata","Azorella aretioides","Azorella pedunculata-corymbosa","Baccharis caespitosa","Bartsia stricta","Castilleja nubigena","Cerastium floccosum","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Gentiana sedifolia","Huperzia crassa","Hypochaeris sessiliflora","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Moss","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Pernettya prostrata","Poaceae spp","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Valeriana alypifolia","Valeriana rigida","Werneria nubigena","Werneria pumila","Xenophyllum rigidum (infrasp Level)"
"Ecuador Xenophyllum","Xenophyllum rigidum",2,1,"open",,,62,,,,13,,,,,1,,,1,,2,,,,,6,,,,7,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,2,"open",,,46,3,,,6,,,2,,,,,,,4,,,,,,,,,16,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,3,"open",,,33,,,,12,,,1,,,,,,,,,,,,4,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,4,"open",,,19,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,5,"open",,,56,1,,,10,,,1,,,,,,9,5,,,,,,,,,10,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,6,"open",,,30,1,,,6,,,,,,,,,,,,,,,2,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,7,"open",,,46,,,,18,,,1,,,,,,,4,,,,,,,,,6,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,8,"open",,,28,,,,1,,,,,,,2,,8,1,,,,,8,,,,8,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,9,"open",,,32,,,,6,,,1,,,,,,,,,,,,,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,10,"open",,,45,,,,5,,,,,,,1,,,5,,,,,,,,,12,,,11,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,11,"open",,,55,3,,,8,,,,,,,,,,1,,,,,,,,,5,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,12,"open",,,48,1,,,12,,,2,,,,,,,1,,,,,,,,,6,,,,,,,,
