"site","cusion","code","sample","cushion.open","diam1","diam2","area","Azorella aretioides","Azorella pedunculata / corymbosa","Baccharis caespitosa","Bartsia stricta","Bromus lanatus","Carex tristicha","Castilleja nubigena","Cerastium floccosum","Cerastium imbricatum","Cerastium trianae Briq","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Floscaldasia hypsophila","Gentiana sedifolia","Gentianella rupicola","Geranium ecuadoriensis","Geranium multipartitum","Halenia weddeliana","Huperzia crassa","Hypochaeris sessiliflora","Lachemilla hispidulata","Lachemilla orbiculata","Lasiocephalus ovatus","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Lysipomia acaulis","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Oritrophium peruvianium","Ourisia muscoides","Pernettya prostata","Plantago nubigena","Plantago rigida","Ranunculus guzmanii","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Poaceae spp","Valeriana alypifolia","Valeriana aretioides","Valeriana rigida","Viola bangii","Werneria nubigena","Werneria pumila","Werneria pygmaea","Xenophyllum rigidum","Moss spp"
"Ecuador2","Azorella aretioides",3,1,"cushion",,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,20,,,,,,,30,,,,,,,,,1
"Ecuador2","Azorella aretioides",3,2,"cushion",,,,,,3,,,9,,,,,,,,,,,,,20,,,,,,,5,,,,,,,,,,,,,,,,129,,,,,38,,,,1
"Ecuador2","Azorella aretioides",3,3,"cushion",,,,,,,2,,,,,,,,,,1,,4,,,14,,,2,,,,3,,,,,1,,,,,,1,,,,,40,,,1,,15,,,,1
"Ecuador2","Azorella aretioides",3,4,"cushion",,,,,,,7,1,0,,,,,,,,1,,,,,14,,,3,,,,,,,,,,,,,,,,,,,,31,,,,,7,,,,1
"Ecuador2","Azorella aretioides",3,5,"cushion",,,,,,,2,2,,,,,,,,,,,2,,,15,,,5,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,1
"Ecuador2","Azorella aretioides",3,6,"cushion",,,,,,,,1,1,4,,,,,,,,,1,,,26,,,7,,,,,1,,,,,,,,,1,1,,,,,30,,,,,7,,,,
"Ecuador2","Azorella aretioides",3,7,"cushion",,,,,,,,,,,,1,,,,,,,,,,9,,,3,,,,1,,,,,,,,,,,,,,,,15,,,,,1,,,,1
"Ecuador2","Azorella aretioides",3,8,"cushion",,,,,,,7,2,5,,,1,,,,,,,,,,7,,,9,,,,4,,,,,,,,,,,3,,,,,47,,,,1,2,,,,
"Ecuador2","Azorella aretioides",3,9,"cushion",,,,,,8,,,3,5,,1,,,,,5,,3,,,16,,,4,,1,,2,1,,,,,,,,,1,,,,,,43,,,,4,1,,,,1
"Ecuador2","Azorella aretioides",3,10,"cushion",,,,,,4,3,,,,,,,,,,1,,,,,6,,,,,,,9,2,,,,,,,,,,,1,,,,32,,,1,2,4,,,,
"Ecuador2","Azorella aretioides",3,11,"cushion",,,,,3,8,,,3,,,,,,,,1,,,,,5,,,3,,,,,,,,,,,,,,1,,,,,,47,,,,1,6,,,,
"Ecuador2","Azorella aretioides",3,12,"cushion",,,,,,2,,,,,,,7,,,,5,,,,,11,,,,,,,,,,,,,1,,,,,,1,,,,61,,,,10,10,,,,1
"Ecuador2","Azorella aretioides",3,13,"cushion",,,,,,1,,,,,,,,,,,2,,,,,13,4,,12,,,,1,1,,,,,,,,,,,,,,,48,,,,,16,,,,1
"Ecuador2","Azorella aretioides",3,14,"cushion",,,,,,3,1,4,,,,,,,,,,,,,,9,,,9,,,,,,1,,,,,,,,,,,,,,30,,,,,,,,,
"Ecuador2","Azorella aretioides",3,15,"cushion",,,,,,,,,5,,,,5,,,,1,,,,,19,1,,12,,,,10,4,,,,,,,1,,,,1,,,,88,,,,,2,,,,1
"Ecuador2","Azorella aretioides",3,16,"cushion",,,,,,1,,1,,,,,1,,,,1,,,,,22,,,3,,,,5,3,2,,,2,3,,,,,,,,,,57,,,,1,3,,,,1
"Ecuador2","Azorella aretioides",3,17,"cushion",,,,,,,,,,,,,2,,,,1,,1,,,8,,,12,,,,5,1,,,,,,,,,,,1,,,,45,,,,,1,,,,1
"Ecuador2","Azorella aretioides",3,18,"cushion",,,,,,,,,,,,,2,,,,,,1,,,15,,,15,,,,5,2,,,,,,,,,,,,,,,30,,,,,12,,,,1
"Ecuador2","Azorella aretioides",3,19,"cushion",,,,,,,,1,,,,,3,,,,,,,,,12,,,17,,,,2,,,,,,,,,,,,,2,,,55,,,,,24,,,,
"Ecuador2","Azorella aretioides",3,20,"cushion",,,,,,,1,1,,,,,5,,,,,,,,,11,,,12,3,,,5,1,2,,1,,,,,,2,,,4,,,80,,,,2,,,,,
"Ecuador2","Azorella aretioides",3,21,"cushion",,,,,,,,1,,,,1,,,,,,,,,,17,,,1,3,,,,2,,,,,,,,,,,,,,,20,,,1,6,1,,,,
"Ecuador2","Azorella aretioides",3,22,"cushion",,,,,,,,,,,,,,12,,,2,,,,,20,,,5,,,,8,,,,,3,,,,,2,,,,,,36,,,1,3,1,,,,
"Ecuador2","Azorella aretioides",3,23,"cushion",,,,,,,,2,,,,,1,,,,,,,,,20,,,6,,,,1,,,,,,4,,,,,1,,,,,13,,,3,1,11,,,,
"Ecuador2","Azorella aretioides",3,24,"cushion",,,,,,,,,,,,,6,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,13,,,1,2,3,,,,
"Ecuador2","Azorella aretioides",3,25,"cushion",,,,,,7,,,1,,,,7,,,,1,,,,,20,,,16,,,,4,1,,,,,,,,,,,,,,,47,,,,,5,,,,1
"Ecuador2","Azorella aretioides",3,26,"cushion",,,,,,1,,,,,,,,,,,,,,,,9,,,3,,,,2,,,,,,,,,,,,,1,,,0,,,,1,,,,,
"Ecuador2","Azorella aretioides",3,27,"cushion",,,,,,3,,,,,,,,,,,1,,2,,,22,,,19,,,,5,2,,,,,,,,29,2,,,,,,47,,,,3,7,,,,1
"Ecuador2","Azorella aretioides",3,28,"cushion",,,,,,,,,2,,,,,,,,,,1,,,12,,,11,,,,9,1,,,,,,,,,,,,,,,28,,,,,1,,,,
"Ecuador2","Azorella aretioides",3,29,"cushion",,,,,,,1,4,,,,,6,,,,,,,,,0,,,2,,,,,,,1,,,,,,,,0,,,,,17,,,,,,3,,,
"Ecuador2","Azorella aretioides",3,30,"cushion",,,,,,5,,,,,,1,,,,,,,1,,,19,,,16,,,,6,1,,,,2,,,,,,1,,,,,33,,,,,4,,,,
"Ecuador2","Azorella aretioides",3,31,"cushion",,,,,2,,,,,,,,,,,,,,,,,10,,,12,,1,,1,,,,,1,2,,,,,4,1,,,,39,,,,,3,,,,
"Ecuador2","Azorella aretioides",3,32,"cushion",,,,,1,,,,,1,,,,,,,,,,,,11,,,8,,,,,,,,,,21,,,,,1,,,,,27,,,,,2,,,1,
"Ecuador2","Azorella aretioides",3,33,"cushion",,,,,,,,1,1,,,,1,,,,1,,,,,15,,,9,,,,1,1,,,2,,,,,,,,1,1,,,9,,,,,,,,,
"Ecuador2","Azorella aretioides",3,34,"cushion",,,,,,,,,1,,,,,,,,,,6,,,13,,,4,1,,3,9,2,,,,,2,,,,1,,,,,,40,,,,1,16,,,,1
"Ecuador2","Azorella aretioides",3,35,"cushion",,,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,1,,,,,,,7,,,,,,,6,,,,,,,,,
"Ecuador2","Azorella aretioides",3,36,"cushion",,,,,,1,,,,,,,1,,,,,,,,,27,,,6,1,,,7,,2,,,,,,,,3,,1,,,,69,,,,,12,,,,
"Ecuador2","Azorella aretioides",3,37,"cushion",,,,,2,4,,,1,,,,,,,,3,,,,,15,,,4,,,,5,,3,,,,,,,,,,,,,,31,,,,3,,,,,
"Ecuador2","Azorella aretioides",3,38,"cushion",,,,,,4,,,,,,,1,,,,,1,3,,,31,,,5,5,,,1,,,,,,8,,,,1,,,,,,3,,,,,,,,,
"Ecuador2","Azorella aretioides",3,39,"cushion",,,,,,,,,2,,,,,,,,,,1,,,17,1,,13,,,,,,,,,,2,,,,,3,,,,,34,,,2,,9,,,,1
"Ecuador2","Azorella aretioides",3,40,"cushion",,,,,,,1,,,,,,,,,,,,2,,,16,,,11,,,,,,,,,,,,,,,2,,,,,33,,,,,7,,,,1
"Ecuador2","Azorella aretioides",3,41,"cushion",,,,,,,,3,,,,,,,,,1,,,,,23,,,7,,,,1,1,,,,,,,,,2,5,,,,,56,,,2,1,15,,,,
"Ecuador2","Azorella aretioides",3,42,"cushion",,,,,,,1,,,,,,,,,,1,,3,,,57,,,20,,,,,2,,,,,,,,,,,2,,,,106,,,,,7,,,,
"Ecuador2","Azorella aretioides",3,43,"cushion",,,,,,,6,,,,,,,,,,1,,3,,,17,,,4,,,,,,,,,,2,,,,2,4,,,,,34,,,,,10,,,,
"Ecuador2","Azorella aretioides",3,44,"cushion",,,,,,,2,,2,,,,1,,,,,,,,,3,,,9,,,,2,,,,,,,,,,,,,,,,23,,,,,2,,,,
"Ecuador2","Azorella aretioides",3,45,"cushion",,,,,,1,2,,,2,,,,,,,,,,,,13,,,10,,,,1,1,,,1,,,,,,1,4,,,,,51,,,,2,9,,,,1
