"site","cushion","code","sample","cushion.open","diam1","diam2","area","Azorella aretioides","Azorella pedunculata/corymbosa","Baccharis caespitosa","Bartsia stricta","Cerastium floccosum","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Gentiana sedifolia","Huperzia crassa","Hypochaeris sessiliflora","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Pernettya prostrata","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Poaceae spp","Valeriana alypifolia","Valeriana rigida","Werneria nubigena","Werneria pumila","Xenophyllum rigidum","moss (Moss spp)"
"Ecuador2","Azorella aretioides",4,1,"cushion",67,67,,,,,,,,,,,,8,3,,,2,,,,,,,4,11,,,,1,,1
"Ecuador2","Azorella aretioides",4,2,"cushion",63,63,,,,,,,,,,,2,,1,,3,,,,,,,,6,32,,,,,,5
"Ecuador2","Azorella aretioides",4,3,"cushion",49,49,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1
"Ecuador2","Azorella aretioides",4,4,"cushion",37,37,,,,1,1,,,,,5,1,,2,,1,1,,,,,,,,10,,2,,,,
"Ecuador2","Azorella aretioides",4,5,"cushion",33,33,,,,,,1,,,,,,,4,,,,,,,,,,,3,,,,,,
"Ecuador2","Azorella aretioides",4,6,"cushion",53,53,,,,,,,,,,,2,,4,,,,,,,,,,23,4,,,,,,3
"Ecuador2","Azorella aretioides",4,7,"cushion",39,39,,,,,,,,,,,,,1,,,,,,,,,,,9,,,,,,2
"Ecuador2","Azorella aretioides",4,8,"cushion",25,25,,,2,4,,,,,,,,5,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,9,"cushion",50,50,,,1,9,,3,,,,1,,,1,,3,,,,,,,,,12,,,,,,
"Ecuador2","Azorella aretioides",4,10,"cushion",30,30,,,,2,,1,,,,4,,,,,,,1,,,,,,7,0,,,,,,
"Ecuador2","Azorella aretioides",4,11,"cushion",78,78,,,,6,,1,,,,,,2,3,,,10,5,,,,,,,14,,,,,,1
"Ecuador2","Azorella aretioides",4,12,"cushion",11,11,,,,4,,2,,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,13,"cushion",49,49,,,2,6,,6,,,,1,,,3,,,2,,,,,,,,17,,,,,3,2
"Ecuador2","Azorella aretioides",4,14,"cushion",23,23,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,5,
"Ecuador2","Azorella aretioides",4,15,"cushion",54,54,,,,,,,,,,,,,,,1,,1,,,,,,3,7,,,,,,
"Ecuador2","Azorella aretioides",4,16,"cushion",56,56,,,,,,,,,,,,,1,,5,,,,,,,,,10,,,,,,
"Ecuador2","Azorella aretioides",4,17,"cushion",59,59,,,,13,,,,,,2,,8,1,,1,,10,,,,,,60,12,,,,,,
"Ecuador2","Azorella aretioides",4,18,"cushion",57,57,,,,6,,,,1,,,,,,,,,,,,,,,1,5,,,,,,1
"Ecuador2","Azorella aretioides",4,19,"cushion",43,43,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,20,"cushion",27,27,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,21,"cushion",59,59,,,,2,,,,,,,3,,1,,,,,,,,,,,5,,,,,,
"Ecuador2","Azorella aretioides",4,22,"cushion",23,23,,,,,,1,,2,,,,,,,,2,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,23,"cushion",44,44,,,1,,,,,5,,,3,2,4,,,3,,,,,,,,22,,,,,,3
"Ecuador2","Azorella aretioides",4,24,"cushion",19,19,,,,3,,,,,,,,,1,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,25,"cushion",54,54,,,,8,,,,,,,,,,,,,2,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,26,"cushion",24,24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,27,"cushion",52,52,,,,,,,,,,,,20,1,,5,,,,,,,,,10,,,,,,2
"Ecuador2","Azorella aretioides",4,28,"cushion",28,28,,,,,,,,,,,1,,,,,,3,,,,,,,3,,,,,,
