"site","cushion","code","sample","cushion.open","diam1","diam2","area","Azorella trifurcata","Calamagrostis curvula","Calamagrostis sp","Festuca sp","Moschopsis monocephala","Nototriche aruicoma","Parastrephia lepidophylla","Perezia atacamensis","Senecio puchii","Unknown","Werneria glaberrima"
"Atacama","Pycnophyllum bryoides",5,1,"cushion",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,2,"cushion",,,,,,,,,,,,1,,
"Atacama","Pycnophyllum bryoides",5,3,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,30,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,31,"cushion",,,,,,,,,,,,1,,
"Atacama","Pycnophyllum bryoides",5,32,"cushion",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,59,"cushion",,,,,,,,,,,,1,1,
"Atacama","Pycnophyllum bryoides",5,60,"cushion",,,,,,,,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,61,"cushion",,,,,,1,,,1,1,,,,
"Atacama","Pycnophyllum bryoides",5,18,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,19,"open",,,,,,,3,,,,,,,
"Atacama","Pycnophyllum bryoides",5,20,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,21,"open",,,,,,,4,,,,1,,1,
"Atacama","Pycnophyllum bryoides",5,22,"open",,,,,,,,,,,,1,,
"Atacama","Pycnophyllum bryoides",5,23,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,48,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,49,"open",,,,1,,,1,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,50,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,51,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,52,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,53,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,78,"open",,,,,,,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,79,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,80,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,81,"open",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,82,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,83,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,84,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,85,"open",,,,,2,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,86,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,87,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,88,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,89,"open",,,,,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,90,"open",,,,1,,2,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,91,"open",,,,,,,,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,92,"open",,,,1,,2,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,93,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,94,"open",,,,,,,2,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,95,"open",,,,1,,,,,,,1,,,
"Atacama","Pycnophyllum bryoides",5,96,"open",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,97,"open",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,98,"open",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,99,"open",,,,1,,,1,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,100,"open",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,4,"cushion",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,5,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,6,"cushion",,,,,,,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,7,"cushion",,,,,,,,,,1,,,,1
"Atacama","Pycnophyllum bryoides",5,8,"cushion",,,,,,,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,9,"cushion",,,,,,,,,,,,1,1,
"Atacama","Pycnophyllum bryoides",5,10,"cushion",,,,,,,,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,11,"cushion",,,,,,1,,,1,1,,,,
"Atacama","Pycnophyllum bryoides",5,12,"cushion",,,,1,,,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,13,"cushion",,,,,,,,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,14,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,15,"cushion",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,16,"cushion",,,,,2,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,17,"cushion",,,,,,1,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,18,"cushion",,,,,,,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,19,"cushion",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,20,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,21,"cushion",,,,,,2,,,1,1,,,,1
"Atacama","Pycnophyllum bryoides",5,22,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,23,"cushion",,,,,,,3,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,24,"cushion",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,25,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,26,"cushion",,,,,,,,,,,,,2,
"Atacama","Pycnophyllum bryoides",5,27,"cushion",,,,,,,3,,,,,,,
