"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia echinus","Adesmia sp 2","Adesmia subterranea","Azorella madreporica","Calandrinia caespitosa","Calandrinia sp","Carex sp","Cerastium arvense","Chaetanthera lycopodioides","Chaetanthera pentacaenoides","Crucifera","Erigeron andicola","Gayophytum micranthum","Hordeum comosum","Jarava chrysophylla","Kurzamra pulchella","Menonvillea sp","Montiopsis copiapina","Nassauvia cumingii","Olsynium junceum","Oxalis sp","Phacelia secunda","Poa holciformis","Senecio sp","Trisetum oreophilum","Viola montagnei","Viola philippii"
"Elqui","Adesmia subterrania",8,1,"cushion",,,,,,,,,,,,,,9,,,2,,,,,,4,,,,6,,,
"Elqui","Adesmia subterrania",8,2,"cushion",,,,,,,,,,,,,1,4,,,1,,,,,,8,5,,,11,,,
"Elqui","Adesmia subterrania",8,3,"cushion",,,,,,,,,1,,,,1,3,,,,,,,,,3,,,,,,,
"Elqui","Adesmia subterrania",8,4,"cushion",,,,,,,,,4,,,,4,11,,,,,,,,,,1,,,6,,,
"Elqui","Adesmia subterrania",8,5,"cushion",,,,,,,,,,,,,4,3,,,,,,,,,,,,1,,,,
"Elqui","Adesmia subterrania",8,6,"cushion",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,7,"cushion",,,,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,8,"cushion",,,,,,,,,,,,,3,6,,,,1,,,,,,1,,,,,,
"Elqui","Adesmia subterrania",8,9,"cushion",,,,,,,,,,,,,2,2,,,,1,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,10,"cushion",,,,,,,,,6,,,,5,14,,,1,2,,,,,1,2,,,1,,,
"Elqui","Adesmia subterrania",8,21,"cushion",,,,,,,,,1,,,,5,,,4,,3,,,,,,2,,,,,,
"Elqui","Adesmia subterrania",8,22,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,23,"cushion",,,,,,,,,,,,,2,,,1,,,,,,,,3,,,,,,
"Elqui","Adesmia subterrania",8,24,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Elqui","Adesmia subterrania",8,25,"cushion",,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,26,"cushion",,,,,,,,,,,,,4,,,1,,4,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,27,"cushion",,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,28,"cushion",,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,29,"cushion",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,30,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
"Elqui","Adesmia subterrania",8,41,"cushion",,,,,,,,,,,,,9,,,,1,2,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,42,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,43,"cushion",,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,
"Elqui","Adesmia subterrania",8,44,"cushion",,,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,45,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,46,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,47,"cushion",,,,,,,,,,,,,1,,,,,3,,,,,,1,,,2,,,
"Elqui","Adesmia subterrania",8,48,"cushion",,,,3,3,,1,,6,,,,,2,,,,,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,49,"cushion",,,,,,,,,,,,,12,11,,,,,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,50,"cushion",,,,,,,,,2,,,,6,14,,,,1,,,1,,,,,,1,,,
"Elqui","Adesmia subterrania",8,61,"cushion",,,,,,,,,,,,,3,2,,,,,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,62,"cushion",,,,,,,,,,,,,3,4,,3,,,,,,,1,2,,,,,,
"Elqui","Adesmia subterrania",8,63,"cushion",,,,,,,,,1,,,,4,2,,4,,1,,,1,,4,,,,8,,,
"Elqui","Adesmia subterrania",8,64,"cushion",,,,,,,,,,,,,8,9,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,65,"cushion",,,,,,,,,8,,,,21,6,,,,3,,,,,,2,,,,,,
"Elqui","Adesmia subterrania",8,66,"cushion",,,,,,,,,,,,,8,4,,,,,,,,,,,,,2,,,
"Elqui","Adesmia subterrania",8,67,"cushion",,,,,,,,,,,,,7,,,2,,4,,,,,,5,,,,,,
"Elqui","Adesmia subterrania",8,68,"cushion",,,,,,,,,,,,,9,,,4,,4,,,1,,,2,,,,,,
"Elqui","Adesmia subterrania",8,69,"cushion",,,,,,,,,,,,,4,,,,,5,,,,,,4,,,1,,,
"Elqui","Adesmia subterrania",8,70,"cushion",,,,,,,,,,,,,1,,,4,,4,,,1,,,,,,,,,
"Elqui","Adesmia subterrania",8,81,"cushion",,,,,,,,,,,,,2,,,,1,,,,,,,,3,7,,,,
"Elqui","Adesmia subterrania",8,82,"cushion",,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,83,"cushion",,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,84,"cushion",,,,,,,,,,,,,3,,,,,,,,,,,1,2,,,,,
"Elqui","Adesmia subterrania",8,85,"cushion",,,,1,,,,,,,,,1,,,,1,1,,,,,,,1,1,,,,
"Elqui","Adesmia subterrania",8,86,"cushion",,,,,,,,,,,,,2,,,,3,1,,,,,,,1,,,,,
"Elqui","Adesmia subterrania",8,87,"cushion",,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,
"Elqui","Adesmia subterrania",8,88,"cushion",,,,,,,,,,,,,2,,,,4,,,,,,,1,,,,,,
"Elqui","Adesmia subterrania",8,89,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,90,"cushion",,,,,,,,,,,,,4,,,,5,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,1,"open",,,,,,,,,,,,,,,,,,1,,,,,2,,,,1,,,
"Elqui","Adesmia subterrania",8,2,"open",,,,,1,,,,4,,,6,,2,,,1,,,,,,,,1,,1,,,
"Elqui","Adesmia subterrania",8,3,"open",,,,,,,,,1,,,,,,1,,,,,,,,2,,,,1,,,
"Elqui","Adesmia subterrania",8,4,"open",,,,,,,,,,,,2,12,,,,,,,,,,,,,,2,,,
"Elqui","Adesmia subterrania",8,5,"open",,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,22,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,23,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,25,"open",,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,26,"open",,,,,,,,,,,1,,8,,,,,1,,1,,,,,,,,,,
"Elqui","Adesmia subterrania",8,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,44,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Elqui","Adesmia subterrania",8,45,"open",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,46,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,47,"open",,,,,,,,,,,,,3,,1,,,,,,,,,2,,,,,1,
"Elqui","Adesmia subterrania",8,64,"open",,,,,,,,,,,,,5,1,,,,,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,65,"open",,,,,1,,,,1,,,,14,1,,,,,,,,,,,,,,,,1
"Elqui","Adesmia subterrania",8,66,"open",,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,67,"open",,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,68,"open",,,,,,,,,,,,,11,,,,,,,,,,,3,,,,,,
"Elqui","Adesmia subterrania",8,85,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Elqui","Adesmia subterrania",8,86,"open",,,,,,,,,,,1,,4,,,,,,,,,,,,1,,,,,
"Elqui","Adesmia subterrania",8,87,"open",,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,
"Elqui","Adesmia subterrania",8,88,"open",,,,,,,,,,,,,4,,,,,,,,,,,2,,1,,,,
"Elqui","Adesmia subterrania",8,89,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,90,"open",,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,1
"Elqui","Adesmia subterrania",8,91,"open",,,,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,92,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,93,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,94,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Elqui","Adesmia subterrania",8,95,"open",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,96,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,97,"open",,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,
"Elqui","Adesmia subterrania",8,98,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,99,"open",,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,100,"open",,,,,1,,,,,,,1,14,1,,,,,,,,,,,,,,,1,
"Elqui","Adesmia subterrania",8,11,"cushion",,,,,,,,,,,,,3,2,,,,,,,,,,,,,1,,,
"Elqui","Adesmia subterrania",8,12,"cushion",,,,,,,,,,,,,3,4,,3,,,,,,,1,2,,,,,,
"Elqui","Adesmia subterrania",8,13,"cushion",,,,,,,,,1,,,,4,2,,4,,1,,,1,,4,,1,,8,,,
"Elqui","Adesmia subterrania",8,14,"cushion",,,,,,,,,,,,,8,9,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,15,"cushion",,,,,,,,,8,,,,21,6,,,,3,,,,,,2,,,,,,
"Elqui","Adesmia subterrania",8,16,"cushion",,,,,,,,,,,,,8,4,,,,,,,,,,,,,2,,,
"Elqui","Adesmia subterrania",8,17,"cushion",,,,,3,,,,,,,,7,,,2,,4,,,,,,5,,,,,,
"Elqui","Adesmia subterrania",8,18,"cushion",,,,,,,,,,,,,9,,,4,,4,,,1,,,2,,,,,,
"Elqui","Adesmia subterrania",8,19,"cushion",,,,,,,,,,,,,4,,,,,5,,,,,,4,1,,1,,,
"Elqui","Adesmia subterrania",8,20,"cushion",,,,,,,,,,,,,1,,,4,,4,,,1,,,,,,,,,
"Elqui","Adesmia subterrania",8,31,"cushion",,,,,,,,,,,,,2,,,,1,,,,,,,,2,7,,,,
"Elqui","Adesmia subterrania",8,32,"cushion",,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,33,"cushion",,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,34,"cushion",,,,,,,,,,,,,3,,,,,,,,,,,1,2,,,,,
"Elqui","Adesmia subterrania",8,35,"cushion",,,,,2,,,,,,,,1,,,,1,1,,,,,,,1,1,,,,
"Elqui","Adesmia subterrania",8,36,"cushion",,,,,,,,,,,,,2,,,,3,1,,,,,,,1,,,,,
"Elqui","Adesmia subterrania",8,37,"cushion",,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,
"Elqui","Adesmia subterrania",8,38,"cushion",,,,,,,,,,,,,2,,,,4,,,,,,,1,,,,,,
"Elqui","Adesmia subterrania",8,39,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,40,"cushion",,,,,,,,,,,,,4,,,,5,1,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,51,"cushion",,,,,,,,,,,,,,9,,,2,,,,,,4,,,,6,,,
"Elqui","Adesmia subterrania",8,52,"cushion",,,,,,,,,,,,,1,4,,,1,,,,,,8,5,,,11,,,
"Elqui","Adesmia subterrania",8,53,"cushion",,,,,,,,,1,,,,1,3,,,,,,,,,3,,,,,,,
"Elqui","Adesmia subterrania",8,54,"cushion",,,,,,,,,4,,,,4,11,,,,,,,,,,1,,,6,,,
"Elqui","Adesmia subterrania",8,55,"cushion",,,,,,,,,,,,,4,3,,,,,,,,,,,,1,,,,
"Elqui","Adesmia subterrania",8,56,"cushion",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,57,"cushion",,,,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,
"Elqui","Adesmia subterrania",8,58,"cushion",,,,,,,,,,,,,3,6,,,,1,,,,,,1,,,,,,
