Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androsace chamaejasme,Arenaria ciliata,Artemisia eriantha,Astragalus frigidus,Bartsia alpina,Botrychium lunaria,Campanula alpina,Campanula cochleariifolia,Campanula tatrae,Carex atrata,Carex capillaris,Carex firma,Carex fuliginosa,Carex sempervirens,Cerastium lanatum,Comastoma tenellum,Crepis jacquinii,Delphinium oxysepalum,Doronicum clusii,Draba aizoides,Draba tomentosa,Dryas octopetala,Erigeron alpinus,Erigeron uniflorus,Euphrasia salisburgensis,Euphrasia tatrae,Festuca versicolor,Galium anisophyllon,Gentianella lutescens,Hedysarum hedysaroides,Helianthemum alpestre,Helianthemum grandiflorum,Chamorchis alpina,Ligusticum mutellinoides,Lloydia serotina,Luzula spicata,Minuartia gerardii,Minuartia sedoides,Myosotis alpestris,Oxytropis campestris,Oxytropis carpatica,Oxytropis halleri,Parnassia palustris,Pedicularis oederi,Pedicularis verticillata,Persicaria bistorta,Persicaria vivipara,Phyteuma orbiculare,Poa alpina,Pseudorchis albida,Ranunculus alpestris,Ranunculus breyninus,Ranunculus pseudomontanus,Rhodiola rosea,Salix alpina,Salix herbacea,Salix reticulata,Salix retusa,Saussurea alpina,Saxifraga aizoides,Saxifraga paniculata,Scabiosa lucida,Sedum atratum,Sesleria tatrae,Silene acaulis,Thymus alpestris,Trisetum alpestre,Trisetum flavescens
100,"The Hlupy peak","Minuartia sedoides",1,"cushion",16,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,5,,,4,,,,,2,,,,,,,,,2,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",1,"open",16,15,6,,,,,,,,,,,,,,4,,,,,,,,,,,,20,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",2,"cushion",29,28.5,4,11,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,2,,,,,11,,2,,,,,4,,,,,,,,,,,8,,,
100,"The Hlupy peak","Minuartia sedoides",2,"open",29,28.5,,4,,,,,,,,1,,,,10,3,,,,,,,,,,1,,120,1,,,,,,,,,,,,,,,,,4,,4,,,,,2,,5,,,,,,,10,,,7,,2,,
100,"The Hlupy peak","Minuartia sedoides",3,"cushion",30,29,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,
100,"The Hlupy peak","Minuartia sedoides",3,"open",30,29,9,,,,,,,,,,,21,,,,,3,,,,,,,,2,,120,,,,2,,,,,,,,,,1,,,,4,,8,,,,,,,,,,,,,,32,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",4,"cushion",30,24,21,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,3,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",4,"open",30,24,,3,,,,,,,,,,9,,2,4,,,,,,,,,,,,99,,,,8,,,,3,,,,,,1,,,,3,,,,,,,,,,,,,,,,5,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",5,"cushion",26,20,2,,,,,,,,,,,,,,,,1,,,,,,,,,,12,,,,,,,,,,,,,,3,,,,,,7,,1,,,1,,,,,,,,,,,,,,,,
100,"The Hlupy peak","Minuartia sedoides",5,"open",26,20,4,,,,,,,,,,,,,,,,4,,,,,,,,,,140,,,,1,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
