Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),no flowers,no species,no plants,aster,carex,caryo,draba,draba (yellow),festuca,Koeleria macrantha,penstemon heterodoxus,phlox,plantago,trifolium andersonii
101,"White Mountains","Eriogonum sp.",1,"on cushion",34,30,189,3,19,,,,1,,,17,,,1,
101,"White Mountains","Eriogonum sp.",1,"in open",34,30,,,,1,,,,,,30,,,,4
101,"White Mountains","Eriogonum sp.",2,"on cushion",21,21,68,2,13,1,,,,,,12,,,,
101,"White Mountains","Eriogonum sp.",2,"in open",21,21,,,,,,,1,,,15,,,,2
101,"White Mountains","Eriogonum sp.",3,"on cushion",14,14,12,3,8,,,,,,1,3,,,,4
101,"White Mountains","Eriogonum sp.",3,"in open",14,14,,,,,,,1,,2,3,2,,,4
101,"White Mountains","Eriogonum sp.",4,"on cushion",12,14,35,2,6,,,,,,4,,,,,2
101,"White Mountains","Eriogonum sp.",4,"in open",12,14,,,,,,,,,1,,,,,3
101,"White Mountains","Eriogonum sp.",5,"on cushion",19,17,48,5,10,1,2,,,,4,2,,,,2
101,"White Mountains","Eriogonum sp.",5,"in open",19,17,,,,1,8,,,,,1,,,,1
101,"White Mountains","Eriogonum sp.",6,"on cushion",22,18,60,5,12,21,,,,,1,4,,,,4
101,"White Mountains","Eriogonum sp.",6,"in open",22,18,,,,1,2,,,,2,4,,,,4
101,"White Mountains","Eriogonum sp.",7,"on cushion",13,15,65,2,5,,,,,,1,,,,,4
101,"White Mountains","Eriogonum sp.",7,"in open",13,15,,,,,,,,,,,,,,4
101,"White Mountains","Eriogonum sp.",8,"on cushion",12,12,8,2,6,,,,,,,2,,,,4
101,"White Mountains","Eriogonum sp.",8,"in open",12,12,,,,,4,,,,,,,,,5
101,"White Mountains","Eriogonum sp.",9,"on cushion",12,10,18,3,15,,,,,,5,2,,,,8
101,"White Mountains","Eriogonum sp.",9,"in open",12,10,,,,,2,,,,,1,,2,,2
101,"White Mountains","Eriogonum sp.",10,"on cushion",14,15,27,4,15,,3,,,,4,4,,,,4
101,"White Mountains","Eriogonum sp.",10,"in open",14,15,,,,,,,,,,,,,3,6
101,"White Mountains","Eriogonum sp.",11,"on cushion",17,15,40,7,14,,3,,1,,5,1,,,1,3
101,"White Mountains","Eriogonum sp.",11,"in open",17,15,,,,1,,,,,1,,,,,6
101,"White Mountains","Eriogonum sp.",12,"on cushion",8,7,1,3,8,,,,,,,,,,1,4
101,"White Mountains","Eriogonum sp.",12,"in open",8,7,,,,,,,,,,,,,,3
101,"White Mountains","Eriogonum sp.",13,"on cushion",14,15,25,4,13,,,,,,1,3,,1,,8
101,"White Mountains","Eriogonum sp.",13,"in open",14,15,,,,,,,,,,1,,,,5
101,"White Mountains","Eriogonum sp.",14,"on cushion",15,12,12,2,8,,,,,,5,,,,,3
101,"White Mountains","Eriogonum sp.",14,"in open",15,12,,,,1,,,,,1,,,,,4
101,"White Mountains","Eriogonum sp.",15,"on cushion",16,16,35,3,11,,,,,,3,,,,4,4
101,"White Mountains","Eriogonum sp.",15,"in open",16,16,,,,1,,,,,,,,,4,5
101,"White Mountains","Eriogonum sp.",16,"on cushion",11,11,5,5,25,1,,,1,,7,,4,,,5
101,"White Mountains","Eriogonum sp.",16,"in open",11,11,,,,2,,,,,2,1,1,,,3
101,"White Mountains","Eriogonum sp.",17,"on cushion",17,16,33,4,18,1,,,,,2,8,,,,7
101,"White Mountains","Eriogonum sp.",17,"in open",17,16,,,,,,,,,,,,,1,6
