"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 1","Adesmia sp 2","Barneoudia major","Bromus setifoluis","Calandrinia affinis","Cerastium arvense","Chaetanthera euphrasioides","Chaetanthera lycopodioides","Erigeron andicola","Galium gilliesii","Hordeum comosum","Junellia uniflora","Montiopsis potentilloides","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Olsynium scirpoideum","Oxalis compacta","Perezia carthamoides","Phacelia secunda","Pozoa coriacea","Rytidosperma pictum","Senecio looseri","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Viola atropurpurea","Viola philippii"
"Franciscano","Azorella madreporica",11,1,"cushion",,,,,,,,,,,,,,1,,1,,,3,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,2,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,3,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,4,"cushion",,,,,,,,,,1,,,,2,,,,,,,,,,,,,,4,,,
"Franciscano","Azorella madreporica",11,5,"cushion",,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,7,,
"Franciscano","Azorella madreporica",11,6,"cushion",,,,,,,,,,3,,,,,,,,,1,,,,,,,,2,3,18,,
"Franciscano","Azorella madreporica",11,7,"cushion",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,8,"cushion",,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,9,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
"Franciscano","Azorella madreporica",11,10,"cushion",,,,,,,,,,,,6,,5,,,,,1,,,,,,,,1,1,3,,
"Franciscano","Azorella madreporica",11,11,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,19,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
"Franciscano","Azorella madreporica",11,20,"cushion",,,,,,,,,11,,,,,1,,,,,,,,,,,2,,,2,7,,
"Franciscano","Azorella madreporica",11,21,"cushion",,,,,,,,2,61,,,,,,,,,,2,,,,,,2,,,2,4,,
"Franciscano","Azorella madreporica",11,22,"cushion",,,,,,,,,17,,,,,,,,,,1,,,,,,,,,3,7,,
"Franciscano","Azorella madreporica",11,23,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
"Franciscano","Azorella madreporica",11,24,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
"Franciscano","Azorella madreporica",11,25,"cushion",,,,,,,,,72,,,,,3,,,,,,,,,,,,,,,1,,
"Franciscano","Azorella madreporica",11,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,27,"cushion",,,,,,,,,14,,,,,2,,,,,1,,,,1,,,,1,2,,,
"Franciscano","Azorella madreporica",11,28,"cushion",,,,,,,,,31,1,,,,,,,,,,,,,,,,,,1,1,,
"Franciscano","Azorella madreporica",11,29,"cushion",,,,,,,,,49,,,,,,,,,,3,,,,,,,,,3,6,,
"Franciscano","Azorella madreporica",11,37,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,38,"cushion",,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,39,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,40,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,41,"cushion",,,,,,,1,,6,2,,,1,3,,,,,,,,,,,,,2,2,,,
"Franciscano","Azorella madreporica",11,42,"cushion",,,,,,,2,3,7,1,,,,1,,,,,18,,,,,,3,,2,4,23,,
"Franciscano","Azorella madreporica",11,43,"cushion",,,,1,,,,,43,,,,,,,,,,1,,,,,,,,,2,,,
"Franciscano","Azorella madreporica",11,44,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,45,"cushion",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,46,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,47,"cushion",,,,,,,1,,46,,,1,,,,,,,1,,,,,,,,,,2,,
"Franciscano","Azorella madreporica",11,55,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,56,"cushion",,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,1,,
"Franciscano","Azorella madreporica",11,57,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,58,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,59,"cushion",,,,,,,,,2,,,,,6,,,1,,,,,,,,,,1,,,,
"Franciscano","Azorella madreporica",11,60,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,61,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,62,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Franciscano","Azorella madreporica",11,63,"cushion",,,,,,,,,137,,,,,2,,,,,5,,,,,,,,1,14,,,
"Franciscano","Azorella madreporica",11,64,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,65,"cushion",,,,,,,,,,,,,,3,,,,,,,1,,,,,,1,1,5,,
"Franciscano","Azorella madreporica",11,73,"cushion",,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,
"Franciscano","Azorella madreporica",11,74,"cushion",,,,,,,,,41,,,,,1,,,,,2,,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,75,"cushion",,,,,,,,,343,,,,,6,,,,,5,,,,,,,,2,25,8,,
"Franciscano","Azorella madreporica",11,76,"cushion",,,,,,,,,45,,,,,1,,,1,,,,,,,,,1,,4,5,,
"Franciscano","Azorella madreporica",11,77,"cushion",,,,,,,,,111,,,2,,5,,,,,18,,,,,,,,5,4,4,,
