"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 1","Adesmia sp 2","Barneoudia major","Bromus setifoluis","Carex sp 1","Chaetanthera euphrasioides","Chaetanthera pusilla","Erigeron andicola","Hordeum comosum","Montiopsis andicola","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Oxalis compacta","Pozoa coriacea","Rytidosperma pictum","Senecio looseri","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei"
"Tres Puntas","Azorella madreporica",12,1,"cushion",,,,,,1,,,,,2,2,3,1,,,,,,1,1,10,
"Tres Puntas","Azorella madreporica",12,2,"cushion",,,,,,,,,,,2,1,,,,,,,,,,3,
"Tres Puntas","Azorella madreporica",12,3,"cushion",,,,,,,,1,,,,3,3,,,1,,,,,1,4,2
"Tres Puntas","Azorella madreporica",12,4,"cushion",,,,,,,1,,,,,2,,,,,,,,,1,1,
"Tres Puntas","Azorella madreporica",12,23,"cushion",,,,,,1,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,24,"cushion",,,,,,,,1,,,3,7,,,,,,,1,,,2,
"Tres Puntas","Azorella madreporica",12,25,"cushion",,,,,,,,,,,1,2,,,,,,,,,1,1,
"Tres Puntas","Azorella madreporica",12,26,"cushion",,,,,,,,,,,,1,1,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,45,"cushion",,,,,,,,,,,,,1,,,,,,,,1,2,
"Tres Puntas","Azorella madreporica",12,46,"cushion",,,,,,,,,,,1,,,,,,,,1,,,4,
"Tres Puntas","Azorella madreporica",12,47,"cushion",,,,,,,,,,,,3,1,,,1,,,,,,5,1
"Tres Puntas","Azorella madreporica",12,48,"cushion",,,,,,,,,,,,,,,,1,,,,,,,
"Tres Puntas","Azorella madreporica",12,67,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,68,"cushion",,,,,,,,,,,1,1,,,,1,,,,,,,
"Tres Puntas","Azorella madreporica",12,69,"cushion",,,,,,,,,,,,,,,,1,,,,,,,
"Tres Puntas","Azorella madreporica",12,70,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,89,"cushion",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,90,"cushion",,,,,,,,,,,4,,,,,,,,,,,,2
"Tres Puntas","Azorella madreporica",12,91,"cushion",,,,,,,,,,,1,1,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,92,"cushion",,,,,,1,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,93,"cushion",,,,,,,,1,,,,1,,,,,,,,,,4,
"Tres Puntas","Azorella madreporica",12,94,"cushion",,,,,,,,2,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,95,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,11,"open",,,,,,,,,,,,4,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,34,"open",,,,,,,,,,5,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,57,"open",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,80,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,81,"open",,,,,,,,,,,,4,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,82,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,83,"open",,,,,,,,,,,,1,,1,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,84,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,85,"open",,,,,,,,,,,,2,,,,,1,,,,,,
"Tres Puntas","Azorella madreporica",12,86,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,87,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,88,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,89,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,90,"open",,,,,,,1,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,91,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,92,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,93,"open",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,94,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,95,"open",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,96,"open",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,97,"open",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,98,"open",,,,2,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,99,"open",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,5,"cushion",,,,,,,,,,,,2,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,6,"cushion",,,,,,,,,,,,,1,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,7,"cushion",,,,,,,,,,,1,2,1,,,,,,,,,7,
"Tres Puntas","Azorella madreporica",12,8,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,9,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,10,"cushion",,,,,,,,,,,1,4,1,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,11,"cushion",,,,,,1,,,,,,5,,,,1,,,,,,1,2
"Tres Puntas","Azorella madreporica",12,12,"cushion",,,,,,,,,,,,8,1,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,13,"cushion",,,,,,,,,,,,4,,,,,,,1,,,2,
"Tres Puntas","Azorella madreporica",12,14,"cushion",,,,,,,,,,,,3,2,,,,,,1,,,1,
"Tres Puntas","Azorella madreporica",12,15,"cushion",,,,,,,,1,,,1,4,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,16,"cushion",,,,,,,,,,,3,3,1,,,,,,,,,2,
"Tres Puntas","Azorella madreporica",12,17,"cushion",,,,,,1,,,,,,,,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,18,"cushion",,,,,,,,,,,1,7,2,,,,,,,,1,6,
"Tres Puntas","Azorella madreporica",12,19,"cushion",,,,,,,,,,,,4,4,,,1,,,,,1,3,4
"Tres Puntas","Azorella madreporica",12,20,"cushion",,,,,,,,1,,,,6,7,,,,,,,,2,3,
"Tres Puntas","Azorella madreporica",12,21,"cushion",,,,,,,,,,,,,2,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,22,"cushion",,,,,,,1,,,,4,10,2,,,1,,,,1,1,6,8
"Tres Puntas","Azorella madreporica",12,27,"cushion",,,,,,,,,,,,,,,,,,,,,,,
