"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 3","Adesmia sp 4","Adesmia sp 6","Anarthrophyllum gayanum","Barneoudia major","Berberis empetrifolia","Bromus catharticus","Bromus setifolius","Calandrinia caespitosa","Chaetanthera euphrasioides","Chaetanthera pusilla","Chuquiraga oppositifolia","Ephedra chilensis","Erigeron andicola","Euphorbia collina","Haploppappus scrobiculatus","Hordeum comosum","Montiopsis gayana","Nassauvia axillaris","Nassauvia uniflora","Nastanthus agglomeratus","Oxalis squamata","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Polygala salasiana","Quinchamalium chilense","Rhodophiala uniflora","Senecio bustillosianus","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum"
"La Parva","Laretia_acaulis",13,1,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,
"La Parva","Laretia_acaulis",13,2,"cushion",,,,1,,1,,1,,2,,2,,,,,,,,1,,,3,,,,,,24,1,2,,,,2,
"La Parva","Laretia_acaulis",13,3,"cushion",,,,,,1,,1,,1,,,,,2,,,1,,2,,,,,,,,,6,,,,,1,,
"La Parva","Laretia_acaulis",13,4,"cushion",,,,,,,,,,,8,,,,,,3,,,,,,1,,,,,,,,,1,,,,
"La Parva","Laretia_acaulis",13,5,"cushion",,,,1,1,,,,,,,,,,2,,,,,3,,,,,,,,,3,1,,,,1,,
"La Parva","Laretia_acaulis",13,6,"cushion",,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,1,,,,,1,
"La Parva","Laretia_acaulis",13,7,"cushion",,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,2,,
"La Parva","Laretia_acaulis",13,8,"cushion",,,,,,,,1,,,6,1,,,4,2,5,2,,2,,1,,,,,,,5,,,,,1,,
"La Parva","Laretia_acaulis",13,19,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,2,,1,,
"La Parva","Laretia_acaulis",13,20,"cushion",,,,,1,,,,3,1,,,,,,,,3,,1,,,3,,,,19,,5,,2,,,2,1,
"La Parva","Laretia_acaulis",13,21,"cushion",,,,,,,,,,,6,,,,,,1,1,2,,,,,,,,,,,,1,,,1,,
"La Parva","Laretia_acaulis",13,22,"cushion",,,,,,,,3,,,,,,,,,,1,,1,,,,,,,,,5,1,,,,,,
"La Parva","Laretia_acaulis",13,23,"cushion",,,,1,1,,,4,3,,6,1,,,2,,,,2,2,,,1,,,,9,,31,2,,1,,1,3,
"La Parva","Laretia_acaulis",13,24,"cushion",,,,,,,,,,1,4,,,,1,,,1,,1,,,,,,,,,2,1,,,,2,2,
"La Parva","Laretia_acaulis",13,25,"cushion",,,,,,,,,2,,11,,,,3,1,,2,,3,,,1,,,,14,,7,1,3,3,,3,1,
"La Parva","Laretia_acaulis",13,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,,,,,,
