"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena leptacantha","Adesmia sp4","Barneoudia major","Bromus setifoluis","Carex sp 2","Chaetanthera apiculata","Chaetanthera euphrasioides","Chaetanthera planiseta","Chaetanthera pusilla","Cuscuta chilensis","Erigeron andicola","Haplopappus scrobiculatus","Hordeum comosum","Hypochaeris tenuifolia","Loasa sigmoidea","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Oxalis compacta","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Poa pratensis","Pozoa coriacea","Quinchamalium chilense","Rhodophiala uniflora","Rytidosperma violaceum","Senecio bustillosianus","Senecio looseri","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Tropaeolum polyphyllum","Viola philippii"
"La Parva","Laretia_acaulis",14,1,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,2,"cushion",,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",14,3,"cushion",,,,,,,5,5,,,,,,5,,4,,,,,,,,,,4,2,,2,,2,,,3,1,1,,,
"La Parva","Laretia_acaulis",14,4,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,
"La Parva","Laretia_acaulis",14,5,"cushion",,,,,,1,1,1,,,,,,,,,,,,,,,,,,2,2,,1,,2,,,2,2,1,,,
"La Parva","Laretia_acaulis",14,6,"cushion",,,,,,,1,2,,,,,,5,,2,,,,,1,,,,,,3,,,,,,,1,,,2,,
"La Parva","Laretia_acaulis",14,7,"cushion",,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,8,"cushion",,,,,,1,3,1,,,,,,3,,4,,,,1,2,,,,,5,4,,3,,3,,,,2,6,3,,1
"La Parva","Laretia_acaulis",14,18,"cushion",,,,,,,1,,,,,,,,,,,,,2,,,,,,3,,,,,2,,,,,,,,
"La Parva","Laretia_acaulis",14,19,"cushion",,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,20,"cushion",,,,2,,1,1,,,,,,,2,,4,,,,,2,,,,,6,6,,,3,3,,,3,1,2,,,
"La Parva","Laretia_acaulis",14,21,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,1,,,2,,
"La Parva","Laretia_acaulis",14,22,"cushion",,,,,,,4,,,,,,,,,2,,,,1,1,,,1,,4,4,,,2,1,,,2,1,,2,,
"La Parva","Laretia_acaulis",14,23,"cushion",,,,,,1,2,,,,,,,,,2,,,,2,1,,,,,,3,,,,,,,,,,,,1
"La Parva","Laretia_acaulis",14,24,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,25,"cushion",,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,35,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,36,"cushion",,,,,,,2,,,,,,,,1,,,,,,1,,1,,,,2,,,,2,,,3,,,3,,
"La Parva","Laretia_acaulis",14,37,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,38,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
"La Parva","Laretia_acaulis",14,39,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,40,"cushion",,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,41,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,42,"cushion",,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,
"La Parva","Laretia_acaulis",14,52,"cushion",,,,,,,1,,,,,,,,,,,,1,,,,,,,3,2,,,,,,,2,1,,,,
"La Parva","Laretia_acaulis",14,53,"cushion",,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",14,54,"cushion",,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,1
"La Parva","Laretia_acaulis",14,55,"cushion",,,,,,,2,,,,,,,1,,1,,1,,,,,,,,3,3,,,,2,,,,1,,,,
"La Parva","Laretia_acaulis",14,56,"cushion",,,,,,,2,,,,,,,,,2,,,,,,,,,,,2,,,,1,1,,,1,,,,
"La Parva","Laretia_acaulis",14,57,"cushion",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,58,"cushion",,,,,,1,2,,,,,,,,,6,,,,,,,,2,,4,,,1,1,1,,,,,,,,
"La Parva","Laretia_acaulis",14,59,"cushion",,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,69,"cushion",,,,,1,,2,,,,,,,,,2,,,,,,,,,,1,,,1,,1,,1,,,,,,
"La Parva","Laretia_acaulis",14,70,"cushion",,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,71,"cushion",,,,,,,,,,,,,,2,,1,2,,,,,,,,,,,,1,,,3,,,,,,,
"La Parva","Laretia_acaulis",14,72,"cushion",,,,,,,,,,,,,,,,,6,,,,,,,,,1,2,,,,1,,,,,,,,
"La Parva","Laretia_acaulis",14,73,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
"La Parva","Laretia_acaulis",14,74,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,,,
