"site","cushion","code","sample","cushion.open","diam1","diam2","Acaena pinnatifida","Acaena splendens","Adesmia sp 1","Adesmia sp 2","Bromus setifolius","Euphorbia collina","Juncus sp","Mulinum spinosum","Olsynium frigidum","Perezia recurvata","Perezia sp","Poa sp","Senecio francisci","Senecio sp","Sisyrinchium arenarium","Tarasa humilis","Viola cotyledon","Unidentified Poaceae"
"Antuco","Oreopolus glacialis",15,1,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,2,"cushion",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,3,"cushion",,,,,,1,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,26,"cushion",,,,1,,,1,1,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,27,"cushion",,,,,,,2,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,28,"cushion",,,,,,,2,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,51,"cushion",,,,,3,,,,,,,,2,,,6,,1,,
"Antuco","Oreopolus glacialis",15,22,"open",,,,,,,1,1,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,23,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,24,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,48,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,49,"open",,,,,,2,2,1,8,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,50,"open",,,,,,,,,,,,,,,,,,1,,
"Antuco","Oreopolus glacialis",15,51,"open",,,,,,,,,,,,,,,,,,1,,
"Antuco","Oreopolus glacialis",15,52,"open",,,,,,,,,,,,,,,,,,2,,
"Antuco","Oreopolus glacialis",15,53,"open",,,,,,,1,,1,,,2,,,,1,,,,
"Antuco","Oreopolus glacialis",15,54,"open",,,,,,,,,,,,,,1,,,,,,
