"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena pinnatifida","Agrostis serranoi","Arenaria serpens","Berberis empetrifolia","Chaetanthera lycopodioides","Cyperus reflexus","Epilobium nivale","Erigeron andicola","Gaultheria pumila","Geranium sessiliflorum","Haplopappus diplopappus","Heliotropium geissei","Hypochaeris clarionoides","Hypochaeris radicata","Juncus bufonius","Juncus imbricatus","Juncus stipulatus","Plagiobothrys myosotoides","Plantago lanceolata","Poa sp 1","Poa sp2","Rumex acetosella","Spergularia rubra","Taraxacum officinale","Trifolium dubium","Trifolium repens","Viola subandina"
"Antuco","Azorella_trifurcata",16,1,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Antuco","Azorella_trifurcata",16,2,"cushion",,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,3,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,4,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,5,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,6,"cushion",,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,7,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,21,"cushion",,,,,,2,,,,,,,,,,,,,,,,,,,1,,2,,,
"Antuco","Azorella_trifurcata",16,22,"cushion",,,,,,,,,,5,,3,,,,,,,,,,,,,,,2,,,
"Antuco","Azorella_trifurcata",16,23,"cushion",,,,,3,5,,,,2,,,,,,,,,,,,,5,,,,,1,,
"Antuco","Azorella_trifurcata",16,24,"cushion",,,,,2,3,,,,3,,,,,,,,,,,,,,,,,3,,,
"Antuco","Azorella_trifurcata",16,25,"cushion",,,,,,,,,,,1,,,4,,,,1,,,,,,,1,,3,,,
"Antuco","Azorella_trifurcata",16,26,"cushion",,,,,,,3,,,,,1,,,,,,,,,,,10,,,,2,,4,
"Antuco","Azorella_trifurcata",16,27,"cushion",,,,,,1,,,,2,,2,,,,,,,,,,,4,,,,1,,,
"Antuco","Azorella_trifurcata",16,41,"cushion",,,,,,,,,,,,,,,,8,,,,,6,,4,,,,1,3,,
"Antuco","Azorella_trifurcata",16,42,"cushion",,,,,,,,,,,,,,11,,,1,,,,2,,10,,,,3,5,,
"Antuco","Azorella_trifurcata",16,43,"cushion",,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,
"Antuco","Azorella_trifurcata",16,44,"cushion",,,,7,,,,,,,,,,,,,,,,,,,4,,1,,10,,,
"Antuco","Azorella_trifurcata",16,45,"cushion",,,,1,,2,,,,,,,,,,10,,,,,,,4,,1,,5,,20,
"Antuco","Azorella_trifurcata",16,46,"cushion",,,,,,3,,,,8,,,,,,,,,1,3,,4,,,,,18,4,,
"Antuco","Azorella_trifurcata",16,47,"cushion",,,,1,,,,,,,,,,,,,2,1,,,,,,,4,,9,,28,
"Antuco","Azorella_trifurcata",16,48,"cushion",,,,,,,,,,,,,,1,,,,,,8,,,12,,3,,,15,,
"Antuco","Azorella_trifurcata",16,49,"cushion",,,,,,1,,,,,4,,4,,,57,,5,,,,,7,,,,6,,20,
"Antuco","Azorella_trifurcata",16,50,"cushion",,,,,60,28,,,,,6,,1,,,,,,,1,,4,24,,,,3,,,
"Antuco","Azorella_trifurcata",16,9,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,10,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,30,"open",,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Antuco","Azorella_trifurcata",16,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,51,"open",,,,,,27,,,1,,,,,,,,,,,4,,,,,1,,,1,,
"Antuco","Azorella_trifurcata",16,52,"open",,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,8,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,9,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,10,"cushion",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,11,"cushion",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Antuco","Azorella_trifurcata",16,12,"cushion",,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
"Antuco","Azorella_trifurcata",16,13,"cushion",,,,,5,,,,,,,,,,,4,,,,,,,8,,,,,,,
"Antuco","Azorella_trifurcata",16,14,"cushion",,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,
"Antuco","Azorella_trifurcata",16,15,"cushion",,,,,,,,,,3,,,,,,,,,,,2,,,,,,1,,,
"Antuco","Azorella_trifurcata",16,16,"cushion",,,,,,,,,,3,,1,,,,,,,,,,,7,,,,4,,,
"Antuco","Azorella_trifurcata",16,17,"cushion",,,,,,,,,,,,,,,,11,,,,,,,1,,,,,,,
"Antuco","Azorella_trifurcata",16,18,"cushion",,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,
"Antuco","Azorella_trifurcata",16,19,"cushion",,,,,,1,,,,,,,,,,,,,,,7,,2,,,,,1,,
"Antuco","Azorella_trifurcata",16,20,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,28,"cushion",,,,1,,,,,,,,,,2,,,,,,,5,,1,,,,7,49,,
"Antuco","Azorella_trifurcata",16,29,"cushion",,,,,,,,,,4,,4,,6,,,,,,,,,,,,,1,,,
"Antuco","Azorella_trifurcata",16,30,"cushion",,,,,,,,,,,5,,,2,,,,,,,,,,,,,,10,,
"Antuco","Azorella_trifurcata",16,31,"cushion",,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,
"Antuco","Azorella_trifurcata",16,32,"cushion",,,,,,1,,,,,,,,,,,,,,,8,,,,1,,,4,,
"Antuco","Azorella_trifurcata",16,33,"cushion",,,,,2,4,,,,16,,,,,,1,,,1,,,,,,,,4,,,
"Antuco","Azorella_trifurcata",16,34,"cushion",,,,,5,,,,,,,,,,,,,,,,,,,,2,,1,,,
"Antuco","Azorella_trifurcata",16,35,"cushion",,,,,,6,,,,,,,,22,,,,,,,,,6,,2,,2,,13,
"Antuco","Azorella_trifurcata",16,36,"cushion",,,,2,,,,,,,2,,1,3,,,,,,,1,,11,,,,5,3,,
"Antuco","Azorella_trifurcata",16,37,"cushion",,,,1,,,,,,,,,,2,,,,,,,7,,14,,,36,,4,,
"Antuco","Azorella_trifurcata",16,38,"cushion",,,,,,6,,,,,,2,,12,,,,,,,3,,9,,,,,6,,
"Antuco","Azorella_trifurcata",16,39,"cushion",,,,,,,,,,,,,,,,,,,,,,,13,,,4,5,62,,
"Antuco","Azorella_trifurcata",16,40,"cushion",,,,,,,,,,7,,4,,,,,,,,,4,,2,,,,3,8,,
"Antuco","Azorella_trifurcata",16,51,"cushion",,,,,,6,,,,,,8,,,,,,,4,,,,52,,,,,1,,
"Antuco","Azorella_trifurcata",16,52,"cushion",,,,,46,,1,,,,,,,,1,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,1,"open",,,,,,,,,,,,,2,,,,,,1,,,,6,,,,,,,
