"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,1,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,2,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,3,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,4,"cushion",,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,5,"cushion",,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,6,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,15,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,16,"cushion",,,,,,,19,,,,,,,,,,,,,,1,,,,,,,1,,,,4,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,17,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,18,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,19,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,20,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,29,"cushion",,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,30,"cushion",,,,1,,,2,,,,,,,,,,,,,,,,,,,,,3,,5,4,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,31,"cushion",,,,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,8,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,32,"cushion",,,,1,,1,,,,,,,11,,,,,,,,,,,,,,2,,,25,,6,2,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,33,"cushion",,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,3,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,34,"cushion",,,,,,1,,,,,,,,,,1,,,,,3,,,,,,,,,6,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,43,"cushion",,,,6,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,44,"cushion",,,,,,4,,,,,,,,,,,,,,,1,,,2,,,,,,,,8,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,45,"cushion",,,,,,2,14,,,,,,,,,,,,,,1,,,4,,,,,,,,5,,1,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,46,"cushion",,,,,,5,,,,,,,,,,,5,,,,4,,,,,,,,,,,32,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,47,"cushion",,,,1,,6,13,,,,,,,,,7,1,,5,,9,,,,,,,,6,,,18,,2,,4
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,48,"cushion",,,,,,2,36,,,,,,,,,,,,,,,,,2,,,,2,,7,,9,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,57,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,58,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
