"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,1,"cushion",,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,16,"cushion",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,31,"cushion",,,,2,,2,10,,,,,,,,,1,,,,,,,,,,3,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,46,"cushion",,,,6,,8,35,,,,,,,,,8,,,,,,,,,1,2,,,,,,13,,,,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,61,"cushion",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,76,"cushion",,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,91,"cushion",,,,4,,4,2,,,,,,,,,1,,2,,,,,,,2,3,,,,,,3,,,,3
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,92,"cushion",,,,5,,1,,,,,,,,,,1,,,,,,,,,4,,,,,,,7,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,6,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
