"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Discaria nana","Discaria nana",19,1,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,2,"cushion",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,3,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,4,"cushion",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,5,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,17,"cushion",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,
"Bariloche Discaria nana","Discaria nana",19,18,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Bariloche Discaria nana","Discaria nana",19,19,"cushion",,,,,,2,,,,,,,1,,,,3,,,,,,,,,,,,,,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,20,"cushion",,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,21,"cushion",,,,,,,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,33,"cushion",,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,4,,,3
"Bariloche Discaria nana","Discaria nana",19,34,"cushion",,,,,,,,,,,,,3,,,,,12,,,2,,,,,,,,,,,,,2,,
"Bariloche Discaria nana","Discaria nana",19,35,"cushion",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,
"Bariloche Discaria nana","Discaria nana",19,36,"cushion",,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,27,,10,3,,,
"Bariloche Discaria nana","Discaria nana",19,37,"cushion",,,,,4,,,,,,,,,,,2,,,,1,,,,,1,,,,,20,,6,,,3,
"Bariloche Discaria nana","Discaria nana",19,49,"cushion",,,,,,,3,,,,,,,,,2,,1,6,3,3,,,,,,,,,,,3,,2,,
"Bariloche Discaria nana","Discaria nana",19,50,"cushion",,,,,2,,7,,,,1,,,,,,1,,5,2,,,,,,,,,,9,,,,,,1
"Bariloche Discaria nana","Discaria nana",19,51,"cushion",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,52,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,53,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,65,"cushion",,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,
"Bariloche Discaria nana","Discaria nana",19,66,"cushion",,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,
"Bariloche Discaria nana","Discaria nana",19,67,"cushion",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,
"Bariloche Discaria nana","Discaria nana",19,68,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Bariloche Discaria nana","Discaria nana",19,69,"cushion",,,,,,2,,,,,,,1,,,,3,,,,,,,,,,,,,,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,81,"cushion",,,,,2,,3,,,,,,,,,1,,,,,,,,,,,,,,6,,,,2,,
"Bariloche Discaria nana","Discaria nana",19,82,"cushion",,,,5,,,2,,,,,,,,,1,,,2,,,,,,,,,,,4,,2,,1,,
"Bariloche Discaria nana","Discaria nana",19,83,"cushion",,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,4,,,3
"Bariloche Discaria nana","Discaria nana",19,84,"cushion",,,,,,,,,,,,,3,,,,,12,,,2,,,,,,,,,,,,,2,,
"Bariloche Discaria nana","Discaria nana",19,85,"cushion",,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,
"Bariloche Discaria nana","Discaria nana",19,97,"cushion",,,,,1,,,,,,,,11,,,,,,,1,,2,,,,,,,,19,,,,,,
"Bariloche Discaria nana","Discaria nana",19,98,"cushion",,,,3,,2,,,,,,,,,,,7,,7,3,,,,,,,,,,12,,3,,,,
"Bariloche Discaria nana","Discaria nana",19,99,"cushion",,,,,,,3,,,,,,,,,2,,1,6,3,3,,,,,,,,,,,3,,2,,
"Bariloche Discaria nana","Discaria nana",19,100,"cushion",,,,,2,,7,,,,,1,,,,,1,,5,2,,,,,,,,,,9,,,,,,1
"Bariloche Discaria nana","Discaria nana",19,1,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,2,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,3,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,98,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Discaria nana","Discaria nana",19,99,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,100,"open",,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,2
"Bariloche Discaria nana","Discaria nana",19,6,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,7,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,8,"cushion",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,9,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,10,"cushion",,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,
"Bariloche Discaria nana","Discaria nana",19,11,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,12,"cushion",,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,4,,,1,,,
"Bariloche Discaria nana","Discaria nana",19,13,"cushion",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,
"Bariloche Discaria nana","Discaria nana",19,14,"cushion",,,,1,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,15,"cushion",,,,,,,,,,,,1,,,,,2,,,,2,,,,,,,,,,,,1,,,
"Bariloche Discaria nana","Discaria nana",19,16,"cushion",,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,
"Bariloche Discaria nana","Discaria nana",19,22,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
"Bariloche Discaria nana","Discaria nana",19,23,"cushion",,,,4,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,
"Bariloche Discaria nana","Discaria nana",19,24,"cushion",,,,4,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,25,"cushion",,,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,3,,
"Bariloche Discaria nana","Discaria nana",19,26,"cushion",,,,,,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,3,,,1,
"Bariloche Discaria nana","Discaria nana",19,27,"cushion",,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,4,,2,,
"Bariloche Discaria nana","Discaria nana",19,28,"cushion",,,,,,,,,,,1,,1,,,,,,,3,,,,,,,,,,,,2,,,,3
"Bariloche Discaria nana","Discaria nana",19,29,"cushion",,,,,3,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,30,"cushion",,,,,,,5,,,,,,2,,,2,,,,4,,,,,,,,,,,,1,,,1,
"Bariloche Discaria nana","Discaria nana",19,31,"cushion",,,,,2,,3,,,,,,,,,1,,,,,,,,,,,,,,6,,,,2,,
"Bariloche Discaria nana","Discaria nana",19,32,"cushion",,,,5,,,2,,,,,,,,,1,,,2,,,,,,,,,,,4,,2,,1,,
"Bariloche Discaria nana","Discaria nana",19,38,"cushion",,,,,,,,,,,,,8,,,,,,,1,,,,,,,5,,,29,,,,,3,
"Bariloche Discaria nana","Discaria nana",19,39,"cushion",,,,,2,,,,,,,,,,,,,,,,6,,,,,,3,,,11,,,,,,
"Bariloche Discaria nana","Discaria nana",19,40,"cushion",,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,2,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,41,"cushion",,,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,5,7,,,2
"Bariloche Discaria nana","Discaria nana",19,42,"cushion",,,,1,,,4,,,,,1,,,,1,,,,,2,,,,,,,,,,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,43,"cushion",,,,,4,,,,,,,,,,,1,,,,2,,,,,1,,,,,2,,4,2,,,
"Bariloche Discaria nana","Discaria nana",19,44,"cushion",,,,,,,,,,,,,,,,2,4,,,3,2,,,,,,,,,26,,,3,2,1,
"Bariloche Discaria nana","Discaria nana",19,45,"cushion",,,,,6,,10,,,,,,6,,,,2,,,1,5,,,,,,,,,42,,6,1,,12,
"Bariloche Discaria nana","Discaria nana",19,46,"cushion",,,,,3,,,,,,,,14,,,1,,,,1,2,6,,,3,,,,,4,,8,,1,1,
"Bariloche Discaria nana","Discaria nana",19,47,"cushion",,,,,1,,,,,,,,11,,,,,,,1,,2,,,,,,,,19,,,,,,
"Bariloche Discaria nana","Discaria nana",19,48,"cushion",,,,3,,2,,,,,,,,,,,7,,7,3,,,,,,,,,,12,,3,,,,
"Bariloche Discaria nana","Discaria nana",19,54,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,55,"cushion",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,56,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,57,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,58,"cushion",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,59,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,60,"cushion",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,
"Bariloche Discaria nana","Discaria nana",19,61,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,62,"cushion",,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,4,,,1,,,
"Bariloche Discaria nana","Discaria nana",19,63,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
"Bariloche Discaria nana","Discaria nana",19,64,"cushion",,,,1,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,70,"cushion",,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,71,"cushion",,,,,,,,,,,,1,10,,,,,,,,1,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,72,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
"Bariloche Discaria nana","Discaria nana",19,73,"cushion",,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
"Bariloche Discaria nana","Discaria nana",19,74,"cushion",,,,4,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,75,"cushion",,,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,3,,
"Bariloche Discaria nana","Discaria nana",19,76,"cushion",,,,,,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,3,,,1,
"Bariloche Discaria nana","Discaria nana",19,77,"cushion",,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,4,,2,,
"Bariloche Discaria nana","Discaria nana",19,78,"cushion",,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,2,,,,3
"Bariloche Discaria nana","Discaria nana",19,79,"cushion",,,,,3,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,80,"cushion",,,,,,,5,,,,,,2,,,2,,,,4,,,,,,,,,,,,1,,,1,
"Bariloche Discaria nana","Discaria nana",19,86,"cushion",,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,27,,10,3,,,
"Bariloche Discaria nana","Discaria nana",19,87,"cushion",,,,,4,,,,,,,,,,,2,,,,1,,,,,1,,,,,20,,6,,,3,
"Bariloche Discaria nana","Discaria nana",19,88,"cushion",,,,,,,,,,,,,8,,,,,,,1,,,,,,,5,,,29,,,,,3,
"Bariloche Discaria nana","Discaria nana",19,89,"cushion",,,,,2,,,,,,,,,,,,,,,,6,,,,,,3,,,11,,,,,,
"Bariloche Discaria nana","Discaria nana",19,90,"cushion",,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,2,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,91,"cushion",,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,2
"Bariloche Discaria nana","Discaria nana",19,92,"cushion",,,,1,,,4,,,,1,,,,,1,,,,,2,,,,,,,,,,,2,,,,
"Bariloche Discaria nana","Discaria nana",19,93,"cushion",,,,,4,,,,,,,,,,,1,,,,2,,,,,1,,,,,2,,4,2,,,
"Bariloche Discaria nana","Discaria nana",19,94,"cushion",,,,,,,,,,,,,,,,2,4,,,3,2,,,,,,,,,26,,,3,2,1,
"Bariloche Discaria nana","Discaria nana",19,95,"cushion",,,,,6,,10,,,,,,6,,,,2,,,1,5,,,,,,,,,42,,6,1,,12,
"Bariloche Discaria nana","Discaria nana",19,96,"cushion",,,,,3,,,,,,,1,14,,,1,,,,1,2,6,,,3,,,,,4,,8,,1,1,
"Bariloche Discaria nana","Discaria nana",19,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,5,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,6,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,8,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,9,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Discaria nana","Discaria nana",19,10,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,12,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,13,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Discaria nana","Discaria nana",19,14,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,16,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Bariloche Discaria nana","Discaria nana",19,18,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,20,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Discaria nana","Discaria nana",19,21,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
