"site","cushion","code","sample","cushion.open","diam1","diam2","area","Abrotonella","Acaena antarctica","Acaena diminuta","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Adesmia solicornioides","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Azorella licopodioidea","Calceolaria uniflora","Cerastium sp","Colobantus lycopodioides","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Eudema","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia revoluta","Oxalis enneaphylla","Oxalis patagonica","Perecia magellantha","Perezia pilifera","Pernettya mucronata","Pernettya pumila","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Senecio magellanicus","Trisetum sp","Vicia bijuga"
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,1,"cushion",,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,2,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,3,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,4,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,5,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,13,"cushion",,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,1,,1,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,14,"cushion",,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,15,"cushion",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,16,"cushion",,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,17,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,25,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,27,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,28,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,29,"cushion",,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,37,"cushion",,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,38,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,39,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,40,"cushion",,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,41,"cushion",,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,49,"cushion",,,,,1,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,50,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,1,1
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,1,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,2,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,3,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,5,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,6,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,12,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,13,"open",,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,14,"open",,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,16,"open",,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,18,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,23,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,26,"open",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,28,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,29,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,30,"open",,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,36,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,37,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,38,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,39,"open",,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,40,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,41,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,42,"open",,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,47,"open",,,,,,,,,,,,,,1,,,,1,,,,1,,,1,1,,,,,,,,,,,,1,,1,,,,,,1,,,
