"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena antarctica","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Arjona patagonica","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Berberis buxifolia","Berberis empetrifolia","Calceolaria uniflora","Cerastium sp","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Leucheria leontopodioides","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia pygmaea","Nassauvia revoluta","Oreobolus sp","Oxalis enneaphylla","Perezia pilifera","Pernettya mucronata","Phaiophleps biflora","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Ribes cucullatum","Saxifraga sp","Senecio magellanicus","Trisetum sp","Vicia bijuga","Vicia magellanica"
"Torres del Paine Azorella monantha 900","Azorella monantha",25,1,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,2,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,3,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,4,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,5,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,6,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,7,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,8,"cushion",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,9,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,10,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,11,"cushion",,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,12,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,13,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,14,"cushion",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,15,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,16,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,17,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,18,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,19,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,20,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,21,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,22,"cushion",,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,23,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,24,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,25,"cushion",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,27,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
