"site","cushion","code","sample","cushion.open","diam1","diam2","area","Arenaria obtusifolia","Artemisia scopulorum","Aster alpigenus","Bupleurum americanum","Carex phaeocephala","Castilleja pallescens","Cerastium arvense","Cetraria aculeata","Cetraria islandica","cf Dactylina madreporiformis","Douglasia montana","Draba paysonii","Draba praealta","Erigeron caespitosum","Erigeron rydbergii","Eritrichium nanum","Festuca ovina","Gentiana algida","Geum rossii","Koeleria crassipes","Lupinus argenteus var depressum","Luzula spicata","Phlox pulvinata","Poa alpina","Polemonium viscosum","Polygonum bistortioides","Polytrichum piliferum","Potentilla diversifolia","Sedum lanceolatum","Selaginella densa","Senecio canus","Smelowskia calicina","Trifolium nanum"
"Beartooth","Silene acaulis",31,1,"cushion",,,,,16,4,,12,,,,,,,,,,2,,,,6,,,,,,,5,,1,,,,,
"Beartooth","Silene acaulis",31,2,"cushion",,,,,14,1,,19,,,,,,,,,,4,,,,10,,,,,,,6,,2,,2,,,
"Beartooth","Silene acaulis",31,12,"cushion",,,,,7,1,,22,,,2,6,,,,,,1,,,,11,,2,,1,,,,,1,,4,,,
"Beartooth","Silene acaulis",31,13,"cushion",,,,2,9,,,18,,,3,4,,,,,,,,,,7,,3,,3,,,,,,3,1,,3,
"Beartooth","Silene acaulis",31,23,"cushion",,,,3,3,,,3,,,2,1,,,,,,1,,9,,17,,,,1,,,4,,6,,,,,
"Beartooth","Silene acaulis",31,24,"cushion",,,,5,8,,,4,,,2,3,,,,,,,,7,,10,,,,3,,,2,,4,,,,,
"Beartooth","Silene acaulis",31,34,"cushion",,,,10,,,,13,,,5,,,,,,,3,,20,,8,,,3,2,,,,,4,,,,5,
"Beartooth","Silene acaulis",31,35,"cushion",,,,2,,,,,,,,,,,,,,,,4,,3,,,,2,,,,2,,1,,,,1
"Beartooth","Silene acaulis",31,45,"cushion",,,,3,,,,11,,,,,,,3,,,,,6,,7,,,2,4,,,2,,,,,,,
"Beartooth","Silene acaulis",31,46,"cushion",,,,5,6,,,16,,,,,,,,,,,,4,,8,,,,4,,,3,,,1,1,,1,
"Beartooth","Silene acaulis",31,56,"cushion",,,,4,6,,,7,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,57,"cushion",,,,3,2,,,,,,,,,,,,,3,,2,,6,,,,1,,,,,,,,,1,
"Beartooth","Silene acaulis",31,67,"cushion",,,,1,3,,,3,,,,,,,,,,,,,,10,,,,,,,,,,,,,1,
"Beartooth","Silene acaulis",31,68,"cushion",,,,1,12,,,26,,,7,,5,,,,,,,2,,18,,,,1,,,3,,2,,1,,6,
"Beartooth","Silene acaulis",31,69,"cushion",,,,1,,,,4,,,,,,,,,,,,,,13,,,,,,,3,,3,,,,,
"Beartooth","Silene acaulis",31,70,"cushion",,,,3,,,,10,,,,,,,,,,7,,2,,14,,,,1,,,2,,,,,,5,
"Beartooth","Silene acaulis",31,6,"open",,,,1,7,,,5,,,,2,,,,,,,,,,5,,,,1,,,,3,,2,2,,,
"Beartooth","Silene acaulis",31,7,"open",,,,2,4,,,6,1,,,,,,,,,1,,,,6,,,,1,,,,2,,1,6,,,
"Beartooth","Silene acaulis",31,8,"open",,,,,3,,,5,3,,,,,,,,,,,,,6,,,,,,,,,,1,6,,,
"Beartooth","Silene acaulis",31,9,"open",,,,3,10,,,10,,,,,,,2,,,2,,,,6,,,,,,,,,1,,5,,,
"Beartooth","Silene acaulis",31,10,"open",,,,,4,,,5,,,,2,,,,,,,,,,13,,,,,,,,,,,4,,,2
"Beartooth","Silene acaulis",31,11,"open",,,,,2,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,17,"open",,,,5,4,,,6,,,7,2,,,,,,2,,,,3,,2,,1,,,,1,,4,4,,,
"Beartooth","Silene acaulis",31,18,"open",,,,,9,,,5,,,10,5,,,,,,,,3,,6,,,,,,,,,,2,3,,,
"Beartooth","Silene acaulis",31,19,"open",,,,9,15,,,22,,,5,10,,,,,,,,,,6,,,,,,,,4,,,,,,
"Beartooth","Silene acaulis",31,21,"open",,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,,,2,,,5,,
"Beartooth","Silene acaulis",31,24,"open",,,,1,5,,,8,,,,,,,,,,,,1,,4,,,,,,,,3,1,,,,,
"Beartooth","Silene acaulis",31,25,"open",,,,3,1,,,6,,,5,1,,,,,,1,1,,,2,,,,,,,,,,2,,,,
"Beartooth","Silene acaulis",31,28,"open",,,,,5,,,4,,,10,1,,,,,,1,,3,,7,,,,,,1,,,,1,,,,
"Beartooth","Silene acaulis",31,29,"open",,,,,6,,,3,,,3,2,,,,,,,,3,,2,,1,,,,,,,,1,,,,
"Beartooth","Silene acaulis",31,30,"open",,,,,3,,,4,,,,,,,,,,1,,,,5,,,,,,,,,2,,4,,,
"Beartooth","Silene acaulis",31,31,"open",,,,,6,,,12,,,,,,,,,,,1,,,2,,,,1,,,,,,1,5,,,
"Beartooth","Silene acaulis",31,32,"open",,,,1,,,,,,,,,,,,,,,,1,,4,,,,,,,5,,,,,,,
"Beartooth","Silene acaulis",31,33,"open",,,,2,,,,2,,,,,,,,,,,,8,,2,,,,1,,,,,,,,,,
"Beartooth","Silene acaulis",31,39,"open",,,,,,,,13,,,,,,,,,,2,,,,15,2,,2,4,,,,,,,,,,
"Beartooth","Silene acaulis",31,40,"open",,,,3,,,,7,,,,,,,,,,,,3,,20,,,,1,,,,,5,,,,,
"Beartooth","Silene acaulis",31,41,"open",,,,,,,,13,,,,,,,,,,7,,,,13,,,1,1,,,,,,,,,2,
"Beartooth","Silene acaulis",31,42,"open",,,,2,,,,4,,,1,,6,,,,,1,,8,,8,,,1,1,,,,,,,,,,1
"Beartooth","Silene acaulis",31,43,"open",,,,3,,,,12,,,,,,,,,,,,,,15,,,,,,,,,,1,1,,,
"Beartooth","Silene acaulis",31,44,"open",,,,,2,,,2,,,,,,,1,,,,,3,,3,,,,,,,,1,,1,,,,
"Beartooth","Silene acaulis",31,50,"open",,,,3,,,,5,,,,,3,,,,,,,,,5,,,,1,,,,,1,,,,,
"Beartooth","Silene acaulis",31,51,"open",,,,2,,,,19,,,,,,,,,,,1,,,2,,,,,,,,1,,,,,,
"Beartooth","Silene acaulis",31,52,"open",,,,,3,,,3,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,53,"open",,,,1,5,,,8,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,
"Beartooth","Silene acaulis",31,54,"open",,,,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Beartooth","Silene acaulis",31,55,"open",,,,,4,,,14,,,,,,,,,,,,,,1,,,,,,,,3,4,,2,,,
"Beartooth","Silene acaulis",31,61,"open",,,,,6,,,,,,,,,,,,,5,,,,9,,,,2,,,,,3,,,,,2
"Beartooth","Silene acaulis",31,62,"open",,,,1,2,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,63,"open",,,,4,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,
"Beartooth","Silene acaulis",31,64,"open",,,,,1,,,10,,,,,,,,,,2,4,,,,,,,2,,,,,,,,,,1
"Beartooth","Silene acaulis",31,65,"open",,,,3,,,,,,,,,,,,,,3,,,,3,,,,1,,,,,,,,,,
"Beartooth","Silene acaulis",31,66,"open",,,,1,,,,,,,,,,,,,,,1,,,4,,,,1,,,,,,,,,,1
"Beartooth","Silene acaulis",31,72,"open",,,,1,,,,12,,,,,,,,,,,,2,,6,,,,1,,,,,,,6,,8,
"Beartooth","Silene acaulis",31,3,"cushion",,,,,5,,,16,3,,,1,,,,,,2,,,,5,,,,1,,,4,,,,2,,,
"Beartooth","Silene acaulis",31,4,"cushion",,,,,16,,,17,,,,2,,,,,1,,,,7,9,,,,2,,,11,,,,2,,,
"Beartooth","Silene acaulis",31,5,"cushion",,,,1,10,,,21,,,,2,,,,,1,,,,,6,,,,,,,6,,,,2,,,
"Beartooth","Silene acaulis",31,6,"cushion",,,,1,7,,,20,3,,,1,,,,,,,,,,5,,,,,2,,4,,,1,1,,,
"Beartooth","Silene acaulis",31,7,"cushion",,,,7,15,,,8,,,,,,,,,,4,,,,12,,,,,,,5,,,1,2,,,
"Beartooth","Silene acaulis",31,8,"cushion",,,,,6,,,5,3,,,2,,,,,,6,,,,10,,,,2,,,5,,,1,4,,1,
"Beartooth","Silene acaulis",31,9,"cushion",,,,3,19,,,18,5,,,,,,1,,,13,,,,9,,,,,,,,,4,1,,,,3
"Beartooth","Silene acaulis",31,10,"cushion",,,,3,21,,,10,,,,1,,,,,,2,,,1,5,,,,,,,,,1,6,,,,4
"Beartooth","Silene acaulis",31,11,"cushion",,,,1,,,,12,,,,,,,,,,1,,,,6,,3,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,14,"cushion",,,,3,12,,,7,,,4,2,,,,,,,,6,,13,,,,,,,3,,,2,,,,
"Beartooth","Silene acaulis",31,15,"cushion",,,,3,20,,,16,,,2,7,,,,,,3,,5,,17,,2,,,,,5,,,,,,,
"Beartooth","Silene acaulis",31,16,"cushion",,,,1,15,,,7,,,2,3,,,,,,,,2,,5,,2,,2,,,2,,,2,,,,1
"Beartooth","Silene acaulis",31,17,"cushion",,,,2,18,,,9,,,,1,,,,,,2,,2,,2,,2,,3,,,2,,,1,1,,,
"Beartooth","Silene acaulis",31,18,"cushion",,,,,6,,,7,,,,4,,,1,,,1,,10,,6,,5,,4,,,6,,,2,,,,5
"Beartooth","Silene acaulis",31,29,"cushion",,,,3,2,,,7,,,2,2,,,,,,,1,11,,10,1,1,,1,,,3,,,1,,,,
"Beartooth","Silene acaulis",31,30,"cushion",,,,4,7,,,8,,,1,,,,,,,,,24,,9,,,3,3,,,,,,,,,,
"Beartooth","Silene acaulis",31,31,"cushion",,,,1,4,,,18,,,,,,,,,,,1,2,,4,,,,3,,,,,1,2,2,,,
"Beartooth","Silene acaulis",31,32,"cushion",,,,3,,,,,,,7,,,,,,,1,1,10,,7,,,,,,,,,,1,,,,
"Beartooth","Silene acaulis",31,33,"cushion",,,,,,,,5,,,2,,,,,,,1,,10,,5,,,,5,,,1,,3,1,,,3,
"Beartooth","Silene acaulis",31,36,"cushion",,,,4,8,,,,,,,,,,,,,,3,8,,4,2,,4,1,,,,,,,,,,2
"Beartooth","Silene acaulis",31,37,"cushion",,,,3,7,,,7,,,,,,,,1,,3,3,15,,14,,,,,,,,,3,,1,,,1
"Beartooth","Silene acaulis",31,38,"cushion",,,,,1,,,18,,,,,,,,,,,1,6,,14,,,,,,,,,7,,1,,5,3
"Beartooth","Silene acaulis",31,39,"cushion",,,,,2,,,21,,3,,,,,,,,,,16,,25,4,,3,12,,,3,,,,,,,
"Beartooth","Silene acaulis",31,40,"cushion",,,,1,,,,8,,,,,,,6,,,,,10,,36,,,,1,,,,,8,,,,,
"Beartooth","Silene acaulis",31,41,"cushion",,,,1,,,,23,,,,,,,,,,17,,,,25,,,,5,,,,,,1,,,2,1
"Beartooth","Silene acaulis",31,42,"cushion",,,,2,,,,2,,,3,,2,,,,,,,8,,14,,,2,1,,,,,3,,,,2,1
"Beartooth","Silene acaulis",31,43,"cushion",,,,2,,,,16,,,2,,5,,,,,4,,3,,11,,,,,,,,,2,,,,3,
"Beartooth","Silene acaulis",31,44,"cushion",,,,,8,,,9,,,,,,,1,,1,9,,10,,14,,,1,,,,2,,3,,,,,
"Beartooth","Silene acaulis",31,47,"cushion",,,,8,5,,,7,,,,,3,,1,,,,,11,,23,3,,,3,,,,,,3,,,,1
"Beartooth","Silene acaulis",31,48,"cushion",,,,,,,,9,,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,
