"site","cushion","code","sample","cushion.open","diam1","diam2","area","Arenaria obtusifolia","Artemisia scopulorum","Carex phaeocephala","Castilleja pallescens","Cerastium beeringianum","Cetraria aculeata","Cetraria islandica","cf Dactylina madreporiformis","Douglasia montana","Draba paysonii","Draba praealta","Erigeron rydbergii","Eritrichium nanum","Festuca ovina","Geum rossii","Luzula spicata","Myosotis sylvatica","Phlox pulvinata","Polygonum bistortioides","Potentilla concinna","Potentilla diversifolia","Sedum lanceolatum","Selaginella densa","Silene acaulis","Smelowskia calicina","Trifolium nanum"
"Beartooth","Trifolium nanum",32,1,"cushion",,,,,,19,,,,,,,,,4,,,6,,,,,,,,,2,,
"Beartooth","Trifolium nanum",32,3,"cushion",,,,1,,18,,,,,,,,,16,,,11,,,3,,,,,,,,
"Beartooth","Trifolium nanum",32,23,"cushion",,,,1,25,12,2,,,,,,,,2,,,16,,3,,2,,,,,,8,
"Beartooth","Trifolium nanum",32,24,"cushion",,,,,8,12,,,,,,,,,,,,11,,,,3,,3,,,,10,
"Beartooth","Trifolium nanum",32,27,"cushion",,,,,,20,,,,,,,,,5,,2,19,,,1,,,2,,,,14,
"Beartooth","Trifolium nanum",32,1,"open",,,,1,1,12,,,,,,,1,,3,,,4,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,2,"open",,,,3,8,10,,,,,,,,,,,2,14,,,,,,2,,2,,,1
"Beartooth","Trifolium nanum",32,3,"open",,,,1,,18,,,,,,,,,3,,,10,2,,,,,,,,,,
"Beartooth","Trifolium nanum",32,4,"open",,,,4,,5,,,5,,5,,,,,,,17,,,1,,,,,,,,
"Beartooth","Trifolium nanum",32,15,"open",,,,3,,5,,,,,,1,,,12,,,6,1,,,,,,,,,,
"Beartooth","Trifolium nanum",32,16,"open",,,,1,,2,,,,,,,,,3,,1,5,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,17,"open",,,,5,,,,,,,2,,,,,,,8,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,18,"open",,,,2,10,,,,,,1,,,,1,,,9,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,19,"open",,,,2,1,9,,,,,,,,,4,,,6,,,1,,,,,,,1,
"Beartooth","Trifolium nanum",32,20,"open",,,,,,5,,,,,,,,,,1,,5,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,21,"open",,,,1,2,3,,,,,,,,,,,,8,,,,2,,,,,,2,
"Beartooth","Trifolium nanum",32,22,"open",,,,2,4,,,,,,,,,,1,,,10,,,1,,,,,,,,
"Beartooth","Trifolium nanum",32,23,"open",,,,1,20,10,,,,,,,,,4,,,10,,,1,1,,,,,,,
"Beartooth","Trifolium nanum",32,24,"open",,,,1,15,5,,,,,,,,,,,,15,,,,5,,,,,,,
"Beartooth","Trifolium nanum",32,25,"open",,,,,3,12,,,,,,,,,,,,3,,,1,,,1,,,,1,
"Beartooth","Trifolium nanum",32,26,"open",,,,,,8,,,,,,,,,3,,,5,,,,,,2,,5,,3,
"Beartooth","Trifolium nanum",32,27,"open",,,,1,,10,,,,,,,,,,,,9,,1,3,,,1,,,,7,
"Beartooth","Trifolium nanum",32,28,"open",,,,2,8,1,,3,,8,,,,,,2,10,,3,,,,,,3,,10,,
"Beartooth","Trifolium nanum",32,4,"cushion",,,,5,,20,,,4,,8,,,1,1,,10,20,,,4,,,,,,,2,
"Beartooth","Trifolium nanum",32,5,"cushion",,,,2,,5,,,3,,,,,,,,10,27,,,5,,,3,1,2,,,
"Beartooth","Trifolium nanum",32,6,"cushion",,,,,,12,,,3,4,2,,,,,,5,5,7,,,4,,1,,,,,
"Beartooth","Trifolium nanum",32,7,"cushion",,,,1,,17,,,1,,4,,,,,,5,21,,,2,3,,3,,,,,
"Beartooth","Trifolium nanum",32,8,"cushion",,,,,13,13,,,,,,,1,,,,14,15,2,,,5,,2,,,,,
"Beartooth","Trifolium nanum",32,9,"cushion",,,,1,11,16,,,,,1,,,,5,,3,17,,,,2,,5,1,,,,
"Beartooth","Trifolium nanum",32,12,"cushion",,,,6,5,,,,,,,,,,2,,6,6,,,2,,,2,,,,,
"Beartooth","Trifolium nanum",32,13,"cushion",,,,3,3,10,,,,,,,,,,,8,11,,,,,,,,,2,1,
"Beartooth","Trifolium nanum",32,14,"cushion",,,,1,3,17,,,,,,,,,,,,13,,,,,,,,,,,
