"site","cushion","code","sample","cushion.open","diam1","diam2","area","Achillea millefolium","Agropyron spicatum","Arabis holboellii var pendulocarpa","Arenaria aculeata","Artemisia ludoviciana","Bromus commutatus","Bromus tectorum 1","Bromus tectorum 2","Centaurea maculosa","Chryptantha celosioides","Chrysopsis villosa","Douglasia montana","Eragrostis pectinacea","Erigeron compositus","Eriogonum ovalifolium","Euphorbia esula","Filago arvensis","Koeleria cristata","Phlox kelseyi var missoulensis","Plantago major var pachyphylla","Plantago patagonica","Poa sandbergii","Polytrichum piliferum","Potentilla arguta","Senecio canus","Vaccaria segetalis","Veronica verna"
"Waterworks","Eriogonum ovalium",34,1,"cushion",,,,,,,,,,15,,,,2,,,,,3,,,,,,14,,,,,
"Waterworks","Eriogonum ovalium",34,21,"cushion",,,,,5,,,,,,,,,2,,,2,,,,,,,,3,,,,,
"Waterworks","Eriogonum ovalium",34,22,"cushion",,,,,3,,,,,3,,,,1,,3,,,,,,,,1,5,9,,,,
"Waterworks","Eriogonum ovalium",34,23,"cushion",,,,,,,,,7,12,,,,,,,,,,,,,,,5,,,,,
"Waterworks","Eriogonum ovalium",34,24,"cushion",,,,,5,,,,5,,10,,,,,,,,,,,,,,8,,,,,
"Waterworks","Eriogonum ovalium",34,11,"open",,,,,,,,,,,3,1,,,,,,,1,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,12,"open",,,,,,,,,,,,,,,,,,,,,,,,1,7,14,,,,
"Waterworks","Eriogonum ovalium",34,13,"open",,,,,,,,,,,,,,,,,,,,,,,,5,10,14,,,,
"Waterworks","Eriogonum ovalium",34,14,"open",,,,,,,,,,,,,,1,,,,,,,,,,1,5,4,,,,
"Waterworks","Eriogonum ovalium",34,15,"open",,,,,,,,,,,,,,,,,,,,,,,,1,5,7,,,,
"Waterworks","Eriogonum ovalium",34,16,"open",,,,,,,1,,,,,,,,,,,,,,,,,,4,20,,,,
"Waterworks","Eriogonum ovalium",34,17,"open",,,,,,,,,,,,,,,,4,,,,,,,,2,3,15,,,,
"Waterworks","Eriogonum ovalium",34,2,"cushion",,,,,,1,,,,,3,,,3,,,1,,,,,,,,,,,2,,
"Waterworks","Eriogonum ovalium",34,3,"cushion",,,,,,,,,,,10,,,4,,3,1,,,,4,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,4,"cushion",,,,1,,,,,,,,,,8,,,10,,,,,7,,,5,,,,,
"Waterworks","Eriogonum ovalium",34,5,"cushion",,,,,,,,,,4,,1,,1,,2,,,,,,,,,9,,,,,
"Waterworks","Eriogonum ovalium",34,6,"cushion",,,,,,,,,4,4,,,,8,,8,,,,,3,,,,2,,,,,
"Waterworks","Eriogonum ovalium",34,7,"cushion",,,,,,,,,,,14,,8,7,,7,,,,,6,,,,2,,,,,
"Waterworks","Eriogonum ovalium",34,8,"cushion",,,,,,2,,,,12,,,8,2,,,,,,,4,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,9,"cushion",,,,,,,,,,14,,,1,6,,4,1,,,,1,1,,,,,,6,,
"Waterworks","Eriogonum ovalium",34,10,"cushion",,,,,,,,,,14,,,,,,,,,2,,1,2,,,,,,,,
"Waterworks","Eriogonum ovalium",34,11,"cushion",,,,,,,,,,,4,2,,,,,,,2,,9,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,12,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,12,12,,,,
"Waterworks","Eriogonum ovalium",34,13,"cushion",,,,,,,,,,,,,1,,,,1,,,,,,,1,15,12,1,,,
"Waterworks","Eriogonum ovalium",34,14,"cushion",,,,,,,,,3,,,,1,,3,,1,,,,,,,2,9,8,,,,
"Waterworks","Eriogonum ovalium",34,15,"cushion",,,,,,,,,,,,,,,2,,2,,,,,,,,6,8,,,,
"Waterworks","Eriogonum ovalium",34,16,"cushion",,,,,,,,,,,,,,,2,,,,,,,3,,,8,10,,,,
"Waterworks","Eriogonum ovalium",34,17,"cushion",,,,1,,,,,,,,,7,,,,4,,,,,,,,11,11,,,,
"Waterworks","Eriogonum ovalium",34,18,"cushion",,,,,,,,3,2,,,,,,,,,,,,3,,,3,3,,,,,2
"Waterworks","Eriogonum ovalium",34,19,"cushion",,,,,,,,,,,,,,,,,,,,,6,5,3,1,5,,1,,,
"Waterworks","Eriogonum ovalium",34,20,"cushion",,,,,,,,,2,,,,,3,,,,,,,3,,,,14,,,,,
"Waterworks","Eriogonum ovalium",34,25,"cushion",,,,,,,,,5,11,,,,,,2,2,,,,,,,1,4,,,,,
"Waterworks","Eriogonum ovalium",34,26,"cushion",,,,,2,,,,2,,7,,,,,,12,,,,,,,,3,,,,1,2
"Waterworks","Eriogonum ovalium",34,27,"cushion",,,,,,,,1,,,6,,,,,6,,,,,,,,,5,,,,,
"Waterworks","Eriogonum ovalium",34,28,"cushion",,,,,,,1,,,,,,1,,,,,,,,,15,,,,,,,,
"Waterworks","Eriogonum ovalium",34,29,"cushion",,,,,,,,,2,,,,,4,,,,,,,,,7,2,20,,,,,2
"Waterworks","Eriogonum ovalium",34,30,"cushion",,,,,,,,,,,,,,,,,,,,2,,,2,,10,4,,,,
"Waterworks","Eriogonum ovalium",34,1,"open",,,,,,,,,,12,,,,2,,,,2,1,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,2,"open",,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,3,"open",,,,,,,,,,,6,,,2,,,1,1,,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,4,"open",,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,5,"open",,,,,,,,,,3,,,,3,,,,,,,,,,,3,,,,,
"Waterworks","Eriogonum ovalium",34,6,"open",,,,,,,,,,,,,,1,,5,4,,,,,,,,2,,,,,
"Waterworks","Eriogonum ovalium",34,7,"open",,,,,,,,,,,5,,3,,,8,1,,,,1,,,,1,,,,,
"Waterworks","Eriogonum ovalium",34,8,"open",,,,,,,,,,14,,,,7,,,,,,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,9,"open",,,,,,1,,,,8,,,,4,,6,,,,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,10,"open",,,,,,,,,,2,,,,1,,,,,1,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,18,"open",,,,,,,,,3,,,,,,,,,,,,1,,,5,5,,,,,2
"Waterworks","Eriogonum ovalium",34,19,"open",,,,,,,,,,,,,,,,,,,,,2,,,5,11,,1,,,
"Waterworks","Eriogonum ovalium",34,20,"open",,,,,,,,,,,,,,1,,,,,,,,,,2,8,,,,,
"Waterworks","Eriogonum ovalium",34,21,"open",,,,,,,,,,,,,,2,,,1,,,,,,,,5,,,,,
"Waterworks","Eriogonum ovalium",34,22,"open",,,,,1,,,,,,,,,3,,2,,,,,,,,3,2,2,,,,
"Waterworks","Eriogonum ovalium",34,23,"open",,,,,,,,,9,2,,,,,,,,,,,,,,,1,,,,,
"Waterworks","Eriogonum ovalium",34,24,"open",,,,,,,,,3,,8,,,,,,,,,,,,,,1,,,,,
"Waterworks","Eriogonum ovalium",34,25,"open",,,,,,,,,1,5,,,,,,1,2,,,,,,,,4,,,,,
"Waterworks","Eriogonum ovalium",34,26,"open",,,,,,,,,5,,1,,,,,4,5,,,,,,,,,,,,,2
"Waterworks","Eriogonum ovalium",34,27,"open",,,,,,,,,4,,3,,,,,2,,,,,,,,,4,,,,,
"Waterworks","Eriogonum ovalium",34,28,"open",,,,,,,1,,,,,,1,,,,2,,,,,,,,,,,,,
"Waterworks","Eriogonum ovalium",34,29,"open",,,,,,,,,,,,,,8,,,,,,,,,,2,10,,,,,4
"Waterworks","Eriogonum ovalium",34,30,"open",,,,,,,,,,,,,,2,,,3,,,,,,,,2,,,,,
