"site","cushion","code","sample","cushion.open","diam1","diam2","area","Achillea millefolium","Agropyron spicatum","Antennaria dimorpha","Arenaria capillaris","Bromus commutatus","Bromus tectorum","Erigeron caespitosum","Erigeron compositus","Eriogonum ovalifolium","Plantago patagonica","Poa sandbergii","Polytrichum piliferum","Potentilla arguta","Selaginella densa","Senecio canus","Sisymbrium altissimum","Veronica verna"
"Mt. Jumbo","Eriogonum ovalifolium ",36,1,"cushion",,,,,4,,,1,,,,,,1,,,3,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,2,"cushion",,,,,1,,,7,,,,,,5,2,,2,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,3,"cushion",,,,,,,,2,,,,,,3,2,,3,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,4,"cushion",,,,,3,3,,4,,,,,,,,,3,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,5,"cushion",,,,,2,,1,4,,,,,1,1,2,,3,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,6,"cushion",,,,,3,,,6,,,,,,5,4,,4,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,7,"cushion",,,,,6,,1,9,,,,,,4,,,2,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,8,"cushion",,,,,5,,,7,,,,1,,1,,,3,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,9,"cushion",,,,,,,3,11,,,,,,2,,,,,,5
"Mt. Jumbo","Eriogonum ovalifolium ",36,10,"cushion",,,,,,,,25,,,,,,2,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,11,"cushion",,,,,,,1,14,,,,,,3,,,1,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,12,"cushion",,,,,,,,7,,,1,,,5,,,5,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,4,"open",,,,,,,,7,,,,,1,1,1,,3,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,5,"open",,,,,,,1,4,2,,1,,,1,5,,6,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,6,"open",,,,,1,,,,,,1,,,2,4,1,4,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,7,"open",,,,,,,1,8,,,1,,,,,,,,,7
"Mt. Jumbo","Eriogonum ovalifolium ",36,21,"open",,,,,3,,,8,,,,,,,,,,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,22,"open",,,,,,,,8,,,,,,3,,,,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,23,"open",,,,,,,,5,2,,1,,1,4,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,24,"open",,,,,,,,8,,,,,,4,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,25,"open",,,,,,,,3,,,,,1,,,,,,,1
"Mt. Jumbo","Eriogonum ovalifolium ",36,26,"open",,,,,10,,,5,,,,,2,3,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,27,"open",,,,,,,,,,,,,2,1,,,5,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,28,"open",,,,,,,,5,3,,,,2,,,,2,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,29,"open",,,,,,,,7,,,,,2,3,,,,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,30,"open",,,,,,,,10,,,,,,4,,,5,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,13,"cushion",,,,,3,,1,7,,,,,,,2,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,14,"cushion",,,,,,,,10,,,,,,3,,,6,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,15,"cushion",,,,,2,,,6,,1,,,,3,,,,3,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,16,"cushion",,,,,,,,8,,,1,,,,,,,,,5
"Mt. Jumbo","Eriogonum ovalifolium ",36,17,"cushion",,,,,,,,10,3,,,,,,,,,,,4
"Mt. Jumbo","Eriogonum ovalifolium ",36,18,"cushion",,,,,3,,,11,,,,,,4,,,,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,19,"cushion",,,,,2,,,17,3,,,,,3,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,20,"cushion",,,,,7,,,7,1,,,,,1,,,,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,21,"cushion",,,,,6,,,11,,,,,,,,,,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,22,"cushion",,,,,18,,,10,2,,,,,4,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,23,"cushion",,,,,10,,,3,,,,,,9,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,24,"cushion",,,,,4,,,3,,,,,,8,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,25,"cushion",,,,,4,,,5,,,,,2,3,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,26,"cushion",,,,,20,,,3,2,,,,2,4,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,27,"cushion",,,,,4,,,4,1,,,,2,3,,,4,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,28,"cushion",,,,,2,,,3,,,,,4,9,,,4,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,29,"cushion",,,,,1,,,4,,,,,1,11,,,3,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,30,"cushion",,,,,,,,10,,,,,,9,,,8,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,1,"open",,,,,,,,3,,,,2,1,1,,,2,,2,7
"Mt. Jumbo","Eriogonum ovalifolium ",36,2,"open",,,,2,1,,2,4,,,,1,,,,,1,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,3,"open",,,,,,,,6,,,,,2,,,,6,,,4
"Mt. Jumbo","Eriogonum ovalifolium ",36,8,"open",,,,,,,,7,,,,,2,1,,,,,,3
"Mt. Jumbo","Eriogonum ovalifolium ",36,9,"open",,,,,,,,7,,,,,,1,,,4,,,5
"Mt. Jumbo","Eriogonum ovalifolium ",36,10,"open",,,,,,,,15,,,,3,,6,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,11,"open",,,,,,,,10,,,,,,2,,,1,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,12,"open",,,,,,,,7,,,,,,,,,7,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,13,"open",,,,,,,,10,,,,,,,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,14,"open",,,,,,,,10,,,,,,1,,,2,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,15,"open",,,,,,,,7,,,,,,3,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,16,"open",,,,,,,,8,,,,,,2,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,17,"open",,,,,,,,7,,,1,,,1,,,,,,4
"Mt. Jumbo","Eriogonum ovalifolium ",36,18,"open",,,,,,,,8,,,,,,,,,,,,2
"Mt. Jumbo","Eriogonum ovalifolium ",36,19,"open",,,,,,,,5,,,,,,2,,,,,,
"Mt. Jumbo","Eriogonum ovalifolium ",36,20,"open",,,,,,,,3,1,,,,,1,,,,,,
