"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agoseris aurantiaca","Agoseris glauca","Antenaria lanata","Arenaria congesta","Arnica diversifolia","Carex bigelowii","Castilleja miniata","Cirsium etonii","Draba cana","Erigeron tomentosa","Erigeron simplex","Festuca arizonica","Ivesia gordoni","Minuartia macrantha","Poa alpina","Potentilla gracilis","Sedum debile","Senecio amplectum","Silene acaulis","Smelowskia calycina","Solidago multiradiata","Thalictrum fendleri","Thlaspi montanum","Trisetum spicatum","UNKleaf"
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,1,"cushion",36,50,,1,,1,,,,,,,,,,4,,,,,,,," ",,,5,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,1,"open",,,,,,,,,,,,,2,,,1,,,,,,,,,,,4,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,2,"cushion",22,30,,,,,,,,,,,,,,2,,1,,,,,2,,,3,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,2,"open",,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,3,"cushion",50,30,,,,,8,,,,,,,,,3,,,,,,,,"1",,1,5,1
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,3,"open",,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,4,"cushion",40,20,,,,,,,,,,,,,,2,,3,,,,,,"1",,9,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,4,"open",,,,,,,,,,,,,,,,3,,2,,,,,1,"1",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,5,"cushion",40,25,,,,,,,,,,,,,,1,,,,,,,4,"4",,2,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,5,"open",,,,,,,,,,,,,,,,3,,,,,,,,"1",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,6,"cushion",40,40,,,,,,,,,,,,,,5,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,6,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,7,"cushion",30,25,,,,,,,,,,,,,,1,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,8,"cushion",45,30,,,,2,,,1,,,,,,,2,,4,,,,,,"1",,2,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,8,"open",,,,,,,,,,,,,,,,2,,,,,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,9,"cushion",20,20,,,,1,,,,,,,,,,,,1,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,9,"open",,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,10,"cushion",40,25,,,,,,,,,,,,,,1,,9,,,,,,,,,4,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,10,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,11,"cushion",25,20,,,,,,,,,,,,,,2,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,12,"cushion",50,35,,,,2,,,,,,,,,,,,2,,1,,1,,"3",,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,12,"open",,,,,,,,,,,,,,,,1,,,,1,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,13,"cushion",20,20,,,,,,,,,,,,,,6,,1,,,,,,"1",,1,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,13,"open",,,,,,,,,,,,,,,,,,1,,3,,,,"2",,1,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,14,"cushion",30,15,,,,,,,,,,,,,,,,1,,,,,,"1",,1,5,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,14,"open",,,,,,,,,,,,,,,,2,,,,1,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,15,"cushion",60,20,,,,,2,,,,,,,,,,,,,,,,,,,3,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,16,"cushion",50,30,,1,,,,,,,,,,,,1,,4,,,,,,"7",1,,10,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,16,"open",,,,,,,,,,,2,,,,,1,,5,,1,,,,"2",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,17,"cushion",35,30,,,,,,1,,,,,,,,,,2,,,,,,"1",,2,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,18,"cushion",20,30,,,,,,,,,,,,,,1,,2,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,18,"open",,,,,,,,,,,,,,,,1,,,,,,,,"2",,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,19,"cushion",40,15,,,,,,3,,,,,,,,,,10,,,,,,,,3,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,19,"open",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,20,"cushion",25,15,,1,,,,,,,,,,,,3,,,,,,,,,,1,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,20,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,21,"cushion",25,35,,,,1,4,,5,,,,11,,,,2,1,1,,,,,"4",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,21,"open",,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,22,"cushion",40,50,,,,2,,4,,,,,,,,,,2,,,,,,"5",,,4,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,22,"open",,,,,,,,,,,,,,,,1,,1,,,,,,"2",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,23,"cushion",55,30,,,,,,,,,,,,1,,,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,23,"open",,,,,,,,,,,,,,,,1,,3,,,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,24,"cushion",60,45,,,,,,,,,,,,1,,9,,9,1,,,,1,,,3,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,24,"open",,,,,,,,,,,,,,1,,,1,3,,3,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,25,"cushion",50,30,,2,,,,3,,,2,,,,3,5,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,25,"open",,,,,,2,,,,,,,,,,3,,,,,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,26,"cushion",60,30,,,,,,1,,,,,,,2,4,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,26,"open",,,,,,,,,,,,,,,,1,,2,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,27,"cushion",15,35,,,,,,,,,,,,,1,1,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,28,"cushion",55,25,,,,,,,,,,,,3,7,,,5,,,,,,,,2,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,28,"open",,,,,,,,,,,,,,,5,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,29,"cushion",45,30,,,,,,9,,,,,,,3,,,5,,,,,,"1",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,29,"open",,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,30,"cushion",50,30,,1,,,,,,,,,,,4,4,,1,,,,,,,,1,2,
