"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agrostis","Apiacees","Arabis","Carex","Cerastium","Crucif Jaune","Elymus","Grass cap","Grosse Rosette","Koel","Mertensia","Rubiacee","Saxifraga","Senecio","Silene","Solidago","Thlaspi"
"San Francisco Mt.","Geum_rossii",38,1,"cushion",7,4,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,2,"cushion",7,4,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,3,"cushion",10,4,,,1,,,,,,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",38,4,"cushion",10,5,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,5,"cushion",11,5,,,,1,,,,1,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,17,"cushion",20,10,,,,1,,,,,1,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,18,"cushion",20,10,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,19,"cushion",24,10,,,4,2,,3,,9,3,,,,2,,,3,,
"San Francisco Mt.","Geum_rossii",38,20,"cushion",22,11,,,,,,,,1,,,,,,,2,,,
"San Francisco Mt.","Geum_rossii",38,21,"cushion",19,13,,,,,,,,1,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,33,"cushion",21,21,,,,,,,,1,,,2,,,,,,,
"San Francisco Mt.","Geum_rossii",38,34,"cushion",31,15,,,,,,,,2,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,35,"cushion",40,12,,,,,,,,1,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,36,"cushion",33,15,,,,,,,,1,,,,,1,,1,,,1
"San Francisco Mt.","Geum_rossii",38,37,"cushion",27,20,,1,,,,,,,,,,,3,,,,,
"San Francisco Mt.","Geum_rossii",38,49,"cushion",28,24,,,,1,,,,1,1,,,,,1,,,,
"San Francisco Mt.","Geum_rossii",38,50,"cushion",27,25,,,,5,,,,,,,3,,1,,,,,
"San Francisco Mt.","Geum_rossii",38,51,"cushion",30,25,,,6,10,,3,,9,4,,2,,,,1,,1,
"San Francisco Mt.","Geum_rossii",38,52,"cushion",46,17,,,,3,,,,3,,1,1,,1,3,,,,
"San Francisco Mt.","Geum_rossii",38,53,"cushion",34,25,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,65,"cushion",40,38,,,,6,,1,,4,,,1,,,,,,,
"San Francisco Mt.","Geum_rossii",38,66,"cushion",61,25,,,1,2,,,,10,1,,,,5,,,,,
"San Francisco Mt.","Geum_rossii",38,67,"cushion",55,28,,,,,,,,4,1,,1,,,,1,,,
"San Francisco Mt.","Geum_rossii",38,68,"cushion",52,30,,,,4,,2,,8,,,,,2,,,,,
"San Francisco Mt.","Geum_rossii",38,69,"cushion",50,33,,,,,,,,1,2,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,1,"open",7,4,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,2,"open",7,4,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,3,"open",10,4,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,4,"open",10,5,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,5,"open",11,5,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,6,"open",13,5,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,7,"open",11,7,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,8,"open",17,5,,,,,,,,,,,,,,,14,,,
"San Francisco Mt.","Geum_rossii",38,17,"open",20,10,,,,,,,,,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",38,18,"open",20,10,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,19,"open",24,10,,,,,,,,2,,,,,,,,4,,
"San Francisco Mt.","Geum_rossii",38,20,"open",22,11,,,,,,,,1,,,,,,,8,,,
"San Francisco Mt.","Geum_rossii",38,21,"open",19,13,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,22,"open",28,9,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,23,"open",17,15,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,24,"open",20,15,,,,,,,,1,,,,,,,8,,,
"San Francisco Mt.","Geum_rossii",38,33,"open",21,21,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,34,"open",31,15,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,35,"open",40,12,,,,,,,,,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",38,36,"open",33,15,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,37,"open",27,20,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,38,"open",28,20,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,39,"open",33,17,,,,,,,,,,,,,,,,,,
