"site","cushion","code","sample","cushion.open","diam1","diam2","area","Rytidiosperma setifolium","Aciphylla big","Aciphylla monroi","Anisotome flexuosa","Anisotome haastii","Blechnum pennamarina","Brachyglottis bellioides","Brachyscome sinclairii","Cardamine bilobata","Celmisia lyallii","Celmisia spectabilis","Chianochloa","Colobanthus aciculatus","Dracophyllum pronum","Dracophyllum uniflorum","Elymus rectisetus","Epilobium pycnostachyium","Gaultheria depressa","Gentiana corymbifera","Geranium sessiliflorum","Helichrysum bellidioides","Hieracium","Koeleria","Leptinella atrata","Leucopogon frazeri","Lobelia roughii","Luzula rufa","Melicytus alpinus","Ourisia caespitosa","Poa colensoi","Racometrum ptycophylla","Rumex acetosella","Schizeilema trifoliatum","Viola cunninghamii","Wahlenbergia albomarginata","moss (green)"
"Mt. Hutt","Raoulia eximia",41,2,"open",60,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,3,"open",43,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,4,"cushion",45,50,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,7,"cushion",39,18,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,7,"open",39,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,9,"cushion",63,55,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,10,"cushion",90,55,,3,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,13,"open",60,50,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,14,"cushion",137,89,,9,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,15,"open",55,34,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,16,"open",44,22,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,17,"cushion",63,41,,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,25,"open",71,49,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
"Mt. Hutt","Raoulia eximia",41,26,"open",107,28,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,27,"open",71,37,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,34,"cushion",53,50,,3,,1,,,,,,,,1,,,,,,,4,,,,,10,6,,,,,,2,,,,,14,
"Mt. Hutt","Raoulia eximia",41,45,"cushion",79,44,,4,2,,,,,,,,,,,,,,,,,,,,1,1,5,,,2,,,3,,,,,2,
"Mt. Hutt","Raoulia eximia",41,46,"cushion",70,61,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,,,,17,
"Mt. Hutt","Raoulia eximia",41,47,"open",79,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,55,"cushion",147,94,,4,,,,,,,,,,1,4,1,,,,,,1,,,,1,12,,,8,,11,18,,,5,,72,2
"Mt. Hutt","Raoulia eximia",41,55,"open",147,94,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,57,"cushion",65,62,,2,,,,,,,,,,1,,,,,,,,,,,,,4,,,2,,1,8,,,,,,
"Mt. Hutt","Raoulia eximia",41,65,"open",78,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,66,"cushion",52,46,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,12,
"Mt. Hutt","Raoulia eximia",41,67,"open",79,42,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,75,"open",157,66,,2,,,,,,,,,,,1,5,,,,,,,3,,,,,,,,,,,,,5,,3,
"Mt. Hutt","Raoulia eximia",41,76,"open",149,62,,2,,,6,,,,,,,,,3,,,1,1,,,,,,,,10,,,,,,,2,,,,1
"Mt. Hutt","Raoulia eximia",41,86,"cushion",44,60,,3,,,,1,,,,,,2,,1,,,1,,,,,,,1,5,2,,,,2,,,,,,12,1
"Mt. Hutt","Raoulia eximia",41,87,"open",55,56,,1,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,4,,,,
"Mt. Hutt","Raoulia eximia",41,88,"cushion",42,44,,,,,,,,,,,,,2,,,,3,,,,,2,,1,,,,,,,,,,,,1,
"Mt. Hutt","Raoulia eximia",41,88,"open",42,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
