"site","cushion sp","code","sample","cushion.open","diam1","diam2","area","Abrotanella inconspicua","Agrostis mulleria","Anasotome laguniosum","Carex","Celmisia laricifolia","Chianohebe thomsonii","Colobanthus buchannii","Euphrasia zealandica","Festuca","Hectorella","Leptinella 2","Leptinella goyenii","Luzula","Myosotis pygmea","Phyllacne rubra","Poa colensoi","Raoulia grandiflora","Raoulia hectori","Schizeilma","Trisetum spicatum","moss (Polytrichum)","moss (Psilopilum)","lichen (Alectoria)","lichen (Cetraria)","lichen (Cladinia)","lichen (Siphula)","lichen (Thamnolia)"
"Old Man Range","Dracophyllum muscoides",42,61,"cushion",28,33,,,1,,,,1,,,,1,,,7,,,5,,1,,,4,,1,1,1,1,1
"Old Man Range","Dracophyllum muscoides",42,61,"open",28,33,,,,1,,,,1,,,1,,,5,,,,,,,,,,,,1,,1
"Old Man Range","Dracophyllum muscoides",42,62,"cushion",28,33,,,1,1,,,,,,,2,,,4,,,,,1,,,,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,62,"open",28,33,,,,,,,1,1,,,,,,4,,,,,,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,63,"cushion",30,24,,,,1,,,,,,,1,,,1,,,2,,1,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,63,"open",30,24,,,,,,,,,,,,,,6,,,1,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,64,"cushion",21,19,,,,,,,1,,,,,,,,,,,,3,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,64,"open",21,19,,,,,,,,,1,,,,,2,,,,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,65,"cushion",29,39,,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,65,"open",29,39,,,,,,,4,2,1,,,,,4,,,4,,,,,,3,,,,,1
"Old Man Range","Dracophyllum muscoides",42,1,"cushion",38,33,,1,,,,,1,,1,,1,,,1,,1,10,,1,,,1,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,1,"open",38,33,,,,,,,,4,,,,,,,,,,,,,,,8,,,,,1
"Old Man Range","Dracophyllum muscoides",42,2,"cushion",18,27,,2,,,,,,,,,,,,4,1,1,,1,,,,,,1,1,,,
"Old Man Range","Dracophyllum muscoides",42,2,"open",18,27,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,
"Old Man Range","Dracophyllum muscoides",42,3,"cushion",9,3,,,,,,,,,1,,,,,,,,4,,1,,,,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,3,"open",9,3,,,,,,,,,1,,,,,2,,,,,,,,,1,,1,,,
"Old Man Range","Dracophyllum muscoides",42,4,"cushion",20,29,,,,,,,,,1,,1,,,,,,3,,,,,,,1,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,4,"open",20,29,,,1,,,,,2,,,,,,1,,,,,,,,,6,,,,,
"Old Man Range","Dracophyllum muscoides",42,5,"cushion",40,36,,2,,3,,,,,,,,,,2,,,5,1,2,,,6,4,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,5,"open",40,36,,,,,,,1,2,,,,,,1,,,3,,1,,,1,6,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,6,"cushion",24,34,,,2,,,1,,,,,2,,,1,,,,1,1,,1,,,1,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,6,"open",24,34,,,,,,,,1,,,,,,2,,,1,,,,,,1,,,,,
"Old Man Range","Dracophyllum muscoides",42,7,"cushion",24,34,,,,,,,,,,,,,2,,,,2,,,,,,1,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,7,"open",24,34,,,,,,,,,,,,,,3,,,2,,,,,,4,,,,,1
"Old Man Range","Dracophyllum muscoides",42,8,"cushion",33,33,,1,,1,,2,,,,,1,,,3,,2,2,1,,,,2,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,8,"open",33,33,,,,,,,1,2,,,,,,5,,,7,,,,,,3,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,9,"cushion",39,20,,,,1,,1,,,,,,,,,,,6,,,,,4,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,9,"open",39,20,,,,,,,,7,,,,,,8,,,1,,1,,,,5,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,10,"cushion",39,20,,,5,,,6,,,,,,,,,,,6,,2,,,11,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,10,"open",39,20,,,,,1,,,,,,,,,2,,,11,,,,,,10,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,11,"cushion",24,24,,1,,,,,,,,,1,,,2,,3,2,1,,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,11,"open",24,24,,,3,,,,,1,,,,,,1,,,,,,,,1,4,1,,,1,1
"Old Man Range","Dracophyllum muscoides",42,12,"cushion",24,21,,1,,1,,,,,,,,,,4,,,3,,1,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,12,"open",24,21,,,1,,,,,2,,,,,,2,,,,,,,,,2,,,,,1
"Old Man Range","Dracophyllum muscoides",42,13,"cushion",30,20,,,2,,,,,1,,1,,,,3,,,3,,,,,,,,1,,,
"Old Man Range","Dracophyllum muscoides",42,13,"open",30,20,,,,,,,,,,,,,1,3,,,4,,,,,,4,,,,,
"Old Man Range","Dracophyllum muscoides",42,14,"cushion",36,37,,,2,1,,,,,,,2,,,3,,1,11,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,14,"open",36,37,,,2,,,,1,6,,,,,,10,,2,3,,,,,,8,,,,1,
"Old Man Range","Dracophyllum muscoides",42,15,"cushion",23,27,,,1,1,,,,3,,,,,,3,,,2,2,,,,,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,15,"open",23,27,,,4,,,,,2,,,,,,2,,,,,,,,,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,16,"cushion",27,25,,1,1,,,,,,,,,,,3,,,4,,,,,,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,16,"open",27,25,,,2,,,,,5,1,,,,,2,,,,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,17,"cushion",31,29,,,1,,,,,,,,,,,4,,1,2,1,,,,3,,,2,,,1
"Old Man Range","Dracophyllum muscoides",42,17,"open",31,29,,,1,,,,,3,,,,,,5,,,,,,,,,5,,,,1,1
"Old Man Range","Dracophyllum muscoides",42,18,"cushion",27,17,,,,,,,,1,2,,,,2,1,,1,4,,1,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,18,"open",27,17,,,1,,,,,,,,,,,2,,,3,1,,,,,1,1,,,1,1
"Old Man Range","Dracophyllum muscoides",42,19,"cushion",27,15,,,1,,,1,,,,,,,,2,,,,2,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,19,"open",27,15,,,1,,,,,,,,,,,,,,4,,,,,,,,,,1,1
"Old Man Range","Dracophyllum muscoides",42,20,"cushion",30,30,,2,3,,,,,,,,3,,,2,,2,1,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,20,"open",30,30,,,,,,,,1,,,,,,4,,,25,,,,,,,1,1,,1,1
"Old Man Range","Dracophyllum muscoides",42,21,"cushion",14,22,,,,,,,,,,,,,,2,,,1,2,,,,,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,21,"open",14,22,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,22,"cushion",12,6,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,22,"open",12,6,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,1
"Old Man Range","Dracophyllum muscoides",42,23,"cushion",22,32,,,7,,,,,,,,,1,,3,,1,1,1,,,,3,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,23,"open",22,32,,,,,,,,1,,,,,,14,,,13,,,,,,1,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,24,"cushion",9,12,,,2,,,,,,,,,,,2,,,,,,,,,,,1,,1,1
"Old Man Range","Dracophyllum muscoides",42,24,"open",9,12,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
"Old Man Range","Dracophyllum muscoides",42,25,"cushion",23,30,,,,1,,,,,,,,,,1,,,,,,,1,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,25,"open",23,30,,,,,,,,,,,1,,,2,,,10,1,,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,26,"cushion",17,9,,,1,,,,,,,,,1,,1,,,1,,,,,,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,26,"open",17,9,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1
"Old Man Range","Dracophyllum muscoides",42,27,"cushion",22,17,,,,,,,,,,,,,1,4,,,2,,,,,4,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,27,"open",22,17,,,,,,,1,2,,,,,,6,,,,,1,,,,3,1,,,1,
"Old Man Range","Dracophyllum muscoides",42,28,"cushion",33,33,,,,1,,,,,,,,,,3,,,23,,8,,,8,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,28,"open",33,33,,,,,,,,3,,,,,,3,,,5,,,,,,6,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,29,"cushion",25,25,,,,,,,,,,,,,,,,,3,,,,,7,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,29,"open",25,25,,,,,,,,2,,,,,,3,,,,,,,,3,3,,,,,1
"Old Man Range","Dracophyllum muscoides",42,30,"cushion",37,32,,,2,,,8,,,,,2,2,,2,,2,10,,,1,,25,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,30,"open",37,32,,,,,,,,4,,,,,,3,,,5,,,,,1,4,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,31,"cushion",30,20,,,6,,,,,,,,,,5,5,,,9,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,31,"open",30,20,,,,,,,,4,,,,,,6,,,3,,,,,1,2,1,1,,,
"Old Man Range","Dracophyllum muscoides",42,32,"cushion",20,26,,,,2,,,,1,,,1,,,1,,2,3,,,,,11,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,32,"open",20,26,,,,,,,,1,,,,,,2,,,,,,,,,6,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,33,"cushion",27,38,,4,,2,,4,,,,,,,2,1,,1,5,,,,,3,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,33,"open",27,38,,,,1,,,,3,,,,,,2,,1,7,,,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,34,"cushion",14,17,,,,1,,1,,,,,,,,1,,1,,,,,,9,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,34,"open",14,17,,,,,,,,,,,,,,,,,,,,,,2,2,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,35,"cushion",28,25,,,3,1,,1,,,,,5,,,,,1,,,,,,9,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,35,"open",28,25,,,,,,,,,,,,,,,,,17,,1,,1,2,2,,,,1,1
"Old Man Range","Dracophyllum muscoides",42,36,"cushion",21,12,,,8,,,2,,,,,,,,4,,,,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,36,"open",21,12,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,37,"cushion",27,29,,,4,1,,3,,,,,,,,,,,8,,,,,4,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,37,"open",27,29,,,,1,,,,,,,,,,2,,,24,,,,,,14,1,,,1,1
"Old Man Range","Dracophyllum muscoides",42,38,"cushion",5,11,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,38,"open",5,11,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,39,"cushion",20,14,,3,,,,2,,,,,,,,,,,,,1,,2,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,39,"open",20,14,,,,,,,,,,,,,,2,,,,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,40,"cushion",12,17,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,40,"open",12,17,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,41,"cushion",25,22,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,41,"open",25,22,,,,,,,,,,,,,,7,,,,,1,,,,,,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,42,"cushion",25,15,,,3,,,,,,,,,,,7,,,,1,1,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,42,"open",25,15,,,2,,,,,1,,,,,,1,,,,,,,,,20,,,,,
"Old Man Range","Dracophyllum muscoides",42,43,"cushion",21,28,,,2,,,,,,,,,,,1,4,,,,1,,3,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,43,"open",21,28,,,,,,,,3,,,,,,10,,,,,,,,,,,,1,1,
"Old Man Range","Dracophyllum muscoides",42,44,"cushion",21,28,,,1,,,,,,,,1,,,,,,3,,,,,3,,,,,,
"Old Man Range","Dracophyllum muscoides",42,44,"open",21,28,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"Old Man Range","Dracophyllum muscoides",42,45,"cushion",28,22,,,3,1,,,,,,,,,,2,,,,,,,,3,,,,,,
"Old Man Range","Dracophyllum muscoides",42,45,"open",28,22,,,,,,,,1,,,,,,6,,,1,,,,,,3,,,,1,1
"Old Man Range","Dracophyllum muscoides",42,46,"cushion",11,22,,,,,,,,,,,,,1,,,,1,,,,,14,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,46,"open",11,22,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,1,1
"Old Man Range","Dracophyllum muscoides",42,47,"cushion",24,22,,2,2,,,,,,,,,,,5,,,2,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,47,"open",24,22,,,,,,,,2,,,,,,,,,3,,,,,,10,,,,,
"Old Man Range","Dracophyllum muscoides",42,48,"cushion",13,8,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,48,"open",13,8,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,49,"cushion",23,12,,,,,,,,,2,,,2,,,,2,2,,2,,,,,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,49,"open",23,12,,,2,,,,,3,,,,,,2,,,,,,,,,3,,,,,
"Old Man Range","Dracophyllum muscoides",42,50,"cushion",27,13,,,,,,,,,,,,,,4,,,,,1,,,,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,50,"open",27,13,,,,,,,,1,,,,,,4,,,3,,,,,,1,,,,1,1
"Old Man Range","Dracophyllum muscoides",42,51,"cushion",13,12,,,1,1,,,,,,,,,,,,2,2,,,,,,,,1,,1,1
"Old Man Range","Dracophyllum muscoides",42,51,"open",13,12,,,,,,,,1,,,,,,4,,,2,,,,,4,,,,,1,1
"Old Man Range","Dracophyllum muscoides",42,52,"cushion",13,20,,3,,,,2,,,,,,,,,,1,3,,2,,,6,,,,,,1
"Old Man Range","Dracophyllum muscoides",42,52,"open",13,20,,,,,,,,,,,,,,1,,2,,,,,,,5,,1,,1,
"Old Man Range","Dracophyllum muscoides",42,53,"cushion",23,23,,,1,,,2,,,,,,,,4,,1,,,1,,4,8,,,,,,
"Old Man Range","Dracophyllum muscoides",42,53,"open",23,23,,,,,,,,2,1,,,,,1,,2,7,,,,,,5,,,,,1
"Old Man Range","Dracophyllum muscoides",42,54,"cushion",26,17,,1,2,,,1,,,,,,2,,,,,,,,,,,,,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,54,"open",26,17,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,,
"Old Man Range","Dracophyllum muscoides",42,55,"cushion",23,30,,1,5,,,1,,,,,,1,,5,,1,1,,1,,1,20,,,1,,,1
"Old Man Range","Dracophyllum muscoides",42,55,"open",23,30,,,,,,,,,1,,,,,2,,1,1,,1,,1,,6,,,,,1
"Old Man Range","Dracophyllum muscoides",42,56,"cushion",11,15,,,,1,,,,,,,1,,,2,,,3,,,,,,,,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,56,"open",11,15,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,
"Old Man Range","Dracophyllum muscoides",42,57,"cushion",25,20,,,,,,,,,,,,,,3,,,2,,,,,,,,2,,,1
"Old Man Range","Dracophyllum muscoides",42,57,"open",25,20,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,,1,
"Old Man Range","Dracophyllum muscoides",42,58,"cushion",15,29,,,,,,,,,,,,1,,5,,,3,,,,,,,,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,58,"open",15,29,,,,,,1,,1,,,,,,6,,,2,,,,,,6,,,,,
"Old Man Range","Dracophyllum muscoides",42,59,"cushion",30,20,,,1,2,,2,,,,,,,,4,,,1,,,,,1,,,1,1,,1
"Old Man Range","Dracophyllum muscoides",42,59,"open",30,20,,,,,,,,4,,,,,,4,,,4,,,,,,6,1,,,,1
"Old Man Range","Dracophyllum muscoides",42,60,"cushion",34,25,,,,1,,,1,,,,2,,4,1,,,5,,,,,,,1,1,,,1
"Old Man Range","Dracophyllum muscoides",42,60,"open",34,25,,,,,,,,,,,,,,7,,,2,,,,,,,1,1,1,1,1
