site,cushion sp,sample,cushion/open,diam1,diam2,Raoulia hectorii,Kelleria dieffenbachii,Poa colensis,Anisotome capillifolia,Dracophyllum muscoides,Brachyglottis bellidifolia,Luzula pumilia,Aciphyllum congestum,Agrostis mulleriana,Anistome hasstii,Anisotime imbricata,Celmisia bondplanii,Celmisia glandulosa,Celmisia laricifolia,Celmisia sessilflora,Celmisia viscosa,Chianochloa sp,Chianohebe ciliata,Colobanthus buchananii,Epilobium sp,Euphraisia sp,Gaultheria nubicola,Geum uniflorum,Gentiana divisa,Haastia sinclarii,Hebe hectorii,Hectorella caespitosa,Hectorella sp,Kelleria croizatii,Leptinella goyenii,Leptinella pectinata,Luzula crinita,Marsippospermum gracile,Myosotis pulvinasris,Ourisia glandulosa,Raoulia grandiflora,lichen (Hypogymnium),lichen (Thamnolia),moss (Dichrhomalema),moss (Polytrichum),moss (Racomitrum pruinosum),moss (Racomitrum pytchophylla),dataset code
"Mt. Burns","Phyllacne_colensoi",1,"open",47,29,2,,,1,,1,3,,2,,,,,,,,,2,,,,,,,,,,,,6,,,,,,2,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",2,"cushion",60,45,1,1,6,3,3,6,,,,,,,,,,3,,2,,,,10,,,,,,,,,,,,,,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",3,"cushion",66,74,1,,4,1,4,8,,,9,,,,,2,,,,4,,,,3,,1,,,,1,2,6,,,,,,6,,,,,,1,43
"Mt. Burns","Phyllacne_colensoi",3,"open",66,74,,,,,3,,6,,6,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",4,"open",30,40,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",5,"open",20,22,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",6,"cushion",30,22,,1,1,,4,6,,1,2,,,,,,,,,,,,,5,,,,,,,,2,,,,,2,,,,,4,,,43
"Mt. Burns","Phyllacne_colensoi",9,"open",60,45,,1,,1,3,2,,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",10,"cushion",97,64,3,4,9,4,3,4,,,9,,,,,24,,,,5,,,,10,,,,1,,2,,3,,12,,,2,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",11,"cushion",51,60,,7,4,7,,12,,,,,,,,7,,,,2,,,,,,1,,,,,,,,7,,,,,,,3,,3,,43
"Mt. Burns","Phyllacne_colensoi",11,"open",51,60,,1,3,3,1,1,,,,,,,,5,,,,2,,,,,,,3,,,,,3,,6,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",12,"open",45,48,,4,,1,2,,,,,1,,,,,,,,2,3,,,,,,1,,,,,2,,2,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",13,"open",80,60,,,,5,2,,,,,,,,1,1,,,,3,,,,,,,1,,,,,2,,2,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",17,"cushion",35,15,3,,1,3,,4,,,,,,,,4,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",18,"cushion",37,31,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",19,"cushion",31,16,,,2,,,10,,,,,,,,6,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,43
"Mt. Burns","Phyllacne_colensoi",19,"open",31,16,,,,,,4,2,,,,,,,1,,,,,1,,,,,2,,,,,,,,,,,,1,,,,2,1,,43
"Mt. Burns","Phyllacne_colensoi",20,"open",70,70,1,,2,,,1,4,,,,,,,,,,2,,2,,,,,,,,,1,2,3,,,,,,3,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",21,"cushion",24,27,1,,2,1,1,4,,1,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",22,"cushion",45,30,2,,2,1,1,5,,2,,,,,,2,,,,3,,,,,,3,,1,,1,,,,1,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",23,"cushion",18,18,,1,,,2,3,,1,,,,,,3,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",25,"open",38,31,,,1,,,1,1,,,,,,,1,,,,2,1,,,,,,,,,,,1,,,,,,2,,,,2,,,43
"Mt. Burns","Phyllacne_colensoi",26,"cushion",52,18,1,,,2,1,1,,1,,,,,,,,,,2,,,,5,,,,,,,2,,,3,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",27,"cushion",30,32,4,,1,4,,3,,,,,,,,,,,,2,1,,,,,,,,,,,,,3,2,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",27,"open",30,32,,,1,,,1,,,,,,,,,,,,,,,,5,,,,,,,,4,,3,,,,3,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",28,"open",58,25,,,,1,,,,,,,,,,,,,,,2,,,,,,3,,,,,,1,4,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",29,"open",45,40,,,3,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",33,"open",20,30,,1,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,1,1,43
"Mt. Burns","Phyllacne_colensoi",34,"cushion",32,27,,1,3,,,,3,,1,,1,,,,,,,1,,,,,,,,,,,1,1,,,,,,2,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",35,"cushion",140,123,7,2,5,2,8,10,,1,,,,,,2,,3,,10,,,,10,,5,,,,8,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",35,"open",140,123,1,,,2,,,6,,,,,,,,,,,2,,,1,,,,,2,,,,4,,,,,,3,,,,,,,43
