"site","cushion species","sample","cushion/open","diam1 (cm)","diam2 (cm)","Apiacees","Asperula","Astragalus blanc","Bromus","Caryophyllacees","Centaurea","Cerastium","Chardon dor","Chardon gris","Crocus","Festuca","Galium","Marrubium","Prunus","Renoncule glauque","Scilla","Scrophulariacees","Senecio","Taraxacum","Veronica","dataset code"
"Lebanon","Onobrychis_cornuta",1,"cushion",7,7,2,,,,,,3,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",2,"cushion",12,10,5,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",3,"cushion",13,12,,1,,15,,,,,,,3,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",4,"cushion",16,10,,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",5,"cushion",17,12,2,,,,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",24,"cushion",35,30,1,2,,3,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",25,"cushion",40,30,,,,8,,5,,,,,,,,,,,2,,,,44
"Lebanon","Onobrychis_cornuta",26,"cushion",35,35,,,,,,,,,1,,,,10,,,,,,,,44
"Lebanon","Onobrychis_cornuta",27,"cushion",37,35,4,,,30,,,,,1,,,,,,,,,,,1,44
"Lebanon","Onobrychis_cornuta",28,"cushion",40,35,1,,,25,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",47,"cushion",95,45,15,,,65,,35,,,,1,3,,,,,,,,,5,44
"Lebanon","Onobrychis_cornuta",48,"cushion",75,60,5,,,75,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",49,"cushion",75,60,1,,,50,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",50,"cushion",75,60,1,1,,60,,,,,1,,,,,,1,,,,,,44
"Lebanon","Onobrychis_cornuta",51,"cushion",70,65,,,,29,,,,,2,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",52,"cushion",75,65,10,,,60,,1,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",53,"cushion",80,65,15,,,65,,,,,2,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",54,"cushion",90,65,6,,,60,,15,,,2,,3,,,,3,3,,,,,44
"Lebanon","Onobrychis_cornuta",10,"open",23,20,3,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",11,"open",23,20,,2,,,,,1,,,,,,,,,1,,,,,44
"Lebanon","Onobrychis_cornuta",12,"open",25,20,2,5,,,,,,,,,,,,,1,,,,,,44
"Lebanon","Onobrychis_cornuta",34,"open",50,45,2,3,,5,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",35,"open",57,40,,,,10,,,,,16,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",36,"open",53,45,5,3,,3,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",58,"open",100,90,20,,,35,,3,,,5,,5,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",59,"open",130,105,4,,,45,,1,,,,,2,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",60,"open",130,115,20,1,,45,,1,,,1,2,,,1,,,2,,,,,44
"Lebanon","Onobrychis_cornuta",6,"cushion",15,15,3,,,,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",7,"cushion",18,13,2,,,,,,,,,,,,,,,1,,,,,44
"Lebanon","Onobrychis_cornuta",8,"cushion",20,18,1,,,,,,,,,,5,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",9,"cushion",27,15,,,,,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",10,"cushion",23,20,,2,,25,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",11,"cushion",23,20,1,,,,,,1,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",12,"cushion",25,20,1,1,,15,,1,,,,,,,,,2,,,,,,44
"Lebanon","Onobrychis_cornuta",13,"cushion",25,20,,,,,,,,,,1,,,,,2,,,,,,44
"Lebanon","Onobrychis_cornuta",14,"cushion",24,22,3,,,,,3,,,,,,,,,,,,,,1,44
"Lebanon","Onobrychis_cornuta",15,"cushion",30,25,7,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",16,"cushion",30,25,5,,,5,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",17,"cushion",30,25,8,1,,5,,,,,1,,,,,,,1,,,,,44
"Lebanon","Onobrychis_cornuta",18,"cushion",35,25,,,,5,,1,,,,,,,,,,,2,,,,44
"Lebanon","Onobrychis_cornuta",19,"cushion",35,25,2,1,,,,,,,1,,,,2,,,,,,,,44
"Lebanon","Onobrychis_cornuta",20,"cushion",35,25,,5,,,,,3,,,3,,,6,,,,,,1,,44
"Lebanon","Onobrychis_cornuta",21,"cushion",30,30,1,,,,,,,,,,2,,,,,,,,,1,44
"Lebanon","Onobrychis_cornuta",22,"cushion",35,28,,6,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",23,"cushion",40,25,2,,,3,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",29,"cushion",40,35,3,,,5,,,,,,,8,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",30,"cushion",42,38,1,,,20,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",31,"cushion",50,35,7,,,20,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",32,"cushion",55,35,,,,60,,,,,1,,10,,1,,,,,,,,44
"Lebanon","Onobrychis_cornuta",33,"cushion",50,40,,,,15,,3,,,4,1,35,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",34,"cushion",50,45,2,,,25,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",35,"cushion",57,40,,,,40,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",36,"cushion",53,45,3,,,1,,,,,,,15,10,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",37,"cushion",53,50,20,,,10,2,,5,,,,2,,2,,,,,,,,44
"Lebanon","Onobrychis_cornuta",38,"cushion",60,45,3,,,25,,,,,,,,15,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",39,"cushion",65,45,10,,,5,,,,,,1,3,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",40,"cushion",65,50,1,,,60,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",41,"cushion",65,55,10,,,,,,,,,,8,,,,2,1,,,,,44
"Lebanon","Onobrychis_cornuta",42,"cushion",75,50,1,,,30,,,1,,,,,,,10,,,,,,,44
"Lebanon","Onobrychis_cornuta",43,"cushion",95,40,15,,,50,,,,1,3,,20,,8,,,,,,,,44
"Lebanon","Onobrychis_cornuta",44,"cushion",65,60,2,,,50,,,,,4,,5,,,,,,,,,2,44
"Lebanon","Onobrychis_cornuta",45,"cushion",65,60,5,,,25,,,,,2,,,,3,,,,,,,,44
"Lebanon","Onobrychis_cornuta",46,"cushion",85,50,6,,,45,,,1,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",55,"cushion",85,70,10,,,25,,4,,,5,,1,,,,,,1,,,,44
"Lebanon","Onobrychis_cornuta",56,"cushion",80,75,15,,,40,,20,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",57,"cushion",82,75,,,,50,,,,,,,,,,,1,,,,,,44
"Lebanon","Onobrychis_cornuta",58,"cushion",100,90,25,,,,,1,,,,,55,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",59,"cushion",130,105,30,,,25,,2,,,2,,60,,,,,,10,,,,44
"Lebanon","Onobrychis_cornuta",60,"cushion",130,115,10,,,100,,,,,,,,,1,,6,1,,,,,44
"Lebanon","Onobrychis_cornuta",1,"open",7,7,3,,,,,1,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",2,"open",12,10,3,,,,,,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",3,"open",13,12,,1,,,,,,,,,,,,,,,,,,,44
