"site","cushion species","sample","cushion/open","diam1 (cm)","diam2 (cm)","Acantholimon","Alyssum","Annuelle sche","Apiacees","Bromus","Caryophyllaces","Centaurea","Cerastium","Chardon gris","Crepis","Festuca","Galium","Lactuca","Leontodon","Leuzea","Liliacees","Linaria","Marrubium","Prunus","Ranunculacees","Scrophulariacees","Senecio","Senecio dents","Taraxacum","Tulipa","Viola","dataset code"
"Lebanon","Astragalus zachlensis",1,"open",13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",2,"open",15,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",3,"open",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",4,"open",23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",5,"open",28,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",6,"open",27,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",7,"open",30,20,0,0,0,2,10,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",21,"open",45,35,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",22,"open",43,38,0,1,0,4,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",23,"open",43,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",24,"open",42,40,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",25,"open",45,38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,45
"Lebanon","Astragalus zachlensis",26,"open",45,40,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",27,"open",45,40,0,20,0,0,45,0,5,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",41,"open",60,55,0,8,0,8,1,0,0,5,0,0,0,25,0,0,0,1,0,5,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",42,"open",62,55,1,1,0,0,57,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",43,"open",65,60,0,0,0,10,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,45
"Lebanon","Astragalus zachlensis",44,"open",65,60,0,0,0,3,3,0,0,5,2,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",45,"open",80,60,0,15,0,0,10,13,0,8,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",46,"open",83,60,0,0,0,0,0,0,45,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45
"Lebanon","Astragalus zachlensis",47,"open",74,70,0,0,0,2,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",1,"cushion",13,12,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",2,"cushion",15,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",3,"cushion",20,20,0,0,0,0,25,0,0,0,0,0,0,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",4,"cushion",23,23,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",5,"cushion",28,20,0,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",6,"cushion",27,22,1,0,0,1,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",7,"cushion",30,20,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",8,"cushion",32,25,0,0,0,0,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",9,"cushion",30,28,0,50,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",10,"cushion",30,28,0,55,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",11,"cushion",35,30,0,30,0,0,3,0,0,1,0,0,15,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",12,"cushion",33,32,0,50,0,1,25,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",13,"cushion",34,32,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45
"Lebanon","Astragalus zachlensis",14,"cushion",35,32,0,18,0,3,25,0,5,10,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,45
"Lebanon","Astragalus zachlensis",15,"cushion",38,30,0,60,0,4,55,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",16,"cushion",35,33,0,35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",17,"cushion",38,32,1,0,0,4,20,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",18,"cushion",38,32,0,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,45
"Lebanon","Astragalus zachlensis",19,"cushion",40,35,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,30,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",20,"cushion",40,35,0,0,0,3,15,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",21,"cushion",45,35,0,90,0,10,15,0,0,0,0,0,0,80,0,0,1,0,5,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",22,"cushion",43,38,0,5,0,1,65,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,45
"Lebanon","Astragalus zachlensis",23,"cushion",43,38,0,0,0,4,50,0,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",24,"cushion",42,40,0,60,0,1,60,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",25,"cushion",45,38,0,0,0,1,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",26,"cushion",45,40,0,5,0,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",27,"cushion",45,40,0,0,0,0,25,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,1,0,45
"Lebanon","Astragalus zachlensis",28,"cushion",45,40,0,0,0,0,25,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,45
"Lebanon","Astragalus zachlensis",29,"cushion",43,43,0,90,0,6,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",30,"cushion",48,40,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",31,"cushion",50,40,0,0,0,2,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",32,"cushion",50,40,0,120,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,45
"Lebanon","Astragalus zachlensis",33,"cushion",45,45,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,45
"Lebanon","Astragalus zachlensis",34,"cushion",53,42,0,65,0,0,55,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,45
"Lebanon","Astragalus zachlensis",35,"cushion",54,45,0,45,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",36,"cushion",55,50,0,50,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",37,"cushion",55,50,0,65,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",38,"cushion",60,50,0,65,0,0,30,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",39,"cushion",60,55,0,65,0,5,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",40,"cushion",110,30,0,45,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",41,"cushion",60,55,0,70,0,5,50,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",42,"cushion",62,55,0,15,0,1,60,0,0,0,0,0,0,35,0,0,1,0,0,6,0,0,0,0,0,6,0,0,45
"Lebanon","Astragalus zachlensis",43,"cushion",65,60,0,20,0,5,5,0,0,5,0,0,15,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,45
"Lebanon","Astragalus zachlensis",44,"cushion",65,60,0,10,0,5,35,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,1,0,45
"Lebanon","Astragalus zachlensis",45,"cushion",80,60,0,75,0,4,25,0,0,1,0,0,20,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",46,"cushion",83,60,0,0,0,5,35,0,0,0,0,0,25,85,0,0,2,0,0,0,0,0,0,0,0,3,0,0,45
"Lebanon","Astragalus zachlensis",47,"cushion",74,70,0,0,1,0,65,0,0,6,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,45
"Lebanon","Astragalus zachlensis",48,"cushion",75,72,0,1,0,1,30,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",49,"cushion",85,70,0,0,0,3,60,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,45
"Lebanon","Astragalus zachlensis",50,"cushion",80,75,0,60,0,2,45,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",51,"cushion",83,74,0,0,0,5,60,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,45
"Lebanon","Astragalus zachlensis",52,"cushion",82,75,0,85,0,5,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",53,"cushion",90,77,0,35,0,10,100,0,1,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,1,0,0,45
"Lebanon","Astragalus zachlensis",54,"cushion",90,80,0,50,0,5,60,0,0,5,0,0,50,35,0,0,1,0,0,5,0,0,3,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",55,"cushion",100,95,0,0,0,7,40,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",56,"cushion",120,85,1,0,1,10,110,0,0,1,0,0,0,45,0,2,0,0,1,2,0,0,0,1,0,16,1,0,45
"Lebanon","Astragalus zachlensis",57,"cushion",110,100,0,0,0,0,30,0,0,1,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,45
"Lebanon","Astragalus zachlensis",58,"cushion",105,105,0,0,0,1,45,0,0,0,0,0,20,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,45
