Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),area (cm2),Acantholimon brachystachyum,Allium tuchalense,Alopecurus textilis,Arenaria insignis,Asperula glomerata,Astragalus capito,Astragalus macrosemius seedling,Bromus tomentosus,Campanula ruprechtii,Catabrosella parviflora,Crepis heterotricha,Draba pulchella,Elymus longaristatus,Festuca cf alaica,Galium decumbens,Helichrysum psychrophilum,Jurinella frijida,Oxytropis persicus,Physoptychis gnaphalodes,Piptatherum laterale,Poa araratica,Polygonum molliaeforme,Scorzonera meyeri,Trachydium depressum,Veronica kurdica subsp kurdica,Ziziphora clinopodioides subsp rigida
46,"Alborz Iran","Astragalus macrosemius",1,"cushion","","",4250,1,,,,,,,3,19,,,5,,,,,,,,,2,,,,,
46,"Alborz Iran","Astragalus macrosemius",2,"cushion","","",1516,1,,,,,,,1,5,,,,,,1,,,,,,2,,,1,,
46,"Alborz Iran","Astragalus macrosemius",3,"cushion","","",2411,,,,1,,,,,,,,,,,,,1,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",4,"cushion","","",2475,1,,,5,1,,,,,,,2,,,,,,,,,2,,,,,
46,"Alborz Iran","Astragalus macrosemius",5,"cushion","","",1956,1,,,,,,,,,,,,1,,,,2,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",6,"cushion","","",4500,,,,,,,,,,,,,,,,,1,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",7,"cushion","","",3025,,,,,,,,,2,,,,3,,,,5,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",8,"cushion","","",3250,1,,,,,,,,,,,,1,,,,,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",9,"cushion","","",3923,,,,,,,,,,,,,2,,,,,,1,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",10,"cushion","","",6607,3,2,,,,,,,,,,,2,,,,,,,,2,,,,,
46,"Alborz Iran","Astragalus macrosemius",11,"cushion","","",1800,1,,,,,,,,,,,,,,,,17,,,,4,,,,,
46,"Alborz Iran","Astragalus macrosemius",12,"cushion","","",2250,,,,,3,,,,,,,1,,,,,,,,,5,,,,,
46,"Alborz Iran","Astragalus macrosemius",13,"cushion","","",1514,1,,,,,,,3,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",14,"cushion","","",3300,1,,,1,,,,,,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",15,"cushion","","",1925,,2,,,,,,,4,,,,,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",16,"cushion","","",2100,,,2,,,,,,,,,,,,,,,,,,3,,,,,
46,"Alborz Iran","Astragalus macrosemius",17,"cushion","","",1622,1,,4,,,,,,,,,,,1,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",18,"cushion","","",2500,2,,,,,,,,,,,4,,1,,,,,,,1,,,,,
46,"Alborz Iran","Astragalus macrosemius",19,"cushion","","",2500,,,,1,,,,,,,,,,,,,,,2,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",20,"cushion","","",2625,1,,,,,,,1,,,,,1,1,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",21,"cushion","","",3025,,,,,,,,,,,,,,,,,,,1,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",22,"cushion","","",2500,,,,,,,,,,,,,3,,,,,,5,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",23,"cushion","","",2000,,,,,,,,,,,,,3,,,,,,5,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",24,"cushion","","",1800,,,,,,,,,,,,,,,,,,,2,,1,,,1,,
46,"Alborz Iran","Astragalus macrosemius",25,"cushion","","",3300,,,,,,,,,,,,,1,,,,10,,1,,3,,,,,
46,"Alborz Iran","Astragalus macrosemius",26,"cushion","","",3012,1,,,,,,,,,,,,1,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",27,"cushion","","",4928,3,,,6,1,,,1,10,,,5,,,,,6,,,,4,,,,,
46,"Alborz Iran","Astragalus macrosemius",28,"cushion","","",2914,1,,,,,,,,,,,,4,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",29,"cushion","","",3484,1,,,1,,,,,,,,,1,,,,,,,,,,,1,,
46,"Alborz Iran","Astragalus macrosemius",30,"cushion","","",2754,,,,3,,,,,,,,,2,,,,,,,,3,,,,,
46,"Alborz Iran","Astragalus macrosemius",31,"cushion","","",1519,,,,3,,,,1,1,,,3,,,,,,,1,,,,,10,,
46,"Alborz Iran","Astragalus macrosemius",32,"cushion","","",2756,,,,1,,,,5,,,7,5,,1,,,,,3,,,,,,,2
46,"Alborz Iran","Astragalus macrosemius",33,"cushion","","",3111,2,,,3,,,,1,,,1,2,3,1,,,,,,,,,,1,,6
46,"Alborz Iran","Astragalus macrosemius",34,"cushion","","",1794,,,,2,,,,,8,,,12,2,,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",35,"cushion","","",8176,,,,,3,,,7,3,,,17,1,4,,,,,1,,,,,1,,2
46,"Alborz Iran","Astragalus macrosemius",36,"cushion","","",7626,,,1,,,,,5,6,,,,,2,,,,,,,,,,5,,4
46,"Alborz Iran","Astragalus macrosemius",37,"cushion","","",4941,,,,,,,,1,10,,,14,3,1,,,,,1,,,,,,,1
46,"Alborz Iran","Astragalus macrosemius",38,"cushion","","",8480,,,,,,,,4,23,,,7,,2,,,,,,,,,,,,5
46,"Alborz Iran","Astragalus macrosemius",39,"cushion","","",8645,,,,,,,,1,,,,,4,,,,,,3,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",40,"cushion","","",3200,,,,,,,,,,,,36,1,,,,,,2,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",41,"cushion","","",4620,,,,,1,,,2,9,,,2,,4,,2,,,2,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",42,"cushion","","",2929,,,,,1,,,3,18,,,,,4,,,,,,,,,,,4,
46,"Alborz Iran","Astragalus macrosemius",43,"cushion","","",3496,1,,,,,,,2,8,,,5,,4,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",44,"cushion","","",5642,,,,1,,,,4,,,,5,,2,,,,,,2,,,,,,
46,"Alborz Iran","Astragalus macrosemius",45,"cushion","","",3621,,,,7,,,,2,,,,5,,,,,,,,1,,,,,,
46,"Alborz Iran","Astragalus macrosemius",46,"cushion","","",3564,,,,2,1,,,4,,,,2,,,,,,,2,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",47,"cushion","","",6745,,,,6,,,,2,,,,4,,2,,,,,,,,,,,,
46,"Alborz Iran","Astragalus macrosemius",48,"cushion","","",6138,,,,1,3,,,1,,,,8,,5,,,,,,,1,,,1,,
46,"Alborz Iran","Astragalus macrosemius",49,"cushion","","",5980,,3,,,,,,2,16,,,5,,2,,,,,,,,,,1,,
46,"Alborz Iran","Astragalus macrosemius",50,"cushion","","",2411,,,,,,,,,,,,8,,2,,,,,,,,,,1,,
46,"Alborz Iran","Astragalus macrosemius",51,"cushion","","",21432,,,,,2,,,,,,,20,1,2,,,,,1,,1,,1,,,
46,"Alborz Iran","Astragalus macrosemius",52,"cushion","","",13068,1,20,,2,2,,,,7,,,15,4,,,,,,,3,3,,,,,
46,"Alborz Iran","Astragalus macrosemius",53,"cushion","","",4131,1,,,3,2,,,3,,,,9,1,1,,,,,2,,1,,,,,
