Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androsace chamaejasme,Arenaria ciliata,Artemisia eriantha,Astragalus frigidus,Bartsia alpina,Botrychium lunaria,Campanula alpina,Campanula cochleariifolia,Campanula tatrae,Carex atrata,Carex capillaris,Carex firma,Carex fuliginosa,Carex sempervirens,Cerastium lanatum,Comastoma tenellum,Crepis jacquinii,Delphinium oxysepalum,Doronicum clusii,Draba aizoides,Draba tomentosa,Dryas octopetala,Erigeron alpinus,Erigeron uniflorus,Euphrasia salisburgensis,Euphrasia tatrae,Festuca versicolor,Galium anisophyllon,Gentianella lutescens,Hedysarum hedysaroides,Helianthemum alpestre,Helianthemum grandiflorum,Chamorchis alpina,Ligusticum mutellinoides,Lloydia serotina,Luzula spicata,Minuartia gerardii,Minuartia sedoides,Myosotis alpestris,Oxytropis campestris,Oxytropis carpatica,Oxytropis halleri,Parnassia palustris,Pedicularis oederi,Pedicularis verticillata,Persicaria bistorta,Persicaria vivipara,Phyteuma orbiculare,Poa alpina,Pseudorchis albida,Ranunculus alpestris,Ranunculus breyninus,Ranunculus pseudomontanus,Rhodiola rosea,Salix alpina,Salix herbacea,Salix reticulata,Salix retusa,Saussurea alpina,Saxifraga aizoides,Saxifraga paniculata,Scabiosa lucida,Sedum atratum,Sesleria tatrae,Silene acaulis,Thymus alpestris,Trisetum alpestre,Trisetum flavescens
47,"The Hlupy peak","Silene acaulis",1,"cushion",21.9,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,
47,"The Hlupy peak","Silene acaulis",1,"open",21.9,18.1,,7,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,1,,,,9,,,,,,5,,,,,,13,,1,,,1,,2,,,,,,,1,,1,,1,,,
47,"The Hlupy peak","Silene acaulis",2,"cushion",44,19,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,3,,,,2,,,,,,,3,,2,,,11,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",2,"open",44,19,4,,,,,1,,,,,,,,,,,,,,,,,,,1,,10,1,,,,,,,1,,,,,,,11,5,2,,,,,,,,2,,,,5,,,,,9,,,,,20,,
47,"The Hlupy peak","Silene acaulis",3,"cushion",24,18,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,1,4,,,5,,,,,1,,1,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",3,"open",24,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,16,5,,,,,,,2,,,,,,,,,2,,,3,,,,,,,,,,,,,,3,,,,,5,,
47,"The Hlupy peak","Silene acaulis",4,"cushion",26,23.5,3,,,,,2,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,1,,,,,,4,,1,8,,,12,,,,,2,,,,,,,,,,3,,,,4,,
47,"The Hlupy peak","Silene acaulis",4,"open",26,23.5,3,,,,,,,,,,,,,,,,1,,,,,,,,,,22,1,,,,,,,1,,,,,,3,,1,2,,,7,,,,,1,,,,,,,,,,,,2,,6,,
47,"The Hlupy peak","Silene acaulis",5,"cushion",26,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,8,,,,,,6,,6,,6,,9,,,,,2,,1,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",5,"open",26,24,3,,,,,1,,,,,,,,2,,1,1,,,,,,,,,,12,7,,,,,,,,,4,,,,,1,4,,4,,,,6,,1,,,,,,,,,,4,,,,,4,,
