site,cushion sp,cushion/open,sample,dimen1,dimen2,mean diameter,area,Ajania tenuifolia (Jacq) Tzvel,Arenaria kansuensis Maxim,Aster alpinus L,Astragalus Polycladus Bur Et Franch,Astragalus Tanguticus Batalin,Comastoma pulmonarium(Turez) Toyohuni,Draba altaica (C A Mey) Bunge,Koeleria litwinowii Domin,Poa poiphagorum Ber,Poa sibirica Roshev,Potentilla sericea L,Rhodiola kirilowii (Regel) Maxim,Saussurea gnaphalodes (Royle) Sch-Bip,Soroseris erysimoides (Hand-Mazz) Shih,Leontopodium nanum(HookfetThoms)HandMazz,dataset code
"China","Arenaria","cushion",4,40,50,45,1589.625,,"",44,,,,"",,,23,"",,,"",,49
"China","Arenaria","open",32,32,30,31,754.385,,"",,,,,"",,,4,"",1,,"",,49
"China","Arenaria","cushion",33,27,27,27,572.265,,"",,,,,"",,,,"",,,"",1,49
"China","Arenaria","open",33,27,27,27,572.265,,"",3,,,,"",5,,2,"",,,"",,49
"China","Arenaria","cushion",34,44,33,38.5,1163.56625,,"",3,,,,"",7,,,"",,,"",,49
"China","Arenaria","open",34,44,33,38.5,1163.56625,,"",5,,,7,"",14,,2,"",,,"",,49
"China","Arenaria","cushion",35,52,51,51.5,2082.01625,,"",22,,,,"",,,,"",,,"",12,49
"China","Arenaria","open",35,52,51,51.5,2082.01625,,"",13,,,,"",,,1,"",,,"",,49
"China","Arenaria","cushion",36,40,27,33.5,880.96625,,"",4,,,,"",,13,,"",,,"",,49
"China","Arenaria","open",36,40,27,33.5,880.96625,,"",15,,,,"",,1,,"",,,"",,49
"China","Arenaria","cushion",37,24,22,23,415.265,,"",5,,,,"",,4,1,"",,,"",13,49
"China","Arenaria","open?",42,40,32,36,1017.36,,"",9,,,,"",,3,,"",,,"",30,49
"China","Arenaria","cushion",43,41,25,33,854.865,,"",,,,,"",,,5,"",,,"",20,49
"China","Arenaria","open",43,41,25,33,854.865,,"",9,,,,"4",,,2,"4",,,"4",4,49
"China","Arenaria","cushion",44,29,30,29.5,683.14625,,"",10,,,,"",,,8,"",,,"16",,49
"China","Arenaria","open",44,29,30,29.5,683.14625,,"",11,,,,"",,,2,"31",,,"1",31,49
