Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Polygonum viviparum,Saxifraga oppositifolia,Sedge (sp),Salix polaris
50,"Ny-Ålesund","Silene acaulis",1,"cushion",11,15,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",2,"open",,,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",3,"cushion",17,18,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",4,"open",,,5,1,0,0
50,"Ny-Ålesund","Silene acaulis",5,"cushion",9,9,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",6,"open",,,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",7,"cushion",4,6,0,0,1,0
50,"Ny-Ålesund","Silene acaulis",8,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",9,"cushion",4,6,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",10,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",11,"cushion",22,19,10,0,0,0
50,"Ny-Ålesund","Silene acaulis",12,"open",,,9,5,0,6
50,"Ny-Ålesund","Silene acaulis",14,"open",,,6,0,0,0
50,"Ny-Ålesund","Silene acaulis",15,"cushion",11,10,2,0,0,0
50,"Ny-Ålesund","Silene acaulis",16,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",17,"cushion",6,7,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",18,"open",,,0,0,0,0
50,"Ny-Ålesund","Silene acaulis",19,"cushion",8,9,2,0,0,2
50,"Ny-Ålesund","Silene acaulis",20,"open",,,1,0,0,0
50,"Ny-Ålesund","Silene acaulis",21,"cushion",15,14,4,4,0,0
50,"Ny-Ålesund","Silene acaulis",22,"open",,,3,0,0,3
50,"Ny-Ålesund","Silene acaulis",23,"cushion",19,20,5,0,0,15
50,"Ny-Ålesund","Silene acaulis",24,"open",,,2,3,0,5
50,"Ny-Ålesund","Silene acaulis",25,"cushion",12,11,3,0,0,0
50,"Ny-Ålesund","Silene acaulis",26,"open",,,3,4,0,0
50,"Ny-Ålesund","Silene acaulis",27,"cushion",14,9,3,0,0,0
50,"Ny-Ålesund","Silene acaulis",28,"open",,,3,7,0,2
50,"Ny-Ålesund","Silene acaulis",29,"cushion",17,8,6,0,0,0
50,"Ny-Ålesund","Silene acaulis",30,"open",,,2,1,0,0
50,"Ny-Ålesund","Silene acaulis",31,"cushion",14,21,7,0,2,15
50,"Ny-Ålesund","Silene acaulis",32,"open",,,8,3,0,0
50,"Ny-Ålesund","Silene acaulis",33,"cushion",16,8,2,0,0,4
