site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis castellana,Agrostis truncatula,Armeria caespitosa,Avenella iberica,Euphrasia willkommii,Festuca curvifolia,Festuca iberica,Hieracium myriadenum,Jasione crispa,Jurinea humilis,Luzula hispanica,Minuartia recurva,Nardus stricta,Paronychia polygonifolia,Plantago alpina,Polytrichum juniperinum,Polytrichum piliferum,Sedum brevifolium,Sedum candollei,Silene ciliata,dataset code
"Cabezas de Hierro","Minuartia_recurva",1,"cushion",22,15,,5,,,,,6,,,,,,,,,,,1,1,,56
"Cabezas de Hierro","Minuartia_recurva",3,"cushion",12,9,,,,,,2,3,,2,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",4,"cushion",15,13,10,,,,,,,,1,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",21,"cushion",11,6.5,,5,,,,1,1,,,,,,,,,,,3,,,56
"Cabezas de Hierro","Minuartia_recurva",22,"cushion",13,12,4,,,,,1,3,,2,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",23,"cushion",21.5,19,,9,,,,,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",41,"cushion",18,16,16,3,,,,6,,,2,,,,,,,,,,3,4,56
"Cabezas de Hierro","Minuartia_recurva",42,"cushion",20.5,15,8,,,,,,,,2,,,,,,,,,2,,2,56
"Cabezas de Hierro","Minuartia_recurva",43,"cushion",20.5,19,2,,5,6,,,,,,,,,,,,,,1,,2,56
"Cabezas de Hierro","Minuartia_recurva",63,"cushion",16,14,,,,,,,,,,,,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",64,"cushion",17.5,13,,,,,,,,,,,6,,,,,,,4,2,,56
"Cabezas de Hierro","Minuartia_recurva",65,"cushion",15,13,,,,,,12,,,1,,,,,,,,,1,2,,56
"Cabezas de Hierro","Minuartia_recurva",81,"cushion",26.5,23,,,,,,17,,,1,,2,,,,3,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",82,"cushion",30,20.5,,,2,,,20,,,1,,1,,,,,,,,,,56
