site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Azorella madreporica",1,"cushion","","",,,,,,,,,,,,12,,,,,,,,,,,,,,4,,,,,11,,,,,,,,,,,4,,,,,,,1,,,2,1,1,,,57
"Valle Nevado","Azorella madreporica",2,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,3,,,,,,,,1,,,,,,,57
"Valle Nevado","Azorella madreporica",3,"cushion","","",1,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,1,25,2,,,,,,,,,,4,,,,,2,,,,,6,,,,,57
"Valle Nevado","Azorella madreporica",4,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,1,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",13,"cushion","","",1,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,13,,,,,,,,,2,1,,,,,,3,,,,,3,,2,,,57
"Valle Nevado","Azorella madreporica",14,"cushion","","",,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,54,4,,,,,,,,,1,,,,,,2,,,,,3,,,,,57
"Valle Nevado","Azorella madreporica",15,"cushion","","",,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,1,,,,,,,,,,,2,,2,,,57
"Valle Nevado","Azorella madreporica",16,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",25,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",26,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,57
