site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Barneoudia major,Bromus setifoluis,Calandrinia affinis,Carex sp 2,Cerastium arvense,Chaetanthera lycopodioides,Erigeron andicola,Festuca magellanica,Hordeum comosum,Hypochaeris tenuifolia,Loasa sigmoidea,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Pozoa coriacea,Rytidosperma violaceum,Senecio looseri,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola atropurpurea,Viola philippii,dataset code
"Tres Puntas","Azorella madreporica",1,"cushion","","",,,,,52,,,,2,,,,,,,,,,,9,,,,2,,,,,,58
"Tres Puntas","Azorella madreporica",2,"cushion","","",,,,,5,,1,,4,1,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",3,"cushion","","",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",4,"cushion","","",2,,,,49,,2,6,,,,,,1,,,,,,8,,,2,1,,,,,,58
"Tres Puntas","Azorella madreporica",5,"cushion","","",,,,1,,,,,,,1,,,,,,,,,6,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",6,"cushion","","",,,,,35,,,,3,,,,,,,,,,,12,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",7,"cushion","","",,,,,36,,,,,,1,,,,1,,,,,12,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",19,"cushion","","",,1,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",20,"cushion","","",,,,,15,,,3,1,,,,,,1,,,3,,,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",21,"cushion","","",,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",22,"cushion","","",,,,,43,,,,,,,,,1,,,,,,2,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",23,"cushion","","",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",24,"cushion","","",,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",25,"cushion","","",,,,,21,,,2,,,2,,,,,,,,,,,,,,1,,,,,58
"Tres Puntas","Azorella madreporica",37,"cushion","","",,,,,21,,,,,,,,,,,,,,,,,,,,1,,,,,58
"Tres Puntas","Azorella madreporica",38,"cushion","","",,,,,53,,,1,4,,,,,2,,,,,,1,,,,3,,,,,,58
"Tres Puntas","Azorella madreporica",39,"cushion","","",,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",40,"cushion","","",,,,,97,,3,4,5,,3,,,,,,,9,,,,,,4,,3,,,,58
"Tres Puntas","Azorella madreporica",41,"cushion","","",,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",42,"cushion","","",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",43,"cushion","","",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",55,"cushion","","",,,,,31,,,8,2,,1,,,,,,,,,1,,3,,,,,,,,58
"Tres Puntas","Azorella madreporica",56,"cushion","","",,,,,5,,,1,,,,,,,,,,,,3,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",57,"cushion","","",,,,,12,,1,,,,,,,1,,,,,,1,,,,1,,4,,,,58
"Tres Puntas","Azorella madreporica",58,"cushion","","",,,,,6,,1,1,,1,,,,,,,,2,,16,,,,,,6,,,,58
"Tres Puntas","Azorella madreporica",59,"cushion","","",1,,,,6,,,,5,,2,,,2,,,,1,,,,,,,,1,,,,58
"Tres Puntas","Azorella madreporica",60,"cushion","","",,,,,72,,1,,2,,,,,,,,,,,,,1,,1,,,,,,58
"Tres Puntas","Azorella madreporica",61,"cushion","","",,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",73,"cushion","","",,,,1,,,1,2,,,,,,,,,,,,,,,,,,1,,,,58
"Tres Puntas","Azorella madreporica",74,"cushion","","",,,,,9,,,,,,2,,,,,,,,,7,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",75,"cushion","","",,,,,41,,,,2,2,,,,,,,,,,3,,,,2,,,,,,58
"Tres Puntas","Azorella madreporica",76,"cushion","","",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",77,"cushion","","",,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",78,"cushion","","",,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",79,"cushion","","",,,,,32,,,3,,,,,,,,,,,,1,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",91,"cushion","","",1,,,,115,,3,2,5,1,2,,1,,,,,1,,6,,,2,,,1,,,,58
"Tres Puntas","Azorella madreporica",92,"cushion","","",,,,,64,,4,17,4,,1,,,,1,,,3,,3,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",93,"cushion","","",,,,,21,,,,,,,,,,,,,,,,,,,,1,,,,,58
"Tres Puntas","Azorella madreporica",94,"cushion","","",,,,,53,,,1,4,,,,,2,,,,,,1,,,,3,,,,,,58
"Tres Puntas","Azorella madreporica",95,"cushion","","",,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",96,"cushion","","",,,,,97,,3,4,5,,3,,,,,,,9,,,,,,4,,3,,,,58
"Tres Puntas","Azorella madreporica",97,"cushion","","",,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",98,"cushion","","",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",99,"cushion","","",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",9,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",28,"open","","",,,,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,58
"Tres Puntas","Azorella madreporica",47,"open","","",,,,,,2,,,5,,,,,,,,,,,,1,,,,,,,,,58
"Tres Puntas","Azorella madreporica",66,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",85,"open","","",,,,,,,1,,,,,,,,,1,,,,6,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",86,"open","","",,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,2,,58
"Tres Puntas","Azorella madreporica",87,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",88,"open","","",,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",89,"open","","",1,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",90,"open","","",,,,,,,,,,,,2,,,,,,,,7,1,,,,,,,,,58
"Tres Puntas","Azorella madreporica",91,"open","","",,,,,,1,,,1,,4,,,,,1,,,,1,1,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",92,"open","","",,,,,,,,,2,,1,,,,,1,,,1,,,,,,,,2,,,58
"Tres Puntas","Azorella madreporica",93,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",94,"open","","",,,,,5,1,,,,,1,3,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",95,"open","","",,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",96,"open","","",,,,,23,,,,3,,1,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",97,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",98,"open","","",,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",99,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",100,"open","","",,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",8,"cushion","","",1,,,,54,,,1,3,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",9,"cushion","","",1,,,,,,,,2,1,1,,,,,,,,,9,,,,,1,,,,,58
"Tres Puntas","Azorella madreporica",10,"cushion","","",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",11,"cushion","","",,,,,28,,,16,5,,1,,,,,,,,,,,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",12,"cushion","","",69,,,,,,,,4,1,,,,,,,,1,,6,,,,4,,,,,,58
"Tres Puntas","Azorella madreporica",13,"cushion","","",,,,,2,,,,2,,2,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",14,"cushion","","",,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",15,"cushion","","",3,,,,45,,,,4,,1,,,,,,,,,3,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",16,"cushion","","",,,1,,5,,,1,6,,3,,,,2,,,2,,,,,1,2,1,,,1,,58
"Tres Puntas","Azorella madreporica",17,"cushion","","",,,,,14,,,,,,,,,,,,,,,3,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",18,"cushion","","",,,,,27,,,,,,1,,,,,,,,,14,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",26,"cushion","","",,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",27,"cushion","","",,,,,46,,,,,,1,,,,,,,,,,,,,1,1,,,,,58
"Tres Puntas","Azorella madreporica",28,"cushion","","",1,,,,38,,,,2,,,,,,,,3,,,5,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",29,"cushion","","",,,,,17,,,,2,,1,,,1,,,,,,6,,,,1,1,,,,,58
"Tres Puntas","Azorella madreporica",30,"cushion","","",,1,1,,76,,,2,2,,2,,,3,,,,,,27,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",31,"cushion","","",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",32,"cushion","","",,,,,33,,1,,4,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",33,"cushion","","",,,,,39,,,,1,,,,,,,,,,,,,,,,1,,,,,58
"Tres Puntas","Azorella madreporica",34,"cushion","","",,,,,,,1,,,,1,,,,,,,,,9,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",35,"cushion","","",1,1,,,115,,3,2,5,1,2,,1,,,,,1,,6,,,2,,1,1,,,,58
"Tres Puntas","Azorella madreporica",36,"cushion","","",,,,,64,,4,17,4,,1,,,,1,,,3,,3,,1,,,1,,,,1,58
"Tres Puntas","Azorella madreporica",44,"cushion","","",,,,,14,,,,3,,,,,,,,,,,6,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",45,"cushion","","",,,,,37,,,,6,,,,,,,,,,,2,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",46,"cushion","","",1,,,,,,,,4,,1,,,,1,,,,,3,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",47,"cushion","","",,1,,,,,5,2,2,,,,,,,,,3,,28,,,,,1,,,,,58
"Tres Puntas","Azorella madreporica",48,"cushion","","",,,,,16,,2,3,12,,1,,,,1,,,,,,,,,2,1,,,,,58
"Tres Puntas","Azorella madreporica",49,"cushion","","",,,,,,,1,6,4,,,,,,,,,,,,,,,1,1,4,,,,58
"Tres Puntas","Azorella madreporica",50,"cushion","","",,,,,3,,1,,,,,,,,,,,,,,,,,2,,11,,,,58
"Tres Puntas","Azorella madreporica",51,"cushion","","",,,,,17,,,,1,,1,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",52,"cushion","","",,,,,24,,,,2,,,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",53,"cushion","","",,,,,33,,,2,2,,1,,,,,,,4,,,,1,,1,,,,,,58
"Tres Puntas","Azorella madreporica",54,"cushion","","",,,,,23,,1,6,2,,,,,,,,,,,,,2,,2,,1,,,,58
"Tres Puntas","Azorella madreporica",62,"cushion","","",,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",63,"cushion","","",,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",64,"cushion","","",,,,,4,,,,,,,,,,,,,,,5,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",65,"cushion","","",,,,,11,,,,1,,,,,,,,,,,3,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",66,"cushion","","",,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",67,"cushion","","",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",68,"cushion","","",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",69,"cushion","","",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",70,"cushion","","",,,,,17,,,,1,,,,,,,,,,,1,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",71,"cushion","","",,,,,19,,,2,,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",72,"cushion","","",,,,,36,,,,2,,,,1,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",80,"cushion","","",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",81,"cushion","","",,,,,21,,,2,,,2,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",82,"cushion","","",,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,58
"Tres Puntas","Azorella madreporica",83,"cushion","","",,,,,46,,,,,,1,,,,,,,,,,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",84,"cushion","","",1,,,,38,,,,2,,,,,,,,3,,,5,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",85,"cushion","","",,,,,17,,,,2,,1,,,1,,,,,,6,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",86,"cushion","","",,,1,,76,,,2,2,,2,,,3,,,,,,27,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",87,"cushion","","",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",88,"cushion","","",,,,,33,,1,,4,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",89,"cushion","","",,,,,39,,,,1,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",90,"cushion","","",,,,1,,,1,,,,1,,,,,,,,,9,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",100,"cushion","","",,,,,14,,,,3,,,,,,,,,,,6,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",1,"open","","",,,,,,,,,3,,2,2,,,,,,,1,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",2,"open","","",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",3,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",4,"open","","",,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",5,"open","","",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",6,"open","","",,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",7,"open","","",1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",8,"open","","",,,,,,,,,4,,2,,,,,,,,,,,,,1,,,,,,58
"Tres Puntas","Azorella madreporica",10,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",11,"open","","",,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",12,"open","","",,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,58
"Tres Puntas","Azorella madreporica",13,"open","","",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",14,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",15,"open","","",,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,6,,58
"Tres Puntas","Azorella madreporica",16,"open","","",,,,,,,1,,2,,4,1,,,,,,,1,,2,,,,,,,3,,58
"Tres Puntas","Azorella madreporica",17,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",18,"open","","",,,,,,1,,,3,,3,,,,,,,,,,,,,,,,,6,,58
"Tres Puntas","Azorella madreporica",19,"open","","",,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",20,"open","","",,,,,,2,,,2,,1,,1,,,,,,,,,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",21,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",22,"open","","",,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",23,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",24,"open","","",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,58
"Tres Puntas","Azorella madreporica",25,"open","","",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",26,"open","","",,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",27,"open","","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,58
"Tres Puntas","Azorella madreporica",29,"open","","",,,,,,,1,,,,,,,,,1,,,,6,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",30,"open","","",,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,2,,58
"Tres Puntas","Azorella madreporica",31,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",32,"open","","",,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",33,"open","","",1,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",34,"open","","",,,,,,,,,,,,2,,,,,,,,7,1,,,,,,,,,58
"Tres Puntas","Azorella madreporica",35,"open","","",,,,,,1,,,1,,4,,,,,1,,,,1,1,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",36,"open","","",,,,,,,,,2,,1,,,,,1,,,1,,,,,,,,2,,,58
"Tres Puntas","Azorella madreporica",37,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",38,"open","","",,,,,5,1,,,,,1,3,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",39,"open","","",,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",40,"open","","",,,,,23,,,,3,,1,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",41,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",42,"open","","",,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",43,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",44,"open","","",,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",45,"open","","",,,,,,2,,,3,,1,1,,,,,,,,,,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",46,"open","","",,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",48,"open","","",,,,,,4,,,4,,2,1,,,,,,,,,,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",49,"open","","",,,,,,6,,,3,,1,,,,,,,,,,1,,,,,,,,1,58
"Tres Puntas","Azorella madreporica",50,"open","","",,,,,,5,,,3,,1,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",51,"open","","",,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",52,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",53,"open","","",,,,,2,,,,5,,1,,,,,,,,,,,1,,,,,,,,58
"Tres Puntas","Azorella madreporica",54,"open","","",,,,,,1,,,3,,,2,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",55,"open","","",,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",56,"open","","",,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,58
"Tres Puntas","Azorella madreporica",57,"open","","",,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",58,"open","","",,,,,5,2,,,3,,,,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",59,"open","","",,,,,,3,,,2,,1,1,,,,,,,,,,,,,,,,,,58
"Tres Puntas","Azorella madreporica",60,"open","","",,,,,,3,,,2,,1,,1,,,,,,,,,,,,,,,,,58
