site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Adesmia echinus,Adesmia sp 2,Adesmia subterranea,Azorella madreporica,Calandrinia caespitosa,Calandrinia sp,Carex sp,Cerastium arvense,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Crucifera,Erigeron andicola,Gayophytum micranthum,Hordeum comosum,Jarava chrysophylla,Kurzamra pulchella,Menonvillea sp,Montiopsis copiapina,Nassauvia cumingii,Olsynium junceum,Oxalis sp,Phacelia secunda,Poa holciformis,Senecio sp,Trisetum oreophilum,Viola montagnei,Viola philippii,dataset code
"Elqui","Azorella madreporica",1,"cushion","","",,1,,,,3,,,,,,1,,1,,,,,3,,,,1,,1,,,60
"Elqui","Azorella madreporica",2,"cushion","","",,,,,,,,,,,1,,,1,,,,,2,,,,,,1,,,60
"Elqui","Azorella madreporica",3,"cushion","","",,,,,,,,,,,,,,,,,,,1,,,,,,3,,,60
"Elqui","Azorella madreporica",4,"cushion","","",,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,60
"Elqui","Azorella madreporica",5,"cushion","","",1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,60
"Elqui","Azorella madreporica",6,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",7,"cushion","","",,,,,,,,,,,,,,,,,,,3,,,,,,,,,60
"Elqui","Azorella madreporica",21,"cushion","","",,,,,,,,,,,2,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",22,"cushion","","",,,1,,,1,,,,,,,,,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",23,"cushion","","",,,,,,,1,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",24,"cushion","","",,,,,,,1,2,,,,,,1,,1,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",25,"cushion","","",,,,,,,,,,,,,,,,1,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",26,"cushion","","",,,,,1,,,,,,,3,,,,1,,,4,,,,3,,,,,60
"Elqui","Azorella madreporica",27,"cushion","","",1,,,,1,1,1,,,,1,3,,1,,1,,,3,,,,1,,,,,60
"Elqui","Azorella madreporica",41,"cushion","","",,,1,,,,,,,,1,,,1,,1,,,,,,,7,,,,,60
"Elqui","Azorella madreporica",42,"cushion","","",,,,,,2,,,,,,,,1,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",43,"cushion","","",,,1,,,,,,,,2,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",44,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",45,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",46,"cushion","","",,,,,,,,,,1,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",47,"cushion","","",,,,,,,,,,8,,1,,1,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",61,"cushion","","",,,,,,,,,,,2,1,,,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",62,"cushion","","",,,,,,,,,,2,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",63,"cushion","","",,,1,,,,,,,,1,,,1,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",64,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",65,"cushion","","",,,1,,,1,,,,,4,1,,1,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",66,"cushion","","",,,1,,,,,,,,3,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",67,"cushion","","",,,,,,,,,,,,,,1,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",81,"cushion","","",,,,,,,5,,,,1,,,1,,,,,1,,,,1,,,,,60
"Elqui","Azorella madreporica",82,"cushion","","",,,,,,,,2,,,,,,,,1,,,,,,,,,,,,60
"Elqui","Azorella madreporica",83,"cushion","","",,,,,,,,,,,,,,,,,,,1,,,,,,3,,,60
"Elqui","Azorella madreporica",84,"cushion","","",,,,,,,,,,,,,,1,,,,,4,,,,,,4,,,60
"Elqui","Azorella madreporica",85,"cushion","","",,,,,,,,,,,1,,,,,,,,2,,,,,,,,,60
"Elqui","Azorella madreporica",86,"cushion","","",,,,,,,,3,,,,1,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",87,"cushion","","",,,,,,,1,1,,,,4,,1,,1,,,3,,,,2,,,,,60
"Elqui","Azorella madreporica",1,"open","","",,,,,,,,,,2,,,,,,,,,1,,,,,,,,,60
"Elqui","Azorella madreporica",2,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,1,,,60
"Elqui","Azorella madreporica",22,"open","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",23,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",43,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",44,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",64,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",65,"open","","",,,,,,,,,,9,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",85,"open","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",86,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",87,"open","","",,,,,,,,,,,,,,,,,,,1,,,,1,,,,,60
"Elqui","Azorella madreporica",88,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",89,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",90,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",91,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",92,"open","","",,,,,,,,,,5,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",93,"open","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,1,60
"Elqui","Azorella madreporica",94,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",95,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",96,"open","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",97,"open","","",,,,,,,,,,1,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",98,"open","","",,,,,,,,,,2,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",99,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",100,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",8,"cushion","","",,,,,,1,,,,,,,,,,,,,2,,,,4,,,,,60
"Elqui","Azorella madreporica",9,"cushion","","",,,1,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",10,"cushion","","",,,,,,,,,,,2,1,,,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",11,"cushion","","",,,,,,,,,,2,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",12,"cushion","","",,,1,,,,,,,,1,,,1,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",13,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",14,"cushion","","",1,1,1,,,,,,,,4,1,,1,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",15,"cushion","","",,,1,,,,,,,,3,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",16,"cushion","","",,,,,,,,,,,,,,1,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",17,"cushion","","",,,,,,,,,,,3,,,,,1,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",18,"cushion","","",,,,,,,,,,,3,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",19,"cushion","","",,,,,,,,,,5,1,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",20,"cushion","","",,,,,,2,,,,,,1,,1,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",28,"cushion","","",,,,,,,2,,,,1,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",29,"cushion","","",,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,60
"Elqui","Azorella madreporica",30,"cushion","","",1,,,,,,5,,,,1,,,1,,,,,1,,,,1,,,,,60
"Elqui","Azorella madreporica",31,"cushion","","",,1,,,,,,2,,,,,,,,1,,,,,,,,,,,,60
"Elqui","Azorella madreporica",32,"cushion","","",,,,,,,,,,,,,,,,,,,1,,,,,,3,,,60
"Elqui","Azorella madreporica",33,"cushion","","",,,,,,1,,,,,,,,1,,,,,4,,,,,,4,,,60
"Elqui","Azorella madreporica",34,"cushion","","",,,,,,,,,,,1,,,,,,,,2,,,,,,,,,60
"Elqui","Azorella madreporica",35,"cushion","","",,,,,,,,3,,,,1,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",36,"cushion","","",,,,,,,1,1,,,,4,,1,,1,,,3,,,,2,,,,,60
"Elqui","Azorella madreporica",37,"cushion","","",,,,,,,,,,,1,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",38,"cushion","","",,,,,,,1,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",39,"cushion","","",,,1,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",40,"cushion","","",,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,60
"Elqui","Azorella madreporica",48,"cushion","","",,,1,,,,1,,,,1,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",49,"cushion","","",,,,,,,,,,,1,,,,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",50,"cushion","","",,,,,1,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",51,"cushion","","",,,1,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",52,"cushion","","",,,,,,,,,,,2,,,,,,,,,,,,5,,1,,,60
"Elqui","Azorella madreporica",53,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",54,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",55,"cushion","","",,,,,,1,,,,,,,,1,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",56,"cushion","","",,,1,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",57,"cushion","","",,,,,,,1,,,,,,,,,1,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",58,"cushion","","",,,,,,,1,,,,1,1,,,,,,,,,,,,,1,,,60
"Elqui","Azorella madreporica",59,"cushion","","",,,,,,,2,,,,1,3,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",60,"cushion","","",,,,,,,,,,,,,,,,,,,2,,,,1,,,,,60
"Elqui","Azorella madreporica",68,"cushion","","",,,,,,,,,,,3,,,,,1,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",69,"cushion","","",,,,,,,,,,,3,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",70,"cushion","","",,,,,,,,,,5,1,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",71,"cushion","","",,,,,,,,,,,,1,,1,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",72,"cushion","","",,,,,,,,,,,2,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",73,"cushion","","",,,1,,,,,,,,,,,,,,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",74,"cushion","","",,,,,,,1,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",75,"cushion","","",,,,,,,1,2,,,,,,1,,1,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",76,"cushion","","",,,,,,,,,,,,,,,,1,,,,,,,3,,,,,60
"Elqui","Azorella madreporica",77,"cushion","","",,,,,1,,,,,,,3,,,,1,,,4,,,,3,,,,,60
"Elqui","Azorella madreporica",78,"cushion","","",,,,,1,,1,,,,1,3,,1,,1,,,3,,,,1,,,,,60
"Elqui","Azorella madreporica",79,"cushion","","",,,,,,,2,,,,1,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",80,"cushion","","",,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,60
"Elqui","Azorella madreporica",88,"cushion","","",,,,,,,,,,,1,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",89,"cushion","","",,,,,,,1,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",90,"cushion","","",,,1,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",91,"cushion","","",,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,60
"Elqui","Azorella madreporica",92,"cushion","","",,,1,,,,,,,,1,,,1,,1,,,,,,,7,,,,,60
"Elqui","Azorella madreporica",93,"cushion","","",,,,,,,,,,,,,,1,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",94,"cushion","","",,,1,,,,,,,,2,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",95,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",96,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",97,"cushion","","",,,,,,,,,,1,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",98,"cushion","","",1,,,,,,,,,8,,1,,1,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",99,"cushion","","",,,1,,,,1,,,,1,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",100,"cushion","","",,,,,,,,,,,1,,,,,,,,,,,,4,,,,,60
"Elqui","Azorella madreporica",3,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",4,"open","","",,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,60
"Elqui","Azorella madreporica",5,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",6,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",7,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,1,60
"Elqui","Azorella madreporica",8,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",9,"open","","",,,,,,,,,,,,,,,,,,,1,,,,,,,,1,60
"Elqui","Azorella madreporica",10,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",11,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,1,60
"Elqui","Azorella madreporica",12,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",13,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",14,"open","","",,,,,,,,,,9,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",15,"open","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",16,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",17,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",18,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",19,"open","","",,,,,,,,,,3,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",20,"open","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",21,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Elqui","Azorella madreporica",24,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,60
"Elqui","Azorella madreporica",25,"open","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,60
"Elqui","Azorella madreporica",26,"open","","",,,,,,,,,,2,,,,,,,,,1,,,,,,,,,60
"Elqui","Azorella madreporica",27,"open","","",,,,,,,,,,,,,,,,,,,1,,,,,,,,,60
