site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Laretia_acaulis",1,"cushion","","",,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,5,5,,,,4,,,,4,,2,,,,,1,,,3,,1,1,,,,61
"Valle Nevado","Laretia_acaulis",2,"cushion","","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",3,"cushion","","",1,,,,,,,,,,,,,,,,,,,,2,,,,,1,3,,,,2,,,,,1,,,,3,,,,,,,,,,,,1,2,,,,61
"Valle Nevado","Laretia_acaulis",4,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,,61
"Valle Nevado","Laretia_acaulis",5,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",6,"cushion","","",,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",7,"cushion","","",,,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",8,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,2,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",9,"cushion","","",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",10,"cushion","","",,,,,,,,,,,,4,,,,,,,,2,4,,,,,,,,,,6,3,,,1,2,,,,3,,,,,,,,,,,,2,2,1,,,61
