site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Arenaria,Astralagus purshii var lectulus,Carex,Cryptantha nubigena,Draba oligosperma,Erigeron,Erigonum,Poa,Saxifraga,dataset code
"White Mtns_Phlox condensata","Phlox condensata",1,"cushion",18,14.5,,2,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",1,"open",18,14.5,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",2,"cushion",15,11,,,,,1,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",2,"open",15,11,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",13,"cushion",12,7,,,,,,,,1,,62
"White Mtns_Phlox condensata","Phlox condensata",13,"open",12,7,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",14,"cushion",7,8,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",16,"cushion",18,17,,,,,,,,,1,62
"White Mtns_Phlox condensata","Phlox condensata",25,"open",16,14,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",26,"cushion",26,14,,1,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",27,"open",21,14,1,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",30,"open",35,22,,,,,,,,3,,62
"White Mtns_Phlox condensata","Phlox condensata",37,"cushion",18,8,,,1,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",37,"open",18,8,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",38,"cushion",13,11,,,1,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",39,"cushion",15,15,,,,,,1,,,,62
"White Mtns_Phlox condensata","Phlox condensata",49,"open",14,15,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",50,"cushion",13,12,,1,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",50,"open",13,12,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",51,"cushion",16,9,,,1,,,,,,1,62
"White Mtns_Phlox condensata","Phlox condensata",61,"cushion",23,16,,,,,,1,,,,62
"White Mtns_Phlox condensata","Phlox condensata",61,"open",23,16,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",62,"cushion",10,10,,,1,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",62,"open",10,10,,,,,,,,,,62
"White Mtns_Phlox condensata","Phlox condensata",73,"open",11,7,,,,,,,,,,62
