site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Arenaria,Astralagus purshii var lectulus,Carex,Caryo,Cholerea,Cryptantha nubigena,Draba oligosperma,Erigeron,Erigonum,Leontodon,Linum,Phlox,Poa,Potentilla morefieldii,Saxifrag,dataset code
"White Mtns Townsendia leptotes","Townsendia leptotes",1,"cushion",32,23,,,3,,,,,2,,,,4,1,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",1,"open",32,23,,,,,,,,2,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",2,"cushion",35,38,,,,,,,,1,,,,7,3,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",11,"cushion",22,18,,,1,,,,,,,,,,,2,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",11,"open",22,18,,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",12,"cushion",19,14,,,,,8,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",21,"cushion",12,11,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",21,"open",12,11,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",22,"cushion",9,13,,,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",31,"cushion",30,20,,2,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",31,"open",30,20,,1,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",32,"cushion",35,32,,1,,,,,,,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",41,"open",24,20,1,,,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",42,"cushion",13,9,,,,,,1,,,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",42,"open",13,9,1,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",51,"cushion",39,33,,,,,,,,2,,,,2,4,4,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",51,"open",39,33,,,,,,,,,,,,1,5,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",52,"cushion",21,16,,1,,,1,1,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",61,"cushion",20,20,,,,,,,,1,,,,,,,,63
