site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena,Acaena big,Adesmia,Asteraceae open,Azorella lycopoideodes,Calceolarea,Empetrum,Epilobium,Erigeron,Festuca,Haplopappus,Lathyrus,Lotus,Luzula,moustache,Nasauvia soft,Nasuvia hairy,Nasuvia teeth,Oxalis,Perezia,Saxifrage red,Saxifrage yellow,Senecio falso,Thlapsi,Trisetum,moss,dataset code
"Torres del Paine","Azorella_monantha",96,"cushion",55,55,,,,,,,,,,2,,,,,,,1,,,4,,,,,,,64
"Torres del Paine","Azorella_monantha",97,"cushion",50,25,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,64
"Torres del Paine","Azorella_monantha",98,"cushion",40,35,,,,,,,,,,,,,1,,,,1,1,1,3,,,,,1,,64
"Torres del Paine","Azorella_monantha",12,"open",35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",13,"open",30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",14,"open",40,30,,,,,,,,,,,,,,,,,,,4,,,,,,,,64
"Torres del Paine","Azorella_monantha",15,"open",35,40,,,,,,2,,,,,,,,,,,,,,,,,1,,,,64
"Torres del Paine","Azorella_monantha",16,"open",35,25,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,64
"Torres del Paine","Azorella_monantha",31,"open",35,35,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",32,"open",60,65,,,,,,,,,,,,,1,,,,1,1,5,16,,,,,,,64
"Torres del Paine","Azorella_monantha",33,"open",30,30,,,,,,,,,,,,,,,,1,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",34,"open",25,40,,,,,,,,,,,,,,,,1,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",35,"open",35,30,2,,,,,,,,,,,,,,,2,,,2,,,,,,,,64
"Torres del Paine","Azorella_monantha",50,"open",20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",51,"open",40,35,,,,,,,,,,,,,,,,1,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",52,"open",40,35,,1,,,,,,,,,,,2,,,8,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",53,"open",20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",54,"open",30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",69,"open",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",70,"open",45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",71,"open",30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",72,"open",40,35,,,,,,,,,,,,,,,,1,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",73,"open",30,20,,,,,,,,,,,,,,,,,,,2,2,,,,,,,64
"Torres del Paine","Azorella_monantha",88,"open",40,40,,,,,,,,,,,,,1,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",89,"open",20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",90,"open",35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",91,"open",30,30,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",92,"open",45,35,,,,,,,,,,,,1,,,,,,,4,,,,,,,,64
"Torres del Paine","Azorella_monantha",93,"open",35,35,,,,,,,,,,,,,1,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",94,"open",20,25,,,,,,,,,,2,,,,,,,,,2,,,,,,,,64
"Torres del Paine","Azorella_monantha",95,"open",25,25,,,,,,,,,,,,,,,,,1,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",96,"open",55,55,,,,,,,,,,,,,1,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",97,"open",50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",98,"open",40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",99,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",100,"open",45,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",101,"open",50,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",102,"open",45,40,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",103,"open",45,35,,,,,,,,,,,,,,,,1,,2,,,,,,,,,64
"Torres del Paine","Azorella_monantha",1,"cushion",25,25,,,,,1,,,,,2,,,,2,,,,,,,,,1,,,,64
"Torres del Paine","Azorella_monantha",2,"cushion",30,35,4,,,,1,4,,,1,,,,,4,,1,,,1,4,,,1,,,,64
"Torres del Paine","Azorella_monantha",3,"cushion",40,40,3,,,,,,1,,30,2,,,,,,,,,,,,,,,2,,64
"Torres del Paine","Azorella_monantha",4,"cushion",35,30,3,,,,,1,,,1,9,,,,,,2,,,2,3,,,,,,,64
"Torres del Paine","Azorella_monantha",5,"cushion",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",6,"cushion",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",7,"cushion",40,30,5,,,,,,,,,2,,,,,,,,,1,2,,,,,,,64
"Torres del Paine","Azorella_monantha",8,"cushion",40,40,2,,,,,,1,,,1,,1,,,,1,,,2,9,,,,,1,,64
"Torres del Paine","Azorella_monantha",9,"cushion",20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",10,"cushion",25,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",11,"cushion",50,30,1,,,,1,,,,,1,,,,,,5,,,4,,,,,,2,,64
"Torres del Paine","Azorella_monantha",12,"cushion",35,30,,,,,,,,,,1,,,,,,,,,3,6,,,,,,,64
"Torres del Paine","Azorella_monantha",13,"cushion",30,25,1,,,,,,,,,,,,1,,,,,,1,2,,,,,,,64
"Torres del Paine","Azorella_monantha",14,"cushion",40,30,,,,,,,,,1,1,,,,,,,,,2,10,,,,,,,64
"Torres del Paine","Azorella_monantha",15,"cushion",35,40,,,,,,,,,,,,,,,,,,,5,,,,,,,,64
"Torres del Paine","Azorella_monantha",16,"cushion",35,25,,,,,,,,,,2,,,,,,,1,,,,,,,3,,,64
"Torres del Paine","Azorella_monantha",17,"cushion",50,40,,,,,,,,,,3,,,1,,,,,2,,,,,,,1,,64
"Torres del Paine","Azorella_monantha",18,"cushion",30,40,,,,,,3,,,,,,13,,,,,,,,1,,,,,4,,64
"Torres del Paine","Azorella_monantha",19,"cushion",30,25,1,,,,,,,,,,,,,,,,,,,3,,,,,,,64
"Torres del Paine","Azorella_monantha",20,"cushion",30,30,,,,,,,,,,1,,,,,,,,1,,,,,,,,,64
"Torres del Paine","Azorella_monantha",21,"cushion",75,35,8,,,,,,,,,4,,,,,,,1,6,,2,,,1,,1,,64
"Torres del Paine","Azorella_monantha",22,"cushion",40,40,,,,,,3,,,,3,,,,,,,,,,7,,,,,4,,64
"Torres del Paine","Azorella_monantha",23,"cushion",45,45,3,,,,,5,,,,5,,,,,,,,,3,,,,,,,,64
"Torres del Paine","Azorella_monantha",24,"cushion",30,30,,,,,,,,,,1,,,,,,,1,,1,2,,,,,5,,64
"Torres del Paine","Azorella_monantha",25,"cushion",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",26,"cushion",30,30,,,,,,,,,,,,,,,1,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",27,"cushion",35,30,,,,,,,,,,,,1,,,,1,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",28,"cushion",15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",29,"cushion",25,25,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",30,"cushion",50,50,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,64
"Torres del Paine","Azorella_monantha",31,"cushion",35,35,2,,,,,,,,1,4,,,,,,,5,1,5,2,,,,,1,,64
"Torres del Paine","Azorella_monantha",32,"cushion",60,65,3,,,,,,,,,3,,,,3,,,,2,1,5,,,,,,,64
"Torres del Paine","Azorella_monantha",33,"cushion",30,30,1,,,,,,,,,2,,1,,,,1,,,2,,,,,,,,64
"Torres del Paine","Azorella_monantha",34,"cushion",25,40,1,,,,,,,,,3,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",35,"cushion",35,30,,,,,,,,,,3,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",36,"cushion",35,20,,,,,,,,,,2,1,,,,,1,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",37,"cushion",35,30,1,,,,,,,,1,,1,1,,,,4,,,,5,,,,,,,64
"Torres del Paine","Azorella_monantha",38,"cushion",35,40,,,,,,1,,,,6,3,1,,6,,,,,2,7,1,,,,,,64
