site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Achillea millefolium alpicola,Agoseris aurantiaca,Anemone occidentalia,Anenome drummondii,Antennaria alpina,Arabis nuttalii,Artemisia michauxiana,Astragalus alpinus,Bupleurum americanum,Carex geyeri,Cerastium arvense,Cirsium scariosum,Claytonia megarhiza,Cryptantha celosiodes,Danthonia intermedia,Epilobium angustifolium,Erigeron compositus,Eriogonum flavum,Eriophylum lantanum,Geum triflorum,Linum lewisii,Lomatium sandbergii,Mertensia longiflora,Minuartia obtusiloba,Oxyria digyna,Pedicularis bracteosa,Pedicularis parryi,Penstemon fruticosa,Phacelia lyallii,Phacelia sericea,Plantago eriopoda,Poa alpina,Polygonum viviparum,Potentilla diversifolia,Saxifraga occidentalis,Sedum lanceolatum,Sedum roseum,Senecio canus,Silene douglasii,Tiarella trifoliata,Tofieldia accidentalis,UNKNOWN1,UNKNOWN2,UNKNOWN3,UNKNOWN4,UNKNOWN5,UNKNOWN6,dataset code
"Two Medicine Glacier","Sibbaldia",2,"cushion",40,40,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,3,,3,1,,,9,,,,,6,,,,,65
"Two Medicine Glacier","Sibbaldia",3,"cushion",56,48,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,2,,5,,,,4,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",6,"cushion",45,69,27,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,3,1,,,65
"Two Medicine Glacier","Sibbaldia",8,"cushion",45,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,3,,,,65
"Two Medicine Glacier","Sibbaldia",10,"cushion",38,23,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",12,"cushion",80,65,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,15,,,,,,2,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",15,"cushion",48,55,,,,,,,,17,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",16,"cushion",41,55,28,,,,1,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,2,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",18,"cushion",42,33,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",21,"cushion",71,40,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,4,1,,,,,,,2,,,,,,,65
