Site,Cushion sp,sample,cushion/open,Flower #,Flower gender,diam1  (cm),diam 2 (cm),Notes,Anenome occidentalis (tiny anenome),Antennaria alpina,Carex spp,Bistorta vivipara,Cetraria cuculata,Draba oligosperma (ylw flower cushion),Grass spp,Lupinus arcticus,Masonhalea richardsonii (brown lichen),Moss,Pedicularis spp (Lousewort),Peltigera spp,Phyllodoce spp (Heather),Polemonium spp,Polytrichum spp,Potentilla spp (Cinquefoil),Rock lichen,Salix spp,Salix cascadensis (Salix 2),Saxifraga serpyllifolia (Yellow flower),Selaginella densa,Thamnolia spp,Saxifraga nelsoniana (Lobe leaf),Sedum spp (stonecrop),Saxifraga nivalis (Dandel),dataset code
"Cathedral Lake 1","Silene acaulis",1,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",2,"cushion","","",19.5,14,"",1,,,,,,7,,,,,,1,,,1,,1,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",3,"cushion","","",21,18.5,"",,,,,,,8,,,,,,,,,4,,9,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",4,"cushion","","",26,22.5,"",2,,1,,,,11,,,,,,1,,,2,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",4,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",12,"cushion","","",18.2,18,"",,1,4,,,,8,,,,,,1,1,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",12,"open","","",,,"",,,,,,,,,,,,,,,,,4,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",13,"open","","",,,"",,,6,,5,,,,1,,,,4,,,7,,5,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",14,"cushion","","",16.5,16.4,"",,,,1,,,2,,,,,,1,,,1,,6,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",15,"cushion","","",21.4,16.5,"",,,2,,,,5,,,,,,5,,,4,,10,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",16,"cushion","","",16.2,12.3,"",,,,,1,,3,,,,,,5,1,,2,,7,,1,,,,,,67
"Cathedral Lake 1","Silene acaulis",22,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",23,"cushion","","",20,14.5,"",,,12,,,,5,,,,,,,5,,,,,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",24,"cushion","","",26.3,20.2,"",,,3,,5,,20,,,,,,,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",24,"open","","",,,"",,1,5,,4,,5,,,,,,,1,,5,5,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",25,"open","","",,,"",,,,,,2,2,,,,,,,,,,3,,,,,,4,,,67
"Cathedral Lake 1","Silene acaulis",26,"cushion","","",20.7,20.5,"",,,2,,,,7,,,,,,,,,1,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",27,"cushion","","",22.5,17.6,"",,,1,,3,,10,,,,,,,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",28,"cushion","","",18.5,16.6,"",,,,2,4,,5,,,,,,3,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",28,"open","","",,,"",,,,,,,,,,,,,,,,,4,,,,,,,1,,67
"Cathedral Lake 1","Silene acaulis",33,"cushion","","",16,13.5,"",,,4,,,,3,,,,,,3,,,3,,15,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",33,"open","","",,,"",,,,,10,,10,,,,,,,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",34,"open","","",,,"",,,,,2,,2,,,,,,,1,,,3,10,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",35,"cushion","","",21.6,19.2,"",,,4,1,10,,2,,,,,,,1,,2,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",36,"cushion","","",30,25.6,"",,,2,,,,4,,,,,,,,,2,,3,,1,,,,,,67
"Cathedral Lake 1","Silene acaulis",36,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",37,"open","","",,,"",,,4,,5,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",38,"cushion","","",14.6,15.3,"",,1,,,,,5,,,,,,,,,3,,10,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",43,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",44,"cushion","","",30,18.2,"",,,8,,,,5,,,,,,,,,1,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",45,"cushion","","",26,16.5,"",,,8,,4,,10,,,,,,,,,5,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",45,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",46,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",47,"cushion","","",19.1,16.9,"",,,,,,3,,,,,,,,1,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",48,"cushion","","",36,32.5,"",,,,,,,10,,,,,,,,,2,,10,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",54,"cushion","","",23,18,"",,1,2,,8,,13,,,,,,,9,,5,,23,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",54,"open","","",,,"",,2,,,2,,5,,,1,,,,4,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",55,"open","","",,,"",,1,,,3,,2,,,,,,,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",56,"cushion","","",21.5,20.5,"",,,,,,,9,,,1,,,1,,,,,27,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",57,"cushion","","",19,16,"",,3,,,,,8,,,,,,,,,1,,6,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",58,"cushion","","",23,12,"",,1,,,,,7,,,,,,,,,2,,9,2,,,,,,,67
"Cathedral Lake 1","Silene acaulis",58,"open","","",,,"",,,,,,,,,,1,,,,,,,1,5,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",59,"open","","",,,"",,,,,1,,,,,1,,,,,,11,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",64,"cushion","","",33,29,"",,5,4,,,,25,,,,,,,1,,8,,5,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",65,"cushion","","",30,30,"",,3,,8,,4,23,,,1,,,1,12,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",65,"open","","",,,"",,,,,,,,,,,,,,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",66,"open","","",,,"",,,,,,,,,,,,,,,,,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",67,"cushion","","",30,32,"",2,3,,8,2,,22,,,,,,4,2,,2,,3,,,,,,,,67
