Site,Cushion species,Sample,cushion/open,Flower no,Flower gender,Diam 1 (cm),Diam 2 (cm),Notes,Anenome occidentalis (Tiny anenome),Antennaria alpina var media (White gentian),Arctostaphylos uva-ursi (Bearberry),Big Anenome,Bistorta vivipara,Cetraria cuculata (Leafy lichen),Draba oligosperma (ylw flowered cushion),Dryas octopetala,Erigeron spp (Red long),Grass,Green Lobe,Lupinus arcticus,Masonhalea richardsonii (Branch lichen),Moss,Myosotis alpestris (Forget me not),Pedicularis spp (lousewort),Polemonium pulcherrimum,Potentilla spp,Red Long,Rock Lichen,Salix cascadensis (Salix 2),Salix spp,Saxifraga bronchialis (Red saxifrage),Saxifraga nivalis (Dandel),Saxifraga serpyllifolia (Yellow flower),Sedum spp (stonecrop),Small gentian,White weed?,dataset code
"Red Mountain","Silene acaulis",1,"cushion",,"",11.5,11,"",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",2,"cushion",2,"f",35,31,"",,,,,,,,,,22,,1,,,6,,,6,,,,,,,,,,,69
"Red Mountain","Silene acaulis",3,"cushion",,"",33,12,"",,,,,1,1,,1,,14,,,,,,,,,,,,1,,,,,,,69
"Red Mountain","Silene acaulis",3,"open",,"",,,"",,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",4,"open",,"",,,"",,9,,,,6,,,,3,,5,,,,1,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",5,"cushion",51,"h",22,18.5,"",,,,,,1,,,,16,,,,,2,,1,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",6,"cushion",3,"h",16,9,"",,,,,,,,4,,7,,4,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",7,"cushion",1,"f",7,7,"",,,,,,,,3,,,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",7,"open",,"",,,"",,,,,,,,,,,,,2,,,,,2,,2,,,,,,,,,69
"Red Mountain","Silene acaulis",8,"open",,"",,,"",,,,,,,,,,3,,,1,,,,,,,3,,1,,,,,,,69
"Red Mountain","Silene acaulis",9,"cushion",27,"f",19,10,"",,,,,,,,,,13,,,,,5,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",10,"cushion",26,"f",18,17,"",,,,,,,,,,10,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",11,"open",,"",,,"",,,,,,2,,,,7,,,,,,,,5,,3,,,,,,3,,,69
"Red Mountain","Silene acaulis",12,"cushion",,"",27,19,"",,,,,,,2,,,14,,,1,,,,,,,,2,,,,,,,,69
"Red Mountain","Silene acaulis",12,"open",,"",,,"",,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",13,"open",,"",,,"",,,,,,,1,,,,,,,,,,1,,,1,1,,,,,,,,69
"Red Mountain","Silene acaulis",14,"open",,"",,,"",,,1,,,,,,,6,,,2,,,,,,,1,,,,,,,,,69
"Red Mountain","Silene acaulis",15,"cushion",28,"h",46,26,"",,,,,,,,,,25,,,3,,,,,4,,,7,,,,,1,,,69
"Red Mountain","Silene acaulis",16,"cushion",3,"h",31,28,"",,2,,,,,,,,24,,,,,,,,1,,,1,,,,,,,,69
"Red Mountain","Silene acaulis",16,"open",,"",,,"",,,,,,,,,,12,,,1,,1,,,2,,1,,,,,1,,,,69
"Red Mountain","Silene acaulis",21,"cushion",,"",8,10,"",,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,69
"Red Mountain","Silene acaulis",21,"open",,"",,,"",,,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,69
