"Site","Cushion species","cushion/open","Flower #","Flower gender","Diam 1 cm)","Diam 2 (cm)","Sphagnum spp (y= yes)","Moss (y= yes)","Pedicularis (Lousewort)","Notes","Sample","Bistorta vivipara","Cetraria cuc","Aconitum delphinifolium","Brown lichen","Carex spp","Cladonia spp","Cordalis possiflora","Dryas octapedala","Gentiana prostrata","Grass spp","Green brown lichen","Lupinus arcticus","Peltigera spp","Polytrichum spp","Rock lichen","Salix spp","Saxifraga tricuspidata","Thamnolia spp (worm lichen)","Woody potentilla","dataset code"
"Pink Mountains 1","Silene acaulis",,,,,25,"3331",,,,1,6,1,1,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,10,4,,2,,3,,,20,,1,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,11,4,,,,,,,12,,,,,,,1,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,12,4,,2,,1,,,1,,1,,,,,,4,,,,70
"Pink Mountains 1","Silene acaulis",,,,,24,,,,,13,2,,,,2,,,4,,1,,,,,,4,,,3,70
"Pink Mountains 1","Silene acaulis",,,,,30.1,,,,,14,3,,,,,,,5,,9,,5,,,,14,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,14,3,4,3,,,,2,,,,,,,,,,,10,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,15,,,3,,,,,10,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,21,10,,,,,,,,,,,,,,,,,3,,70
"Pink Mountains 1","Silene acaulis",,,,,21.3,,,,,22,6,,,,,,,6,,3,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,22,10,,8,,,,,4,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,23,5,10,4,,,,4,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,22.2,,,,,24,14,,5,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,9,,,,,25,,,,,,,,,,2,,,,,,,1,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,25,3,,,,,,,,,,,1,,,,3,,,,70
"Pink Mountains 1","Silene acaulis",,,,,16.5,,,,,26,4,,,,,,,12,,,,1,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,18.2,,,,,27,4,,,,,,,2,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,27,5,2,,,,,,10,,,,,,,,,,4,,70
"Pink Mountains 1","Silene acaulis",,,,,19,,,,,32,6,,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,32,10,,,,,,,10,,,,,,,,,,10,,70
"Pink Mountains 1","Silene acaulis",,,,,23,,,,,33,9,,2,,3,,,,,8,,1,,,,2,2,,1,70
"Pink Mountains 1","Silene acaulis",,,,,15.3,,,,,34,4,,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,34,10,10,,,,,,4,,,,,,,,,,8,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,35,2,,,,,2,,3,,,,,,,4,,,2,,70
"Pink Mountains 1","Silene acaulis",,,,,5.4,,,,,36,3,,,,,,,2,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,11.5,,,,,37,5,,1,,6,,,,,,,,,,,,,1,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,37,6,1,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,38,10,,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,9,,,,,39,4,,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,7.3,,,,,42,1,,,,7,,,,,,,,,,,,,,,70
