Site,Cushion species,Sample,cushion/open,Flower gender,Diam 1 (cm),Diam 2 (cm),Sphagnum spp (y= yes),Moss (y= yes),Notes,Flower #,Aconitum delphinifolium,Anenome spp,Bistorta vivipara,Brown lichen,Bryoria spp,Carex spp,Cetraria cuc,Cladina,Cladonia spp,Cloud lichen,Cordalis possiflora,Dryas octapedala,Grass spp,Lupinus arcticus,Peltigera spp,Rock lichen,Salix spp,Saxifraga spp,Saxifraga tricuspidata,Thamnolia spp (worm lichen),Woody potentilla,Polytrichum spp,Rock,dataset code
"Pink Mountains 2","Silene acaulis",1,"open","",,,"","","","",,,,,1,,,1,7,,,,,,,3,2,,,3,,7,,71
"Pink Mountains 2","Silene acaulis",2,"cushion","",-92559631349468685108960032336296063726075621803055105250951168,4.7,"","","","",,,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",3,"cushion","",,5.6,"","","","",,,,,,,,,,,,,,,,,,,,,,3,,71
"Pink Mountains 2","Silene acaulis",3,"open","",,,"","","","",,2,,,,,,,,,,,,,,,,,,,,3,,71
"Pink Mountains 2","Silene acaulis",5,"cushion","",,13.8,"","","","",,3,,,,4,1,,,,3,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",6,"cushion","",,19.5,"","","","",,1,,,,,,,,,,5,,,,,,,4,6,,6,,71
"Pink Mountains 2","Silene acaulis",6,"open","",,,"","","","",,,,,,,6,,,,7,6,,,,,,,,,,1,,71
"Pink Mountains 2","Silene acaulis",11,"open","",,,"","","","",,,,,,,,,4,,,,3,,,2,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",12,"open","",,,"","","","",,4,,,,,4,,,,,,,,,,4,,,,,,,71
"Pink Mountains 2","Silene acaulis",13,"cushion","",,9.5,"","","","",,,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",14,"open","",,,"","","","",,,,1,,8,4,1,,,,,,,,,,,,,,8,,71
"Pink Mountains 2","Silene acaulis",15,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,13,"","","","",,,,,,9,1,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",16,"open","",,,"","","","",,,,,,,,,,,,,,,,1,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",17,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,5.1,"","","","",,,,,,,,,,,,,,,,,1,,,,,,,71
"Pink Mountains 2","Silene acaulis",18,"cushion","",-92559631349468685108960032336296063726075621803055105250951168,12.4,"","","","",,4,,,,,,,,,,,,,2,,2,,,,,,,71
"Pink Mountains 2","Silene acaulis",33,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,8.5,"","","","",,,,,,,,,,,,,1,,,,,,,,,1,,71
"Pink Mountains 2","Silene acaulis",34,"open","",,,"","","","",,,,,,,,,,,,,,,,4,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",35,"cushion","",-92559631349468685108960032336296063726075621803055105250951168,10.4,"","","","",,3,,,,,,,,,,,9,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",36,"cushion","",-92559631349468662272996949040937966793500110611132923127005184,9.4,"","","","",,,,,,,,,,,,,4,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",37,"cushion","",,17.1,"","","","",,,,,,,,,,,,,3,,,,,,,,,7,,71
"Pink Mountains 2","Silene acaulis",37,"open","",,,"","","","",,,,,,,20,,,,,,10,,,,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",39,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235343736827313,22.1,"","","","",,1,,,,,,,,,1,,14,,,,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",40,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,17.4,"","","","",,,,,,,,,,,,,9,,,,1,,,,,5,,71
"Pink Mountains 2","Silene acaulis",44,"cushion","",,15.5,"","","","",,,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",45,"cushion","",-0,24.5,"","","","",,7,,,,,,,,,,,2,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",45,"open","",,,"","","","",,,,,,,,,,,,,,,,4,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",46,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000979054227435982,14.2,"","","","",,1,,,,,,,,,,,,,,,,3,,,,14,,71
"Pink Mountains 2","Silene acaulis",47,"cushion","",2.00000000000005,36.5,"","","","",,16,,,,,,,,,,,14,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",54,"open","",,,"","","","",,,,,,,5,,,,,,3,,,,4,,,,,,1,71
"Pink Mountains 2","Silene acaulis",55,"open","",,,"","","","",,,,,,,10,1,,,,,10,,,,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",56,"cushion","",,28.1,"","","","",,8,,,,,,,,,,,15,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",57,"open","",,,"","","","",,,,1,,,,,10,,,,,,,,,,,1,,,1,71
"Pink Mountains 2","Silene acaulis",58,"cushion","",,18.1,"","","","",,,,,,,,,,,,,5,,,,,,,,2,,,71
"Pink Mountains 2","Silene acaulis",59,"cushion","",,21.6,"","","","",,,,,,,,,,,,,4,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",60,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000466726145838462,24.2,"","","","",,1,,,,,,,,,3,,10,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",61,"open","",,,"","","","",,,,,,,10,1,,,,,2,,,,,,,,,7,,71
"Pink Mountains 2","Silene acaulis",62,"cushion","",-92559631349468662272996949040937966793500110611132923127005184,7.2,"","","","",,,,,,,,,,,,,,,,,1,,,,,,,71
"Pink Mountains 2","Silene acaulis",66,"open","",,,"","","","",,,,,,,,,,,,,6,,,,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",67,"cushion","",,13.6,"","","","",,2,,,,,,,,,,,,,,,,,,,,5,,71
"Pink Mountains 2","Silene acaulis",67,"open","",,,"","","","",,,,,,,,1,,,,,,,,3,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",68,"open","",,,"","","","",,3,,4,,,,,,,,,4,,,3,,,,,,,,71
"Pink Mountains 2","Silene acaulis",69,"open","",,,"","","","",,,,1,,,,1,,,,,5,,,,,,,,,5,,71
"Pink Mountains 2","Silene acaulis",70,"open","",,,"","","","",,,,,,,5,,,,,,,,,,2,,,,,,,71
"Pink Mountains 2","Silene acaulis",1,"cushion","",190359856624741010822371930241816212941074684624973063836012287721736043078273977036678049104758099157769305755998627917024987984247762515621002453945519050353640261333180104327007567872,7.6,"","","","",,1,,,,,,,,,,,,,,,,,,,,1,,71
"Pink Mountains 2","Silene acaulis",2,"open","",,,"","","","",,,,,,,3,1,,,,,,,2,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",4,"cushion","",,5.5,"","","","",,,,,,,,,,,,,,,,,2,,,,,,,71
"Pink Mountains 2","Silene acaulis",4,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",5,"open","",,,"","","","",,2,,,,,,1,3,,,,,,,,,,,,,4,1,71
"Pink Mountains 2","Silene acaulis",7,"cushion","",,12.5,"","","","",,,4,,,10,,,,,,,,,,,3,,,,,4,,71
"Pink Mountains 2","Silene acaulis",7,"open","",,,"","","","",,,,,1,,,1,,,,,,,,,8,,,,,,,71
"Pink Mountains 2","Silene acaulis",8,"cushion","",,9.5,"","","","",,,1,,,4,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",8,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",9,"cushion","",,29.8,"","6","","",,1,6,,,,,,,,,,1,,1,,3,,,,,,,71
"Pink Mountains 2","Silene acaulis",9,"open","",,,"","","","",,,,,,,,1,,,,,,,,3,2,,,4,,,,71
"Pink Mountains 2","Silene acaulis",10,"cushion","",,13,"","","","",,1,,,,,,,,,,,,,,,,,,,,4,,71
"Pink Mountains 2","Silene acaulis",10,"open","",,,"","","","",,4,,,,,,,,,,,,,,,,,,,,4,,71
"Pink Mountains 2","Silene acaulis",11,"cushion","",-92559631349468662272996949040937966793500110611132923127005184,8.4,"","","","",,,1,,,1,,,,,,,,,,,1,,,,,,,71
"Pink Mountains 2","Silene acaulis",12,"cushion","",,12,"","","","",,,,,,1,,,,,,,,,,,4,,,,,12,,71
"Pink Mountains 2","Silene acaulis",13,"open","",,,"","","","",,,,,,,,1,,,,,,,,,,,,,,1,1,71
"Pink Mountains 2","Silene acaulis",14,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000466726145838462,17.2,"","","","",,1,,,,3,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",15,"open","",,,"","","","",,,,,,4,,,7,,,,,,,,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",16,"cushion","",,8,"","","","",,2,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",17,"open","",,,"","","","",,,,,,,,,4,,,,,,,,1,,,,,5,,71
"Pink Mountains 2","Silene acaulis",18,"open","",,,"","","","",,,,,,,,1,6,,,,,,,5,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",19,"cushion","",,5,"","","","",,,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",19,"open","",,,"","","","",,,,,,,,,,,,,,,2,3,,,,,,4,,71
"Pink Mountains 2","Silene acaulis",20,"cushion","",,12.5,"","","","",,,,,,6,,,,,,,1,,,,3,,,,,,,71
"Pink Mountains 2","Silene acaulis",20,"open","",,,"","","","",,,,,,,2,,,,,,,,,4,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",21,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,7.5,"","","","",,,,,,1,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",21,"open","",,,"","","","",,,,,1,,10,,,,,,,,,2,1,,,,,,,71
"Pink Mountains 2","Silene acaulis",22,"cushion","",,22.5,"","","","",,,2,,,17,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",22,"open","",,,"","","","",,,,,,4,,1,,,,,,,,,,,,,,20,,71
"Pink Mountains 2","Silene acaulis",23,"cushion","",,16.6,"","","","",,2,,,,10,,,,,,,,,,,3,,,,,,,71
"Pink Mountains 2","Silene acaulis",23,"open","",,,"","","","",,,,,,,,,,,,,,,,5,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",24,"cushion","",-92559631349468685108960032336296063726075621803055105250951168,9.4,"","","","",,,,,,8,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",24,"open","",,,"","","","",,,,,,1,,1,1,,,,,,2,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",25,"cushion","",,10,"","","","",,,,,,,,,,,,,2,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",25,"open","",,,"","","","",,,,,,,2,1,,,,,,,,,,,,,,10,1,71
"Pink Mountains 2","Silene acaulis",26,"cushion","",,8.7,"","","","",,,,,,,,,,,,,,,,,,,,,,4,,71
"Pink Mountains 2","Silene acaulis",26,"open","",,,"","","","",,,,,1,,10,1,,,,,,,,,,,,,,20,,71
"Pink Mountains 2","Silene acaulis",27,"cushion","",,13,"","","","",,,,,,5,,,,,,,,,,,,,,,,8,,71
"Pink Mountains 2","Silene acaulis",27,"open","",,,"","","","",,,,,,2,3,,,,,,,,,,,,,,,1,,71
"Pink Mountains 2","Silene acaulis",28,"cushion","",,13.7,"","","","",,,,,,,,,,,4,,3,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",28,"open","",,,"","","","",,,,,,,,,,,,,,,,4,,,,,,,1,71
"Pink Mountains 2","Silene acaulis",29,"cushion","",,12.6,"","","","",2,,,,,,,,,,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",29,"open","",,,"","","","",,,,,,,5,,,,,,5,,,,3,,,,,,,71
"Pink Mountains 2","Silene acaulis",30,"cushion","",92559631349468662272996949040937966793500110611132923127005184,26.3,"","","","",,5,,,,,,,,,,,14,2,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",30,"open","",,,"","","","",,,,1,1,,,1,,1,,,,,,,,,,,,,,71
"Pink Mountains 2","Silene acaulis",31,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235343736827313,28.1,"","","","",,2,,,,,8,,,,,,,,,,,,,,,10,,71
"Pink Mountains 2","Silene acaulis",31,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,,,,1,1,71
"Pink Mountains 2","Silene acaulis",32,"cushion","",,13.6,"","1","","",,,1,,,2,,,,,2,,,,,,3,,,,,,,71
"Pink Mountains 2","Silene acaulis",32,"open","",,,"","","","",,,,,,,5,,,,,,,,,,,,,,,8,,71
