Site,Cushion species,Sample,cushion/open,Flower gender,Diam 1 (cm),Diam 2 (cm),Sphagnum spp (y= yes),Moss (y= yes),Notes,Flower #,Aconitum delphinifolium,Anenome spp,Bistorta vivipara,Brown lichen,Carex spp,Cetraria cuc,Cladina,Cladonia spp,Cloud lichen,Cordalis possiflora,Dryas octapedala,Gentiana prostrata,Grass spp,Lupinus arcticus,Thamnolia spp (worm lichen),Peltigera spp,Polytrichum spp,Pulmonium,Rock,Rock lichen,Rumex spp,Salix spp,Saxifraga spp,Saxifraga tricuspidata,Woody potentilla,dataset code
"Pink Mountains 3","Silene acaulis",1,"cushion","",-0,4.9,"","","","",,,,,,,,1,,,,,,1,,1,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",2,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,4,"","","","",,,,,,,,,,,,,2,1,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",12,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,9.5,"","","","",,,3,,,,,,,,,,,,,,,,,,,,,,3,72
"Pink Mountains 3","Silene acaulis",22,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235343736827313,31.1,"","","","3",3,3,,,,,,,,,,,30,,10,,,4,,,,2,,,4,72
"Pink Mountains 3","Silene acaulis",22,"open","",,,"","","","",,,,,,5,,,,,,,12,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",23,"open","",,,"","","","",3,4,,,,10,,,,,,1,10,,,,,,,,,,,,4,72
"Pink Mountains 3","Silene acaulis",32,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,19.4,"","","","",,,,,,,,,,,,,10,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",32,"open","",,,"","","","",,,,,,,1,,,,,,5,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",51,"open","",,,"","","","",,,,,,5,1,4,,,,,3,,,,,,,,,1,,,,72
"Pink Mountains 3","Silene acaulis",52,"open","",,,"","","","",,,,,,4,,,,,,,5,,,1,,,,,,2,1,,,72
"Pink Mountains 3","Silene acaulis",53,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,15.2,"","","","",,4,,,,,,,,,,,,,,,,,,,,2,1,,,72
"Pink Mountains 3","Silene acaulis",54,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,14.5,"","","","",,2,,,,,,,,,,,7,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",54,"open","",,,"","","","",,2,,,,,,,,,,,5,,,,,,,,,3,,,,72
"Pink Mountains 3","Silene acaulis",56,"cushion","",-92559631349468662272996949040937966793500110611132923127005184,6.7,"","","","",,,,,,,,,,,,,6,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",56,"open","",,,"","","","",,,,,,1,1,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",57,"open","",,,"","","","",2,2,,1,,5,,,,,,,10,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",58,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,23,"","","","",,2,,,,,,,,,,,10,,,,,,,,,1,3,,,72
"Pink Mountains 3","Silene acaulis",59,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,56,"","","","3",3,13,,,,,,,,,,,20,,,,,,,,,2,,,,72
"Pink Mountains 3","Silene acaulis",60,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235343736827313,24.1,"","","","3",3,3,,,,,,,,,,,5,,,,,,,,,,,,2,72
"Pink Mountains 3","Silene acaulis",61,"open","",,,"","","","",,,,,,,4,,,,,,8,,,,8,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",62,"open","",,,"","","","",,,,,,,,,,,,,,4,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",63,"cushion","",-93207408665392718598538395300397701960822111050659110498336768,35.6,"","","","",,,,,,,,,,,,,5,8,,,,,,,,,,20,,72
"Pink Mountains 3","Silene acaulis",71,"cushion","",186973800139441268159060554518236424768512822744363987495905026932467046775197995685704177375375536279786237258355316722313221454368442924508333445275419023852644701960810655504029188096,29.9,"","","","",,,2,,,,,,,,,,10,5,,,,,,,,,,,5,72
"Pink Mountains 3","Silene acaulis",81,"cushion","",,29.1,"","","","",,3,,,,,,,,,,,,,,,,,,3,,,,,2,72
"Pink Mountains 3","Silene acaulis",1,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,,3,,,,,,72
"Pink Mountains 3","Silene acaulis",2,"open","",,,"","","","",,,,,,2,1,,,,,,3,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",3,"cushion","",,11.9,"","","","",,,,,,,,,,,,,7,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",3,"open","",,,"","","","",,,,,,,,,,,,,8,3,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",4,"cushion","",-0,9.3,"","","","",,,,,,3,,,,,,,,,,,,,,,,2,,,,72
"Pink Mountains 3","Silene acaulis",4,"open","",,,"","","","",,,,,,10,,,,,,,8,,,,,,,,,3,,,,72
"Pink Mountains 3","Silene acaulis",5,"cushion","",190359856624741010822371930241816212941074684624973063836012287721736043078273977036678049104758099157769305755998627917024987984247762515621002453945519050353640261333180104327007567872,14.2,"","","","",,,,,,,,,,,,,5,,,,,,,,,2,,,,72
"Pink Mountains 3","Silene acaulis",5,"open","",,,"","","","",,,,,,3,,,,,,,3,,,,10,,,,,,,10,,72
"Pink Mountains 3","Silene acaulis",6,"cushion","",-0,4.9,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",6,"open","",,,"","","","",,,,,,,1,,1,,,,,3,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",7,"cushion","",-0,9.8,"","","","",,,,,,,,,,,,,4,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",7,"open","",,,"","","","",,,2,,,3,,,,,,,2,,,,,,,,,,,,10,72
"Pink Mountains 3","Silene acaulis",8,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,8.2,"fff","","","",,,,,,3,,,,,,,2,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",8,"open","",,,"","","","",,,,,,1,,4,,,,,3,,,1,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",9,"cushion","",,10.3,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",9,"open","",,,"","","","",,1,2,1,,,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",10,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,14.5,"","","","",,,,,,,,,,,5,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",10,"open","",,,"","","","",,,,,,3,1,,,,,,2,,2,,4,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",11,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,4.1,"","","","",,,,,,,,,,,,,1,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",11,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,2,72
"Pink Mountains 3","Silene acaulis",12,"open","",,,"","","","",,,,,,4,1,,,,,,,,,,,,1,3,,,,,,72
"Pink Mountains 3","Silene acaulis",13,"cushion","",190359856624741010822371930241816212941074684624973063836012287721736043078273977036678049104758099157769305755998627917024987984247762515621002453945519050353640261333180104327007567872,15.2,"","","","",,,3,,,,,,,,,,8,2,,,10,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",13,"open","",,,"","","","",,,3,,,,,2,,,,,3,,,,10,,1,,,,,,,72
"Pink Mountains 3","Silene acaulis",14,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,16,"","","","",,,1,,,,,,,,,,5,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",14,"open","",,,"","","","",,,3,,,3,1,4,,,,,6,,,,,,1,2,,2,,,,72
"Pink Mountains 3","Silene acaulis",15,"cushion","",,13,"","","","",,1,3,,,,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",15,"open","",,,"","","","",,2,,,,5,,,,,,,7,,,,10,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",16,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,10.2,"","","","",,,5,,,,,,,,5,,,,,,2,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",16,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,1,3,,,,,,72
"Pink Mountains 3","Silene acaulis",17,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,6.5,"","","","",,,,,,,,,,,5,,,,,,4,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",17,"open","",,,"","","","",,,,,,,1,,,,,,,,,,15,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",18,"cushion","",,23.9,"","","","",,,3,,,,,,,,,,11,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",18,"open","",,,"","","","",,4,,,,3,,,,,,,6,,,,10,,,3,,,,,,72
"Pink Mountains 3","Silene acaulis",19,"cushion","",,23,"","","","",,1,2,,,,,,,,,,7,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",19,"open","",,,"","","","",,,,,,10,,,1,,,,4,,,,10,,1,3,,,,,,72
"Pink Mountains 3","Silene acaulis",20,"cushion","",92559631349468662272996949040937966793500110611132923127005184,16.3,"","","","",,,6,,,,,,,,,,7,8,,,,,,,,2,,,,72
"Pink Mountains 3","Silene acaulis",20,"open","",,,"","","","",,,4,,,10,,2,,4,,,,,,,10,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",21,"cushion","",-92559631349468685108960032336296063726075621803055105250951168,11.9,"","","","",,1,2,,,,,,,,,,7,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",21,"open","",,,"","","","",,,,,,5,,,1,,,,,,,,1,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",23,"cushion","",-2,33.5,"","","","3",3,7,,,,,,,,,,,13,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",24,"cushion","",-93207408665392718598538395300397701960822111050659110498336768,16.3,"","","","2",2,5,,,,,,,,,,,8,,,,,,,,,,,,3,72
"Pink Mountains 3","Silene acaulis",24,"open","",,,"","","","",,,,,,,,,,,,,3,,3,10,,,,,,,,,1,72
"Pink Mountains 3","Silene acaulis",25,"cushion","",-92559631349468685108960032336296063726075621803055105250951168,9.4,"","","","",,1,,,,,,,,,,,10,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",25,"open","",,,"","","","",,,,,,,,,,,,,5,,,,1,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",26,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,15,"","","","",,3,,,,,,,,,,,10,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",26,"open","",,,"","","","",,,3,,,,,,,,,,1,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",27,"cushion","",,16.3,"","","","",,,,,,,,,,,,,15,,,,,,,,,,1,,,72
"Pink Mountains 3","Silene acaulis",27,"open","",,,"","","","",2,1,,,,,1,,,,,,,,,,10,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",28,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,7.5,"","","","",,1,,,,,,,,,,,4,,,,,,,1,,,,,,72
"Pink Mountains 3","Silene acaulis",28,"open","",,,"","","","",,,,,,,,3,,,,,,,,,,,,4,,,,,,72
"Pink Mountains 3","Silene acaulis",29,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,15.5,"","","","2",2,,,,,,,,,,,,15,3,,,,,,,,,,,1,72
"Pink Mountains 3","Silene acaulis",29,"open","",,,"","","","",,,,,,,,,,,,,1,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",30,"cushion","",-0,10.3,"fff#","","","",,,,,,,,,,,,,7,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",30,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,1,,,,,,,72
"Pink Mountains 3","Silene acaulis",31,"cushion","",,14.9,"","","","",,,,,,,,,1,,,,12,1,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",31,"open","",,,"","","","",,,,,,,1,,,,,,5,,,,1,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",33,"cushion","",-0,13.8,"","","","",,2,,,,5,,,,,,,3,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",33,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,1,4,,,,,,72
"Pink Mountains 3","Silene acaulis",34,"cushion","",92559631349468685108960032336296063726075621803055105250951168,17.3,"","","","",,,3,,,,,,,,,,10,,,,,,,,,2,,,,72
"Pink Mountains 3","Silene acaulis",34,"open","",,,"","","","",,,,,,,,,,,,,,,,,1,,1,4,,,,,,72
"Pink Mountains 3","Silene acaulis",35,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235343736827313,34.2,"","","","",,3,,,,,,,,,,,10,,,,,,,,,,,,1,72
"Pink Mountains 3","Silene acaulis",35,"open","",,,"","","","",,,,,,,,,,,,,5,7,,,,,,,,5,,4,,72
"Pink Mountains 3","Silene acaulis",36,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,29,"š™™4","","","1",1,,,,,,,,,,,,20,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",36,"open","",,,"","","","",,,,,,,,,,,,,20,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",37,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000466726145838463,18.2,"","","","",,1,,,,,,,,,,,7,,,,,,,,,,,,2,72
"Pink Mountains 3","Silene acaulis",37,"open","",,,"","","","",,,,,,5,,,,,,,4,,,3,7,,1,,,,,,,72
"Pink Mountains 3","Silene acaulis",38,"cushion","",,15.5,"","","","",,,,,,,,,,,,,4,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",38,"open","",,,"","","","",,,,,,,,,,,,,,,,,20,,,,,,2,,,72
"Pink Mountains 3","Silene acaulis",39,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000466726145838462,25.2,"","","","6",6,2,1,,,,,,,,,,10,,,,,,,,,,,,1,72
"Pink Mountains 3","Silene acaulis",39,"open","",,,"","","","",5,,,,,,,,,,,,5,5,,,,,,,,,2,,,72
"Pink Mountains 3","Silene acaulis",40,"cushion","",,20,"","","","",,,,,,,,,,,,,15,1,,,,,,,,,3,,2,72
"Pink Mountains 3","Silene acaulis",40,"open","",,,"","","","",1,5,,,,5,,,,,,,,,,,,,,,,2,,,,72
"Pink Mountains 3","Silene acaulis",41,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,15.5,"","","","2",2,3,,,,,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",41,"open","",,,"","","","",,,,,,,,,,,,,10,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",42,"cushion","",190359856624741010822371930241816212941074684624973063836012287721736043078273977036678049104758099157769305755998627917024987984247762515621002453945519050353640261333180104327007567872,36.8,"333=","","","6",6,3,,,,,,,,,,,15,1,,,2,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",42,"open","",,,"","","","",,5,,,,4,,,1,,,,5,,,,,,,4,,,,,,72
"Pink Mountains 3","Silene acaulis",43,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000466726145838463,13.1,"","","","",,,,,,,,,,,,,6,,,,,,,,,,,,1,72
"Pink Mountains 3","Silene acaulis",43,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,1,4,,,,,,72
"Pink Mountains 3","Silene acaulis",44,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,20,"","","","",,4,1,,,,,,,,,,,,,,,,,,,,,,3,72
"Pink Mountains 3","Silene acaulis",44,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,1,3,,,,,,72
"Pink Mountains 3","Silene acaulis",45,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,20.4,"","","","",,4,,,,,,,,,,,7,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",45,"open","",,,"","","","",,,,,,,,,,,,,,,,,1,,1,,,,,,,72
"Pink Mountains 3","Silene acaulis",46,"cushion","",,25.3,"","","","",,4,,,,,,,,,,,15,3,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",46,"open","",,,"","","","",,1,,,,4,,,,,,,,,,,1,,,2,,,,,,72
"Pink Mountains 3","Silene acaulis",47,"cushion","",-0,10.8,"","","","",,,,,,,,,,,,,7,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",47,"open","",,,"","","","",,5,20,,,1,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",48,"cushion","",,22.1,"","","","",,,,,,,,,,,,,20,,,,,,,,,,,,1,72
"Pink Mountains 3","Silene acaulis",48,"open","",,,"","","","",,,,,,,1,,,,,,,,,,1,,,,,,4,,,72
"Pink Mountains 3","Silene acaulis",49,"cushion","",,30.1,"","","","",,,,,,,,,,,,,25,4,,,,,,2,,,4,,,72
"Pink Mountains 3","Silene acaulis",49,"open","",,,"","","","",,,,,,10,1,,,,,,7,,,,10,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",50,"cushion","",-92559631349468662272996949040937966793500110611132923127005184,11.9,"","","","",,,,,,,,,,,,,5,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",50,"open","",,,"","","","",,,,,,,,,,,,,2,,,1,,,,,,4,,,,72
"Pink Mountains 3","Silene acaulis",51,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503946958758071,10,"","","","",,,,,,,,,,,,,10,,,,,,,,,2,,,,72
