site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis,Alchemilla,Anthyllis,Arenaria,Carex 1,Carex 2,Caryophyllaceae,Cerastium,Cirsium,Crepis,Daphne,Draba,Dryas octopetala,Erigeron 1,Erigeron 2,Festuca,Gentiana 1,Gentiana 2 (blue),Gentiana 3 (pointed leaves),Globularia,Helianthemum,Hieracium 1,Hieracium 2,Koeleria,Lamiaceae,Leontodon,Leucanthemum,Linaria,Oreochloa,Polygala,Saponaria caespitosa,Saxifraga 1 (creeping),Saxifraga 2 (pink/leafy),Saxifraga oppositifolia,Teucrium,Veronica,dataset code
"Benasque 1","Saponaria_caespitosa",1,"cushion",34,40,,,,,47,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",2,"cushion",30,30,,,,,21,,2,,,,6,,,,,1,,,,,,,,,,,,,10,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",11,"cushion",44,28,,,2,,30,1,,,,,,,,,,,,,,1,5,,,,,,,,6,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",12,"cushion",41,43,,,5,,40,1,,,,,,,,,,,,,,,12,,,2,,,,11,6,,,,,,,1,73
"Benasque 1","Saponaria_caespitosa",21,"cushion",35,32,,,2,,24,,,,,,1,1,,2,1,,,,,1,5,,,1,,,,3,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",22,"cushion",42,40,,1,4,,21,3,,,,,3,,,,,,,,,2,4,,1,,,,,,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",31,"cushion",39,13,,,0,,32,,,,,,,,,,,,5,,,,9,,,,,,,,13,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",32,"cushion",32,28,,,1,,34,,,,,,,,,,,,2,,,,7,,,,,,,,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",41,"cushion",16,15,,,0,,7,,,,,,,,,,,,,,,,3,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",42,"cushion",48,31,,,5,,46,,,,,,4,,,4,,,,,,,5,,,,,,,,13,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",51,"cushion",47,34,,,8,,23,,,,,,,,,,,,,,,2,6,,,,,,,8,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",52,"cushion",30,22,,,18,,34,,,,,,,,,3,,,,,,,3,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",61,"cushion",43,38,,,,,40,,,,,,,,,,,,,,,4,9,,,,,,,1,,,,,,,,1,73
"Benasque 1","Saponaria_caespitosa",62,"cushion",20,20,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,1,,2,,73
"Benasque 1","Saponaria_caespitosa",71,"cushion",40,32,,,5,,17,,,,,,,,,1,,,,,,,6,,,2,,,,7,6,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",72,"cushion",42,30,,,3,,12,,,,1,,4,,,8,,,,,,,4,,,5,,,,,10,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",81,"cushion",12,10,,,1,,5,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",82,"cushion",40,28,,,1,,22,,,,,,,,,,,,,,,2,5,,,2,1,,,,4,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",91,"cushion",45,30,,,2,,14,,2,,,1,,,,2,,,,,,,5,,,3,1,,,,2,,,,,,,,73
