site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Anthyllis,Carex 1,Carex 2,Caryophyllaceae,Cerastium,Cirsium,Daphne,Draba,Erigeron,Festuca,Gentiana 1,Gentiana 2 (blue),Globularia,Gnaphalium,Gregoria vitaliana,Helianthemum,Hieracium 1,Hieracium 2,Koeleria,Lamiaceae,Leontodon,Oreochloa,Oxytropis,Plantago,Pritzelago alpina,Saponaria caespitosa,Saxifraga 1,unk-folded leaf,Agrostis,Alchemilla,Arenaria,Gentiana 3 (pointed leaves),Linaria,Poa,Potentilla,Saxifraga 2,Sedum,Stellaria,Taraxicum,Teucrium,dataset code
"Benasque 2","Silene_acaulis",1,"cushion",35,34,1,6,,,"",,,,,,,,,,,5,,,,,,17,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",2,"cushion",32,38,1,13,,,"",,,,3,,,,3,,,9,,3,,,,20,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",3,"cushion",22,40,2,22,,,"",,,,,,,,,,,11,6,,1,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",4,"cushion",14,18,1,6,,,"",,,,,,1,,,,,2,,,,,,5,,,,1,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",5,"cushion",22,16,1,15,,,"",1,1,,1,,,,1,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",7,"cushion",45,60,4,12,,,"",,,1,2,1,,,,2,1,16,3,8,,,1,35,1,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",12,"cushion",13,17,3,3,1,,"",,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",13,"cushion",27,31,4,18,,,"",,,1,,,2,,3,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",14,"cushion",43,42,6,52,,,"",,,,,,,,,,,,,,1,2,,10,,,,,,1,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",15,"cushion",29,34,3,21,,,"",,,,1,1,,1,1,,,7,,,,,,12,1,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",16,"cushion",21,28,2,9,1,,"",,,1,6,1,,,,,,3,,,,,,7,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",18,"cushion",32,29,5,18,,,"",,,,,,,,,,,6,,,,,,4,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",23,"cushion",35,30,0,17,,1,"",,,,2,,,4,,,,17,,,,,,0,6,2,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",24,"cushion",25,18,0,23,,,"",,,,,,,1,,,,12,,,,,,0,4,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",25,"cushion",35,16,0,66,,,"",,,,,,,,,,,9,,,,,,0,10,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",26,"cushion",30,21,3,27,,,"",,,,1,,,,,,,0,11,,,,,1,1,12,,,,,,,,,,6,,,,,,,74
"Benasque 2","Silene_acaulis",27,"cushion",46,40,4,33,,,"",,,,,,2,,2,,,4,3,,,,,23,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",34,"cushion",21,15,,20,,1,"",,,,3,,,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",35,"cushion",14,7,,9,,,"",,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",36,"cushion",22,15,,27,,,"",,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",37,"cushion",16,9,,17,,,"",,,,,,,,2,,,12,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",38,"cushion",13,12,0,26,,,"",,,,18,,,,,,,4,,,,,,0,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",45,"cushion",70,50,4,5,,,"",,,3,3,,,,,9,,12,1,,,,,8,2,10,5,,,,,8,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",46,"cushion",30,30,,3,,1,"",,,1,,,,,,,,14,6,,,,,4,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",47,"cushion",25,20,,16,,1,"",,,,,,,,,,,9,,,,,,4,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",48,"cushion",16,12,,6,,1,"",,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",49,"cushion",30,20,2,5,,,"",,,,,,,,1,,,1,,,,1,,5,1,,,,,,,4,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",56,"cushion",36,22,,,,,"",,,,,,,,,,,,12,,21,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",57,"cushion",44,37,,,,,"",,,,,,,,1,,,,10,,21,,,,5,,,,,,,,,,1,,,,,,,,74
"Benasque 2","Silene_acaulis",58,"cushion",26,19,2,4,,,"",,,,,,,,,,,12,,,16,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",59,"cushion",38,21,4,21,,,"",,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",60,"cushion",27,20,1,,,,"",,,,,,,,,,,8,1,,3,,,,,,,,,,,,,,,1,,,,,,,74
"Benasque 2","Silene_acaulis",67,"cushion",30,20,3,15,,1,"",1,,,,3,,,,,,11,,,,1,,,,,,,,,,,,1,,,,,,,,,74
"Benasque 2","Silene_acaulis",68,"cushion",55,50,1,2,,,"",,,,,2,,,,1,,21,,,1,,,10,,,,,,,1,,,,7,,,,,,1,,74
"Benasque 2","Silene_acaulis",69,"cushion",25,15,1,12,,,"",,,,1,,,,2,,,,,,,,,8,,,,,,,,,,,1,,,,,,,,74
"Benasque 2","Silene_acaulis",70,"cushion",25,25,2,17,,,"",,,,,,,,,,,9,,,3,,,,,,,,,,,,,,3,,,,,,1,,74
"Benasque 2","Silene_acaulis",71,"cushion",40,40,,26,,,"",,,,2,3,,,4,,,6,,,,,,,,,,,,,,,,,4,,,,,,,,74
"Benasque 2","Silene_acaulis",78,"cushion",8,4,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",79,"cushion",15,10,,,,1,"",,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,74
