site,cushion sp,sample,cushion/open,diam1 (cm),diam2 (cm),Carex nardina,Arnica,Solidago,Festuca,Sibbaldia,Antennaria alpina,Carex Sp,Luzula,Koeleria,Poa alpina,Saxifraga bronchialis,Agrostis,Potentilla heptaphylla,Phyllodoce glandulosa,Phlox,Draba,Taraxacum,Luzula glabra,Lycopodium,Carex yellow,Penstemon,Festuca green,Doronicum,Achillea,Leutkea,Potentilla villosa,Caryophyllaceae,Erigeron,Antennaria long leaf,dataset code
"Whistler North","Silene_acaulis",2,"cushion",21,19,,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",3,"cushion",29,22,,3,15,5,,,2,,3,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",4,"cushion",20,18,,6,18,5,,,1,,2,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",5,"cushion",12,9,,1,6,2,,,,,4,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",7,"cushion",12,9,,1,14,2,,,1,,1,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",8,"cushion",34,26,,8,30,5,5,,4,,,,,5,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",9,"cushion",11,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",10,"cushion",13,10,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",12,"cushion",23,17,2,15,,2,3,2,,,,,,3,,3,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",13,"cushion",22,19,,5,2,6,2,,,,,,,1,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",14,"cushion",30,19,,5,4,2,,,,,2,,,,4,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",17,"cushion",15,12,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",18,"cushion",10,10,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",19,"cushion",35,25,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",20,"cushion",22,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",22,"cushion",30,22,,8,20,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",23,"cushion",18,13,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",24,"cushion",14,8,,2,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",25,"cushion",35,15,,8,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",27,"cushion",20,13,,12,3,7,,,2,,,,2,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",28,"cushion",44,10,,,13,3,1,,,,2,,,,,,,,,,11,,,,,,,,,,,75
"Whistler North","Silene_acaulis",29,"cushion",24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",32,"cushion",25,15,,10,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",33,"cushion",15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",34,"cushion",15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",36,"cushion",21,14,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",37,"cushion",20,15,,,5,2,,,,,,,,,,,,,,,,3,,,,,,,,,,75
"Whistler North","Silene_acaulis",38,"cushion",9,5,,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,75
"Whistler North","Silene_acaulis",39,"cushion",25,19,,4,10,3,,,,,,,,,,,2,,,,,5,,,,,,,,,,75
"Whistler North","Silene_acaulis",41,"cushion",16,18,,,,,,,1,2,,,,,,,2,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",42,"cushion",18,15,,1,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,75
"Whistler North","Silene_acaulis",43,"cushion",17,13,,4,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,75
"Whistler North","Silene_acaulis",44,"cushion",16,17,,2,10,4,1,,,,3,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",47,"cushion",15,10,,1,3,3,,,,,,,,,3,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",48,"cushion",11,8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,75
"Whistler North","Silene_acaulis",49,"cushion",11,11,,,,,,2,,,1,,,,,,,,,,,1,,1,,,,,,,,75
