dataset code,site,cushion sp,sample,cushion/open,diam1 (cm),diam2 (cm),Carex nardina,Arnica,Solidago,Festuca,Phlox,Sibbaldia,Antennaria alpina,Carex Sp,Luzula,Koeleria,Poa alpina,Draba,Saxifraga bronchialis,Agrostis,Taraxacum,Potentilla heptaphylla,Phyllodoce glandulosa,Luzula glabra,Festuca green,Potentilla villosa,Caryophyllaceae,Erigeron,Antennaria long leaf,Luzul green,Phacelia
76,"Whistler South","Silene_acaulis",1,"cushion",41,16,2,6,35,18,2,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",1,"open",41,16,,3,,1,,2,3,1,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",2,"cushion",14,11,,1,,2,1,1,5,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",2,"open",14,11,,2,,1,,1,,,2,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",3,"cushion",16,7,,3,2,2,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",3,"open",16,7,,,5,,,1,2,1,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",4,"cushion",18,16,,3,14,8,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",4,"open",18,16,,,8,1,,,1,1,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",5,"cushion",36,13,,3,17,15,,,2,2,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",5,"open",36,13,1,4,9,2,,2,8,,3,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",6,"cushion",24,13,,,1,3,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",6,"open",24,13,,,1,,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",7,"cushion",13,9,,3,3,3,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",7,"open",13,9,,1,3,1,,,1,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",8,"cushion",15,8,,,2,3,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",8,"open",15,8,,,1,1,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",9,"cushion",20,19,1,3,8,6,,1,,,2,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",9,"open",20,19,,,8,1,,,1,,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",10,"cushion",17,12,,1,1,4,,1,1,,,,1,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",10,"open",17,12,,2,,,,2,1,,3,,,1,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",11,"cushion",41,22,,3,35,13,,,,,,5,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",11,"open",41,22,,15,1,2,,,5,,2,,,,3,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",12,"cushion",35,14,,,6,3,,,,,,,1,,,,,,,,,,,,,,
