Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Alyssum nevadense,Anthyllis vulneraria ssp pseudoarundana,Avenella flexuosa ssp iberica,Cytisus galianoi,Erigeron frigidus,Eryngium glaciale,Galium pyrenaicum,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Ranunculus demissus,Sideritis glacialis,Thymus serpylloides ssp serpylloides,Vaccinium uliginosum var nana,Viola crassiuscula
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",1,"cushion",19,19,,,,,,,8,,2,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",1,"open",19,19,,,,,,,1,,,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",2,"cushion",18,18,,,,,,,,,,,,,13,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",2,"open",18,18,,,,,,,,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",3,"cushion",27,21,,,,,,,1,,,,,,7,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",3,"open",27,21,,,,,,,,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",4,"cushion",29,23,,,,,,,,,1,,,,1,,,5,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",4,"open",29,23,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",5,"cushion",27,25,,,,,,,9,,8,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",5,"open",27,25,,,,,,,5,,5,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",6,"cushion",26,23,,,,,,,13,,11,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",6,"open",26,23,,,,,,1,5,,3,,,,,,1,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",7,"cushion",30,15,,,,,,,14,,2,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",7,"open",30,15,,,,,,,,,2,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",8,"cushion",27,13,,,,,,,10,,4,,,,9,,,,,2
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",8,"open",27,13,,,,,,,,,,,,,2,,,,,1
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",9,"cushion",16,12,,,,,,,7,,7,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",9,"open",16,12,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",10,"cushion",25,18,,,,,,,12,,12,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",10,"open",25,18,,,,,,,6,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",11,"cushion",9,13,,,,,,,,,,,,,3,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",11,"open",9,13,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",12,"cushion",26,14,,,,,,,7,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",12,"open",26,14,,,,,,,3,,,,,,5,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",13,"cushion",18,14,,,,,,,16,,5,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",13,"open",18,14,,,,,,,4,,2,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",14,"cushion",24,22,,,,,,1,,,1,,,,15,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",14,"open",24,22,,,,,,,,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",15,"cushion",10,13,,,,,,,9,,7,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",15,"open",10,13,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",16,"cushion",18,20,,,,,,,,,7,,,,7,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",16,"open",18,20,,,,,,,4,,,,,,3,,,,,
