Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Erigeron frigidus,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Plantago holosteum,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",1,"cushion",20,16,,,,,,,,,,,,11,,,,,,,1,,,7,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",1,"open",20,16,,,,,,,,,,,,3,1,,,,2,,,3,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",2,"cushion",15,10,,,,,,,,,,1,,3,,,,,2,,,2,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",2,"open",15,10,,,,,,,,,,2,,,,,,,1,,1,2,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",3,"cushion",10,10,,,,,,,,,,1,,2,,,,,,,,2,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",3,"open",10,10,,,,,,,,,,1,,,,,,,,,,8,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",4,"cushion",14,15,,,,,,,,2,,1,,,,,,13,,,,,,,,,,,1
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",4,"open",14,15,,,,,,,,5,,2,,,,,,,,,1,5,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",5,"cushion",17,13,,,,,,,,1,,1,,2,,,,,,,,,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",5,"open",17,13,,,,,,,,,,,,2,,,,,,,1,9,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",6,"cushion",16,13,,,,,,,,,,1,,3,,,,,,,1,1,,1,,,,,1
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",6,"open",16,13,,,,,,,,,1,1,,1,,,,,,,,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",7,"cushion",14,11,,,,,,,1,1,,,,2,,,,,,,,2,,5,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",7,"open",14,11,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",8,"cushion",18,11,,,,,,,1,,4,,,,,,,,,,,,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",8,"open",18,11,1,,,,,,,,,1,,1,,,,,2,,,6,,6,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",9,"cushion",14,13,,,,,,,,,,,,,,,1,,1,,1,1,,10,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",9,"open",14,13,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",10,"cushion",18,18,1,,,,,,,,5,,,3,,,,,,,,5,,5,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",10,"open",18,18,,,,,,,1,,,2,,,,,,,,,,9,,,1,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",11,"cushion",19,16,1,,,,,,,,,,,,,,,,,,1,2,,3,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",11,"open",19,16,1,,,,,,,,1,1,,3,,,,,,,,3,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",12,"cushion",16,11,,,,,,,,,,,,,,,,,,,,3,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",12,"open",16,11,,,,,,,2,,,1,,,,,,,,,,2,,1,,,,1,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",13,"cushion",18,17,,,,,,,,,,,,12,,,,4,,,,2,,5,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",13,"open",18,17,,,,,,,,,,,,2,,,,2,,,,2,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",14,"cushion",17,12,,,,,,,1,,1,2,1,,,,,43,,,1,2,,4,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",14,"open",17,12,,,,,,,3,,,2,1,2,,,,5,,,,13,,11,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",15,"cushion",22,16,,,,,,,,,,1,,2,,,,1,,,,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",15,"open",22,16,,,,,,,1,,,3,,,,,,,1,,,3,,8,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",16,"cushion",16,18,,,,,,,,,3,,1,1,,,,,,,,2,,,,,,1,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",16,"open",16,18,,,,,,,,,,1,,2,,,,,,,,4,,3,1,,,,1
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",17,"cushion",15,16,,,,,,,,,,1,,3,,,,,,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",17,"open",15,16,,,,,,,,,,,,,,,,,1,,,5,,3,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",18,"cushion",13,14,1,,,,,,,,,1,8,,,,,,,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",18,"open",13,14,,,,,,,,,,,1,1,,,,,,,,,,3,1,,,2,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",19,"cushion",13,13,,,,,,,,,,1,,1,,,,,,,,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",19,"open",13,13,,,,,,,,,,1,1,2,,,,,1,,,5,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",20,"cushion",13,10,3,,,,,,,,3,,,4,,,,3,,,,,,4,,,,,1
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",20,"open",13,10,1,,,,,,,,,,,,,,,,,,,1,,10,,1,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",21,"cushion",15,15,,1,,,,,,,1,1,1,5,,,,2,,,,1,,,,,,1,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",21,"open",15,15,1,,,,,,,,1,,,1,,,,3,,,,1,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",22,"cushion",12,9,1,,,,,,,,,,,1,,,,,,,1,2,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",22,"open",12,9,,,,,,,,,,,,,,,,,,,,3,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",23,"cushion",18,18,,1,,,,,1,,1,1,,3,1,,,,,,,,,1,,,,1,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",23,"open",18,18,1,,,,,,1,,,1,,2,,,,,,,,6,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",24,"cushion",11,10,1,,,,,,,,,,,4,1,,,,,,,1,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",24,"open",11,10,,,,,,,,,,,,1,,,,,,,,6,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",25,"cushion",18,11,,,,,,,,,,,,3,,,,,,,,4,,3,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",25,"open",18,11,1,,,,,,,,,2,,,,,,,,,,5,,2,1,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",26,"cushion",13,13,3,,,,,,,,,2,,1,,,,,,,,,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",26,"open",13,13,,,,1,,,,,,,,3,,,,,,,,6,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",27,"cushion",20,16,1,,,,,,,,,1,,2,,,,,,,1,,,,,1,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",27,"open",20,16,,,,,,,,,,1,,3,,,,,,,,8,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",28,"cushion",18,16,,,,,,,,,,,50,3,,,,,,,2,3,,3,,,,2,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",28,"open",18,16,,,,,,,1,1,,1,1,,,,,,,,1,5,,12,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",29,"cushion",17,10,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",29,"open",17,10,,,,,,,2,,,,,1,,,,,,,1,2,,10,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",30,"cushion",13,10,1,,,,,,,,,,,,,,,,,,,3,,4,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",30,"open",13,10,,,,,,,,,,,,,,,,,,,,3,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",31,"cushion",9,10,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",31,"open",9,10,,,,,,,,,,,,1,,,,2,,,,,,7,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",32,"cushion",27,16,,,,,,,,,,,70,3,,,,,,,,3,,9,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",32,"open",27,16,,,,1,,,,,,1,,,,,,,,,1,7,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",33,"cushion",15,13,,,,,,,1,,,1,1,1,,,1,,,,,1,,5,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",33,"open",15,13,,,,,,,,,,1,,2,,,1,1,,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",34,"cushion",22,17,,,,,,,,,1,,7,,,,,,,,,3,,2,,,,1,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",34,"open",22,17,,,,,,,,,,,,1,,,,,1,,,9,,9,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",35,"cushion",14,10,,,,1,,,,,1,,,1,,,,3,3,,1,,,6,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",35,"open",14,10,1,,,1,,,,,,,,1,,,,,,,3,4,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",36,"cushion",22,19,,,,,,,,,,,,3,,,,,,,1,,,3,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",36,"open",22,19,,,,,,,,,,1,,1,2,,,,,,,5,,4,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",37,"cushion",10,10,,,,,,,,,,1,,1,,,,,,,,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",37,"open",10,10,,,,,,,,,,,,,,,,3,,,,2,,4,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",38,"cushion",20,13,,,,,,,,,2,,,3,,,,,,,1,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",38,"open",20,13,,,,,,,,,,,,5,,,,,,,,4,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",39,"cushion",12,12,,,,,,,,,1,,,2,,,,,,,1,,,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",39,"open",12,12,,,,,,,,,,,,,,,,,,,,8,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",40,"cushion",12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",40,"open",12,12,1,,,,,,,,,,,2,1,,,,,,,,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",41,"cushion",21,12,,,,,,,,,,,,1,,,,35,,,,1,,3,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",41,"open",21,12,,,,,,,,,1,1,,,,,,7,,,,7,,6,,1,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",42,"cushion",16,13,1,,,,,,,,,,,8,,,,,,,,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",42,"open",16,13,,,,,,,,,,,,,,,,,,,,13,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",43,"cushion",14,13,,,,,,,,,1,,,2,,,,,,,,4,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",43,"open",14,13,,,,,,,,,,2,,2,,,,,,,,9,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",44,"cushion",14,10,,,,,,,,,,1,,3,,,,,,,,5,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",44,"open",14,10,,,,,,,,,,,,1,,,,,,,,8,,4,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",45,"cushion",18,17,,,,,,,,,,1,,4,,,,,,,,,,,,,,,
