Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Biscutella glacialis,Chaenorhinum glareosum,Erigeron frigidus,Eryngium glaciale,Euphrasia willkommii,Festuca clementei,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Nevadensia purpurea,Trisetum glaciale
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",1,"cushion",18,17,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",1,"open",18,17,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",2,"cushion",11,12,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",2,"open",11,12,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",3,"cushion",15,15,,,,,,,,,,3,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",3,"open",15,15,,,,,,,,,,,,2,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",4,"cushion",20,22,,,,1,,,,,,,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",4,"open",20,22,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",5,"cushion",22,24,,,,1,,,,,,,,,8
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",5,"open",22,24,,,,1,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",6,"cushion",33,21,,,1,3,,4,8,2,,16,,,20
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",6,"open",33,21,,2,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",7,"cushion",16,15,,,,,,,,,,,,5,15
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",7,"open",16,15,,,,,,,,,,,,1,5
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",8,"cushion",25,19,,,,,,,,,,2,,3,12
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",8,"open",25,19,,,,,,,,,,1,,,11
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",9,"cushion",16,12,,,,5,,,7,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",9,"open",16,12,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",10,"cushion",10,9,,,,,,,,,,,2,,15
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",10,"open",10,9,,,,1,,,1,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",11,"cushion",14,14,,,,,,,,,,,10,1,7
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",11,"open",14,14,,,,,,,,,,,,,1
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",12,"cushion",12,7,,,,1,,,,,,3,1,,5
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",12,"open",12,7,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",13,"cushion",16,12,,,,1,,,16,,,1,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",13,"open",16,12,,,,3,,,16,,,,,,4
