Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Arenaria tetraquetra ssp amabilis,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Draba hispanica ssp laderoi,Erigeron frigidus,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
81,"Sierra Nevada3","Plantago_holosteum",1,"cushion",11,10,,,,,,,,,,,3,,,,,,,,,1,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",2,"cushion",10,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",3,"cushion",11,9,,,,,,,,,,,,,,,,,,,,4,,,1,,,,
81,"Sierra Nevada3","Plantago_holosteum",4,"cushion",13,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",5,"cushion",12,13,,,,,1,,,,,,,,,,,,,,,4,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",6,"cushion",11,9,,,,,,,,,,,,,,,,,,,,3,,6,,,,,
81,"Sierra Nevada3","Plantago_holosteum",7,"cushion",17,13,,,,,,,,,,,,,,,,,,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",8,"cushion",11,11,,,,,,,,,,,,,,,,,,,,7,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",9,"cushion",14,9,,,,,,,,,,1,,,,,,,,,,2,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",10,"cushion",22,18,,,,,,,,,,2,1,,3,,,,,1,,,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",11,"cushion",15,9,,,,,,,,,,,,,2,,,,,,,5,,6,,,,,
81,"Sierra Nevada3","Plantago_holosteum",12,"cushion",17,14,,,,,,,,,,,,,1,,,,,,,4,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",13,"cushion",16,13,,1,,,,,,,,2,,,,,,,,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",14,"cushion",14,13,,1,,,,,,,,,,,,,,,,,,2,,,,,,,
