Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis_flaccida,Anemone_narcisssiflora,Arcterica_nana,Arctous_alpinus,Bryanthus_gmelinii,Calamagrostos_sesquiflora,Carex_flavocuspis,Carex_sp,Carex_stenantha,Cassiope_lycopodioides,Deschampsia_caespitosa,Deschampsia_flexuosa,Diapensia_lapponica,Dicentra_peregrina,Empetrum_nigrum,Hierochloe_alpina,Linnea_borealis,Loiseleuria_procumbens,Oxytropis_japonica,Patrinia_sibirica,Phyllodoce_caerulea,Potentilla_matsumurae,Primula_cuneifolia,Rhododendron_aureum,Rubus_pedatus,Salix_numularia,Saussurea_yanagisawae,Sieversia_pentapetala,Spirea_betulifolia,Tilingia_ajanensis,Vaccinium_vitis_idea
82,"Kitanuma","Pinus pumila",1,"Cushion",500,400,,,0.01,15,,,,,1,,0.01,,,,30,0.01,0.01,,,,,,,3,1,,,,1,,70
82,"Kitanuma","Pinus pumila",2,"Open",500,400,,,1,10,2,0.01,1,,3,,,,25,,10,,,40,,,,,,2,,,1,,,0.01,
82,"Kitanuma","Pinus pumila",3,"Cushion",26,23,,,5,2,,,30,,,,,,,,,,,70,,,,,,,,,,,,,3
82,"Kitanuma","Pinus pumila",4,"Open",26,23,,,15,2,,10,,,,,,,,,30,,,80,,,,,,,,,,,,,
82,"Kitanuma","Pinus pumila",5,"Cushion",55,55,,,15,,4,1,,,,,,,1,,,0.01,,8,,,,,,,,,4,,,,
82,"Kitanuma","Pinus pumila",6,"Open",55,55,,,20,1,,2,,,10,,,,5,,1,,,40,,,,2,,,,1,,,,,
82,"Kitanuma","Pinus pumila",7,"Cushion",91,115,,,3,10,,,1,,5,,0.01,,,,60,,,,,,,,,8,,,,,,,40
82,"Kitanuma","Pinus pumila",8,"Open",91,115,,,15,15,,3,,,3,,,,20,,,,,40,,,,,,,,,,,,,
82,"Kitanuma","Pinus pumila",9,"Cushion",85,60,,,15,1,30,,,,10,1,,,7,,,,,25,,,,,,,,,,,,,0.01
82,"Kitanuma","Pinus pumila",10,"Open",85,60,,,5,10,,0.01,25,,7,2,,,,,35,,,30,,,,,,3,,,,,,0.01,1
82,"Kitanuma","Pinus pumila",11,"Cushion",150,140,,,3,,10,1,,,2,,,,70,,,,,15,,,,1,,,,5,,,,,
82,"Kitanuma","Pinus pumila",12,"Open",150,140,,,1,,15,,,,1,,,,10,,,,,20,,,,,,7,,2,,,,,
82,"Kitanuma","Pinus pumila",13,"Cushion",90,75,,,,,25,1,5,0.01,1,,0.01,,70,,,,,20,,,,0.01,,,,2,1,,,,
82,"Kitanuma","Pinus pumila",14,"Open",90,75,,,0.01,1,20,0.01,,,5,,,,15,,3,,,5,,,,,,,,1,1,,,,
