Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Saussurea gnaphalodes (Royle) Sch-Bip,Soroseris erysimoides (Hand-Mazz) Shih,Aster alpinus L,Poa poiphagorum Ber,Poa sibirica Roshev,Koeleria litwinowii Domin,Astragalus Tanguticus Batalin,Festuca ovina L,Potentilla sericea L,Leontopodium nanum(HookfetThoms)HandMazz,Draba altaica (C A Mey) Bunge,Rhodiola juparensis (Frod) SHFu,Draba oreades Schrenk var ciliolata O E Schulz,Taraxacum mongolicum Hand-Mazz,Potentilla tanacetifolia Willd,Comastoma pulmonarium(Turez) Toyohuni,Astragalus Polycladus Bur Et Franch,Pedicularis pilostachya Maxim,Erigeron eriocalyx (Ledb) Vierth
83,"Qilian Shan","Arenaria kansuensis Maxim. ",1,"cushion",38,42,,,32,30,,,3,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",1,"open",38,42,,,57,,,5,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",2,"cushion",39,34,,,58,,,1,,,4,,,,1,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",2,"open",39,34,,,12,,,3,,,2,,,,5,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",3,"cushion",28,32,2,,37,,,,,2,,,,,2,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",3,"open",28,32,,,14,,,,,11,2,,,,2,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",4,"cushion",44,40,147,,10,,,8,,1,,50,,,,2,6,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",4,"open",44,40,56,,62,,,3,,,21,,,1,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",5,"cushion",67,92,17,,5,,,,,28,,,6,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",5,"open",67,92,1,,39,,,12,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",6,"cushion",60,86,15,,8,1,,1,,43,,,14,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",6,"open",60,86,,,27,,,6,,,,,1,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",7,"cushion",28,53,4,,76,,,2,,7,,,13,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",7,"open",28,53,2,,7,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",8,"cushion",25,30,6,,31,,,1,,7,7,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",8,"open",25,30,,,16,,,4,,,,4,2,,,,,1,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",9,"cushion",50,53,,,95,2,,2,,4,,,,,,,,,1,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",9,"open",50,53,22,,44,,,29,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",10,"cushion",29,33,,,17,3,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",10,"open",29,33,9,,7,,,7,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",11,"cushion",34,41,48,,67,,,,,,1,,1,2,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",11,"open",34,41,3,,7,,,,,,2,,,1,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",12,"cushion",38,36,32,13,1,,3,,,,,,,1,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",12,"open",38,36,20,,5,,,2,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",13,"cushion",68,40,39,8,96,,,,4,10,40,43,12,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",13,"open",68,40,11,,28,,,,1,,,67,,1,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",14,"cushion",57,45,4,,50,,,,,17,,,4,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",14,"open",57,45,20,,1,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",15,"cushion",28,30,44,,18,,,,,3,,,5,2,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",15,"open",28,30,6,,22,,,,,5,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",16,"cushion",30,35,6,,,,,1,,21,,5,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",16,"open",30,35,,,2,,,4,,,,,3,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",17,"cushion",36,43,47,,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",17,"open",36,43,49,,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",18,"cushion",89,74,11,,15,,,1,,18,,,1,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",18,"open",89,74,,,,,,1,3,10,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",19,"cushion",51,42,123,6,47,,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",19,"open",51,42,25,,20,,,3,,8,,19,1,,,,,1,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",20,"cushion",70,52,120,,50,43,,,,10,,,1,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",20,"open",70,52,117,,59,,,,3,6,1,10,,,,,,,,,8
83,"Qilian Shan","Arenaria kansuensis Maxim. ",21,"cushion",58,48,28,,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",21,"open",58,48,15,,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",22,"cushion",58,42,4,,,,,,,6,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",22,"open",58,42,7,,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",23,"cushion",58,46,49,,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",23,"open",58,46,46,,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",24,"cushion",40,37,,,21,,,,,6,,53,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",24,"open",40,37,9,,5,,,7,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",25,"cushion",78,25,,6,,4,,,,4,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",25,"open",78,25,4,,,,,6,,,,32,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",26,"cushion",55,50,1,,12,,,,,2,,27,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",26,"open",55,50,29,,,,,5,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",27,"cushion",70,53,2,,7,25,,,,2,,27,2,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",27,"open",70,53,,,3,,,6,,,,3,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",28,"cushion",66,57,,,12,27,,,,3,,,,,,,,,,,1
83,"Qilian Shan","Arenaria kansuensis Maxim. ",28,"open",66,57,,,14,,,1,,4,2,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",29,"cushion",35,44,24,24,16,,,,,2,1,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",29,"open",35,44,33,,8,,,,,2,1,,2,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",30,"cushion",42,38,114,,16,,,,4,3,5,,,,,,2,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",30,"open",42,38,29,,26,,,,1,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",31,"cushion",65,53,34,9,6,,,,,6,10,,,,,,,,1,1,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",31,"open",65,53,69,,16,,,,1,2,2,12,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",32,"cushion",64,35,98,3,,,,,,4,,,4,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",32,"open",64,35,18,,,,,,1,,3,15,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",33,"cushion",58,57,41,24,,1,,,,8,3,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",33,"open",58,57,39,,9,,,,,,,7,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",34,"cushion",51,41,82,7,,,,,1,4,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",34,"open",51,41,50,,4,,1,,2,,2,5,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",35,"cushion",31,30,37,,,,3,,,,,,6,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",35,"open",31,30,24,,,,4,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",36,"cushion",28,30,69,,,,,,1,2,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",36,"open",28,30,14,,,,1,,,,2,,,1,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",37,"cushion",33,31,25,,,,,,,3,1,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",37,"open",33,31,54,,,,1,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",38,"cushion",73,56,149,,2,,,,59,7,5,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",38,"open",73,56,118,,,,,,7,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",39,"cushion",35,38,,105,,,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",39,"open",35,38,,111,,,,,,4,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",40,"cushion",45,30,28,13,,,1,,,4,,,5,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",40,"open",45,30,9,50,,,,11,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",41,"cushion",33,35,1,165,,,,,1,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",41,"open",33,35,,25,,,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",42,"cushion",24,29,36,14,,,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",42,"open?",24,29,12,15,,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",43,"cushion",52,41,68,7,10,,,,14,11,15,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",43,"open",52,41,14,13,,1,,,15,6,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",44,"cushion",65,44,102,,16,,,,1,5,6,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",44,"open",65,44,108,11,10,,,,,10,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",45,"cushion",28,31,122,,6,,,,,2,4,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",45,"open",28,31,52,,,,,,2,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",46,"cushion",63,38,52,25,12,,1,,2,15,6,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",46,"open",63,38,15,,26,,1,,,5,4,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",47,"cushion",44,34,26,9,13,,2,,1,4,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",47,"open",44,34,22,16,15,,,,,,3,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",48,"cushion",51,50,25,5,21,,,,20,22,15,,8,,,,,,45,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",48,"open",51,50,65,16,10,,,,7,7,2,,1,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",49,"cushion",37,32,17,27,21,,2,,,3,23,,,1,,,,2,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",49,"open",37,32,11,16,18,,,,4,,3,,3,1,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",50,"cushion",66,46,47,4,1,,,,69,4,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",50,"open",66,46,77,21,,,6,,46,,1,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",51,"cushion",30,30,24,6,7,,,,28,5,3,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",51,"open",30,30,23,22,,,1,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",52,"cushion",68,42,25,1,,,,,,3,10,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",52,"open",68,42,9,67,,,,,,1,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",53,"cushion",46,39,63,36,,,,,2,2,,,1,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",53,"open",46,39,8,46,5,,,,,,,,,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",54,"cushion",34,24,10,46,,,1,,2,4,,,2,,,,,,,,
83,"Qilian Shan","Arenaria kansuensis Maxim. ",54,"open",34,24,3,9,,,,,4,1,,,,,,,,,,,
