Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Area cm2,Acronema sp,Anaphalis contorta,Androsaceae sermentosa,Arasaema jaqmontii,Artimisia gmelinii,Aster himailacus,Avena fatua,Bistorta vivipara,Calamogrostis pseudophragmites,Carex sp,Cortia depressa,Cyananthus himalaicus,Cyananthus microphyllus,Cyperus sp,Deyeuxia scabrescens,Dubyaea hispida,Elsholtzia eriostachya,Ephedra gerardiana,Epilobium cylindricum,Eritrichium nanum,Euphorbia stracheyi,Gentiana depressa,Gentiana ornata,Gentianella falcata,Geranium donianum,Grebera nivea,Herminium macrophyllum,Juncus thomsonii,Lentopodium jocacianum,Morane nepalensis,Neottianthe calcicola,Nepeta lamiopsis,Parnesia nubicola,Pedicularis roylei,Pedicularis siphonantha,Polygonatum sp,Potentilla microphylla,Potentilla multifida,Potentilla sp,Rhodiola fastigiata,Saxifraga brachypoda,Saxifraga moorcroftiana,Sedum sp,Silene gonosperma ssp himalayensis,Stellaria patens,Swertia ciliata,Thallictrum alpinum,Themeda trianda,Veronica ciliata,Veronica himailaica,Veronica sp,Viola biflora,Botrychium lunaria,Paraceterach marantae,Pteridophyte
85,"Langtang-Kyanngjing Valley","Astragalus sp.",1,"Cushion",60,40,2400,,24,3,,,,,1,25,,,7,,17,35,,,,,11,,12,,12,3,,,,14,,,,11,,,,,9,,,,23,,,,,,,,2,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",1,"Open",,,2463,,18,7,,,,,,8,,,24,,25,54,,,,,,,2,,,,,,,,,,,10,,,,,3,2,,6,28,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",2,"Cushion",105,30,3150,,81,,,,,,,28,,,10,,129,18,2,,,,6,,,,10,,1,,,29,,,,22,,,,,15,,,8,35,,,,2,3,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",2,"Open",,,3156.95,,,,,,,,,,,,15,,79,,,,,,2,,110,,2,,,,,,,,,26,,,,,17,,,12,59,,,,,7,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",3,"Cushion",34,36,962.11,,,,,,,15,,20,,,10,,70,7,,,,,,,62,,,25,,,,35,,3,,,,,,,12,,,40,,,,,,5,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",3,"Open",,,962.11,,,,,,,,,,,,,,122,,,,,,1,,55,,,,,,,64,,,,40,,,,,5,,,23,40,,,,,1,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",4,"Cushion",28,58,1624,,58,,,,,7,,102,,,,,35,17,9,,,,,,,,,,5,,,12,,,,,,,,,,,,,5,13,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",4,"Open",,,1661,,,,,,,,,,,,1,,79,12,15,57,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",5,"Cushion",79,73,4536.459,,21,15,,,,,,,,,,,95,50,,,,,4,,23,,,,5,10,12,21,,,,45,,10,,,15,,,,20,7,5,,,,,,5,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",5,"Open",,,4536.459,,14,,,1,,,,58,,,25,,8,13,,41,,,,,,,10,,6,,,118,,,,,,,,,2,,,,3,,,,,,,,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",6,"Cushion",53,40,2120,,80,,,,,8,,15,,,15,,18,10,,,,,,,,,,,3,1,,8,,,,,,,,,,,,5,35,5,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",6,"Open",,,2120,,26,,,,,,,5,,,9,,11,4,,,,,,,,,,,1,3,,13,,,,22,,,,,9,,,,13,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",7,"Cushion",65,40,2600,,20,12,,,,,,85,,,,,16,26,6,,,,,,,,,,,2,,6,,,,,,,,,4,,,,14,,,,,,,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",7,"Open",,,2605.76,,,,,,,,,20,,,,,,13,,,,,,,,,,,,,,18,,,,18,,,,,5,,,,26,,,,,,,,,,,,,1
85,"Langtang-Kyanngjing Valley","Astragalus sp.",8,"Cushion",59,71,4248,,24,,,,,12,,48,,,22,,67,89,7,,,,,,19,,,,5,,,,,8,,28,,,1,,7,,,,27,3,,,,,40,8,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",8,"Open",,,4154.47,,9,,,,,,,30,,,9,,89,,,,,,,,,,,,,,,4,,,,51,,,,,15,,,17,71,,,,,,,,,2,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",9,"Cushion",30,30,706.85,,4,5,,,,1,,21,,,14,,35,,,,,,,,16,,,,,,,,,,,7,,,,20,3,,,1,9,,5,,,,,,,,25,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",9,"Open",,,706.85,,,,,,,,,24,,,5,,14,,,,,,,,,,,,,,,,,,,5,,,,58,,,,,2,,,,,,,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",10,"Cushion",58,49,2842,,15,11,,,,,4,85,,,6,,16,,,,,,,,,,3,,3,,,18,,,,2,,,,,8,,,,3,,,,,,,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",10,"Open",,,2842,,,3,,,,,16,22,,,45,,71,,,,,,,,82,,,,,,,2,,,,71,,,,,11,,,12,43,7,,,,,,7,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",11,"Cushion",115,41.5,4772.5,,18,,,,,7,,75,,,2,,29,7,,,,,,,,,5,,18,,,9,,1,,,,6,,,12,,,,25,,3,,,,32,4,6,,1,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",11,"Open",,,4772.5,,,,,,,,,31,,,71,,31,13,,,,,,,101,,19,,,,,80,,,,41,,1,,,31,,,,69,,,,,,,4,,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",12,"Cushion",60,57,3180,,109,,,,,5,,20,,,8,,28,36,,,,,,,25,,,,1,2,,29,,,,8,,1,,,,,,7,19,1,,,,,,2,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",12,"Open",,,3180,,5,,,,,,,6,,,24,,16,6,,,,,,,20,,,,3,,,,,,,26,,,,,7,,,3,30,,,,,,,,,4,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",13,"Cushion",54,30,1620,,7,,,,,6,,20,,,6,,13,29,,,,,,,,,4,,2,,2,26,,,,3,,3,1,,2,,,,8,5,,,,,,6,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",13,"Open",,,1620,,11,,,,,,,2,,,36,,13,,,,,,,,,,,,2,,,,,,,17,,,,,7,,,7,11,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",14,"Cushion",43,50,2150,,11,,,,,3,,,,,5,,23,17,,,,,,,18,,4,1,4,2,,,,,,7,,,,,4,,,,6,3,2,,,,,5,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",14,"Open",,,2156.51,,,,,,,,,7,,,13,,7,15,,,,,,,13,,,,1,,,,,,,3,,,,,,,,,2,,,,,,,,,2,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",15,"Cushion",50,37.5,1875,,16,,,,,2,,21,,,2,,5,25,4,,,,,,22,,,,1,,,12,,,,,,,,,1,,,,,2,,,,,,,,,5,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",15,"Open",,,1885.74,,3,4,,,,,,5,,,8,,20,13,,,,,,,43,,2,,2,,,11,,,,,,,,,2,,,,17,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",16,"Cushion",41,31,1271,,4,,,,,1,,,,,3,,15,35,5,,,,,,23,,,,3,6,,,,,,2,,,,,,,,,5,,,,,,8,5,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",16,"Open",,,1271,,,,,,,,,,,,10,,30,9,6,,,,,,36,,,,1,,,1,,,3,19,,,,,1,,,,12,,,,,,,,,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",17,"Cushion",104,70,7280,,2,24,,,,,,10,,,12,,28,21,10,,,,,,15,,,4,4,,63,17,,1,25,,2,,,,6,,,,5,9,,,,1,,6,4,,,,,
