site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Androsace chamaejasme,Antennaria lanata,Astragalus alpinum,Carex geyeri,Claytonia megarhriza,Dryas octopetala,Erigeron canus,Erigeron compositus,Festuca idahoensis,Geum rossii,Hulsia algida,Oxytropis campestris,Phacelia sericea,Phlox hoodii,Picea glauca,Poa alpina,Dasiphora fruticosa,Potentilla nivea,Saxifraga bronchialis,Saxifraga lyallii,Saxifraga occidentalis,Saxifraga oppositifolia,Sedum lanceolatum,Sedum rosea,Smelowskia calycia,Solidago multiradiata,Stellaria americana,UNKNOWN,dataset code
"Swiftcurrent Low","Silene_acaulis",1,"cushion",62,51,"",,"",26,"","","",,,,"","","","","","",,,"","","","",2,"",2,,,"",86
"Swiftcurrent Low","Silene_acaulis",1,"open",62,51,"",1,"",2,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",2,"cushion",49,24,"",,"",3,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",2,"open",49,24,"",,"",1,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",3,"cushion",36,24,"",,"",2,"","","",4,1,,"","","","","","",2,4,"","","","",,"",,5,,"",86
"Swiftcurrent Low","Silene_acaulis",9,"open",47,35,"",,"",1,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",10,"cushion",74,40,"",,"",5,"","","",3,1,2,"","","","","","",,4,"","","","",5,"",,,7,"",86
"Swiftcurrent Low","Silene_acaulis",10,"open",74,40,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",11,"cushion",39,15,"",,"",2,"","","",,,,"","","","","","",,,"","","","",,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",11,"open",39,15,"",,"",,"","","",1,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",18,"cushion",35,22,"",1,"",1,"","","",,,,"","","","","1","",,3,"","","","",1,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",18,"open",35,22,"",,"",1,"","","",1,,,"","1","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",19,"cushion",34,22,"",,"",3,"","","",,,,"","","","","","",1,3,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",19,"open",34,22,"",,"",,"","","",,,,"","","","","","",,2,"","","","",,"",,5,,"",86
"Swiftcurrent Low","Silene_acaulis",20,"cushion",14,12,"",,"",1,"","","",,,,"","","","","","",,3,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",26,"open",,,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,7,,"",86
"Swiftcurrent Low","Silene_acaulis",27,"cushion",14,10,"",,"",,"","3","",,,,"","10","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",27,"open",14,10,"",,"",,"","1","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",28,"cushion",29,24,"",,"",2,"","","",3,,,"","","","","","",,2,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",28,"open",29,24,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",35,"cushion",54,40,"",,"",4,"","","",,1,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",35,"open",54,40,"",,"",1,"","","",1,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",36,"cushion",19,16,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",37,"cushion",45,36,"",1,"",11,"","","",4,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",43,"open",41,35,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,1,"",86
"Swiftcurrent Low","Silene_acaulis",44,"cushion",34,39,"",2,"",,"","","",3,3,1,"","","","","","",,3,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",44,"open",34,39,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
